symbol,segment,expiry,as_of,pcr,total_call_oi,total_put_oi,delta_call_oi,delta_put_oi,top5_resistances,top5_supports,res_gaps,sup_gaps,ce_hotspot,pe_hotspot,equilibrium,equilibrium_strike,sentiment,rationale,report_text,status
360ONE,equities,25-Nov-2025,31-Oct-2025 15:30:00,0.573,2002.0,1147.0,618.0,264.0,1200:619; 1180:398; 1160:222; 1140:166; 1100:165,1100:250; 1000:177; 1140:141; 1020:110; 1120:85,20; 20; 20,20; 20; 20,"(1180, 269)","(1000, 103)",False,,Bearish,PCR 0.57 (<0.80) → bearish tilt; ΔCallOI 618 > 264 → bearish tilt,"========================================================================
Symbol: 360ONE | Segment: equities | Expiry: 25-Nov-2025
As Of : 31-Oct-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 2,002
Total Put  OI: 1,147
PCR        : 0.57
ΔCall OI   : 618
ΔPut  OI   : 264
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1200:619; 1180:398; 1160:222; 1140:166; 1100:165
Top-5 Supports    (PE OI): 1100:250; 1000:177; 1140:141; 1020:110; 1120:85
Flow (ΔOI) CE hotspot: 1180 | ΔOI: 269
Flow (ΔOI) PE hotspot: 1000 | ΔOI: 103
Closest resistance gaps: 20; 20; 20
Closest support gaps   : 20; 20; 20
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.57 (<0.80) → bearish tilt; ΔCallOI 618 > 264 → bearish tilt
========================================================================",ok
ABB,equities,25-Nov-2025,31-Oct-2025 15:30:00,0.932,5191.0,4836.0,199.0,143.0,5300:841; 5500:798; 5200:790; 5400:471; 6000:463,5200:747; 5000:602; 5300:452; 5500:312; 5100:292,100; 100; 100,100; 100; 100,"(5200, 68)","(5000, 52)",False,,Bearish,PCR 0.93 (~neutral); ΔCallOI 199 > 143 → bearish tilt,"========================================================================
Symbol: ABB | Segment: equities | Expiry: 25-Nov-2025
As Of : 31-Oct-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 5,191
Total Put  OI: 4,836
PCR        : 0.93
ΔCall OI   : 199
ΔPut  OI   : 143
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 5300:841; 5500:798; 5200:790; 5400:471; 6000:463
Top-5 Supports    (PE OI): 5200:747; 5000:602; 5300:452; 5500:312; 5100:292
Flow (ΔOI) CE hotspot: 5200 | ΔOI: 68
Flow (ΔOI) PE hotspot: 5000 | ΔOI: 52
Closest resistance gaps: 100; 100; 100
Closest support gaps   : 100; 100; 100
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.93 (~neutral); ΔCallOI 199 > 143 → bearish tilt
========================================================================",ok
AUBANK,equities,25-Nov-2025,31-Oct-2025 15:30:00,1.065,4018.0,4281.0,146.0,88.0,900:815; 880:576; 890:284; 860:258; 980:248,800:626; 850:493; 880:395; 860:384; 870:345,10; 10; 20,10; 10; 10,"(980, 46)","(880, 32)",False,,Bearish,PCR 1.07 (~neutral); ΔCallOI 146 > 88 → bearish tilt,"========================================================================
Symbol: AUBANK | Segment: equities | Expiry: 25-Nov-2025
As Of : 31-Oct-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 4,018
Total Put  OI: 4,281
PCR        : 1.07
ΔCall OI   : 146
ΔPut  OI   : 88
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 900:815; 880:576; 890:284; 860:258; 980:248
Top-5 Supports    (PE OI): 800:626; 850:493; 880:395; 860:384; 870:345
Flow (ΔOI) CE hotspot: 980 | ΔOI: 46
Flow (ΔOI) PE hotspot: 880 | ΔOI: 32
Closest resistance gaps: 10; 10; 20
Closest support gaps   : 10; 10; 10
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 1.07 (~neutral); ΔCallOI 146 > 88 → bearish tilt
========================================================================",ok
ADANIENSOL,equities,25-Nov-2025,31-Oct-2025 15:30:00,0.557,8993.0,5010.0,1921.0,1179.0,1000:2550; 1120:929; 1080:802; 1100:653; 980:546,950:722; 900:448; 940:447; 960:406; 1000:400,20; 20; 20,10; 10; 40,"(1000, 1433)","(950, 438)",False,,Bearish,"PCR 0.56 (<0.80) → bearish tilt; ΔCallOI 1,921 > 1,179 → bearish tilt","========================================================================
Symbol: ADANIENSOL | Segment: equities | Expiry: 25-Nov-2025
As Of : 31-Oct-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 8,993
Total Put  OI: 5,010
PCR        : 0.56
ΔCall OI   : 1,921
ΔPut  OI   : 1,179
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1000:2550; 1120:929; 1080:802; 1100:653; 980:546
Top-5 Supports    (PE OI): 950:722; 900:448; 940:447; 960:406; 1000:400
Flow (ΔOI) CE hotspot: 1000 | ΔOI: 1,433
Flow (ΔOI) PE hotspot: 950 | ΔOI: 438
Closest resistance gaps: 20; 20; 20
Closest support gaps   : 10; 10; 40
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.56 (<0.80) → bearish tilt; ΔCallOI 1,921 > 1,179 → bearish tilt
========================================================================",ok
ADANIGREEN,equities,25-Nov-2025,31-Oct-2025 15:30:00,0.846,18884.0,15971.0,934.0,324.0,1200:3040; 1280:2526; 1100:1673; 1160:1471; 1140:1235,1100:2485; 1000:1597; 1080:1416; 1060:1402; 1040:1239,20; 40; 40,20; 20; 20,"(1320, 1013)","(1100, 311)",False,,Bearish,PCR 0.85 (~neutral); ΔCallOI 934 > 324 → bearish tilt,"========================================================================
Symbol: ADANIGREEN | Segment: equities | Expiry: 25-Nov-2025
As Of : 31-Oct-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 18,884
Total Put  OI: 15,971
PCR        : 0.85
ΔCall OI   : 934
ΔPut  OI   : 324
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1200:3040; 1280:2526; 1100:1673; 1160:1471; 1140:1235
Top-5 Supports    (PE OI): 1100:2485; 1000:1597; 1080:1416; 1060:1402; 1040:1239
Flow (ΔOI) CE hotspot: 1320 | ΔOI: 1,013
Flow (ΔOI) PE hotspot: 1100 | ΔOI: 311
Closest resistance gaps: 20; 40; 40
Closest support gaps   : 20; 20; 20
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.85 (~neutral); ΔCallOI 934 > 324 → bearish tilt
========================================================================",ok
ABCAPITAL,equities,25-Nov-2025,31-Oct-2025 15:30:00,0.787,5866.0,4614.0,273.0,-185.0,350:1115; 330:834; 340:592; 320:551; 345:439,300:717; 310:650; 320:585; 290:398; 330:360,5; 5; 10,10; 10; 10,"(345, 212)","(330, 108)",False,,Bearish,PCR 0.79 (<0.80) → bearish tilt; ΔCallOI 273 > -185 → bearish tilt,"========================================================================
Symbol: ABCAPITAL | Segment: equities | Expiry: 25-Nov-2025
As Of : 31-Oct-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 5,866
Total Put  OI: 4,614
PCR        : 0.79
ΔCall OI   : 273
ΔPut  OI   : -185
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 350:1115; 330:834; 340:592; 320:551; 345:439
Top-5 Supports    (PE OI): 300:717; 310:650; 320:585; 290:398; 330:360
Flow (ΔOI) CE hotspot: 345 | ΔOI: 212
Flow (ΔOI) PE hotspot: 330 | ΔOI: 108
Closest resistance gaps: 5; 5; 10
Closest support gaps   : 10; 10; 10
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.79 (<0.80) → bearish tilt; ΔCallOI 273 > -185 → bearish tilt
========================================================================",ok
AMBER,equities,25-Nov-2025,31-Oct-2025 15:30:00,0.61,3787.0,2310.0,346.0,231.0,8500:659; 8400:625; 8300:574; 8600:549; 9600:288,7500:367; 8400:366; 8000:337; 7300:193; 8300:172,100; 100; 100,100; 200; 300,"(8800, 84)","(7500, 103)",False,,Bearish,PCR 0.61 (<0.80) → bearish tilt; ΔCallOI 346 > 231 → bearish tilt,"========================================================================
Symbol: AMBER | Segment: equities | Expiry: 25-Nov-2025
As Of : 31-Oct-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 3,787
Total Put  OI: 2,310
PCR        : 0.61
ΔCall OI   : 346
ΔPut  OI   : 231
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 8500:659; 8400:625; 8300:574; 8600:549; 9600:288
Top-5 Supports    (PE OI): 7500:367; 8400:366; 8000:337; 7300:193; 8300:172
Flow (ΔOI) CE hotspot: 8800 | ΔOI: 84
Flow (ΔOI) PE hotspot: 7500 | ΔOI: 103
Closest resistance gaps: 100; 100; 100
Closest support gaps   : 100; 200; 300
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.61 (<0.80) → bearish tilt; ΔCallOI 346 > 231 → bearish tilt
========================================================================",ok
ANGELONE,equities,25-Nov-2025,31-Oct-2025 15:30:00,0.779,5190.0,4045.0,1246.0,968.0,2600:962; 2550:928; 2700:848; 2500:625; 2800:556,2500:820; 2300:720; 2400:679; 2450:371; 2200:276,50; 50; 100,50; 50; 100,"(2550, 452)","(2400, 292)",False,,Bearish,"PCR 0.78 (<0.80) → bearish tilt; ΔCallOI 1,246 > 968 → bearish tilt","========================================================================
Symbol: ANGELONE | Segment: equities | Expiry: 25-Nov-2025
As Of : 31-Oct-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 5,190
Total Put  OI: 4,045
PCR        : 0.78
ΔCall OI   : 1,246
ΔPut  OI   : 968
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 2600:962; 2550:928; 2700:848; 2500:625; 2800:556
Top-5 Supports    (PE OI): 2500:820; 2300:720; 2400:679; 2450:371; 2200:276
Flow (ΔOI) CE hotspot: 2550 | ΔOI: 452
Flow (ΔOI) PE hotspot: 2400 | ΔOI: 292
Closest resistance gaps: 50; 50; 100
Closest support gaps   : 50; 50; 100
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.78 (<0.80) → bearish tilt; ΔCallOI 1,246 > 968 → bearish tilt
========================================================================",ok
APOLLOHOSP,equities,25-Nov-2025,31-Oct-2025 15:30:00,0.555,4538.0,2519.0,1247.0,596.0,8000:601; 8600:588; 8800:472; 7900:382; 8100:367,7500:547; 7700:296; 7800:206; 7100:176; 8000:167,100; 100; 200,100; 200; 200,"(8600, 517)","(7700, 94)",False,,Bearish,"PCR 0.56 (<0.80) → bearish tilt; ΔCallOI 1,247 > 596 → bearish tilt","========================================================================
Symbol: APOLLOHOSP | Segment: equities | Expiry: 25-Nov-2025
As Of : 31-Oct-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 4,538
Total Put  OI: 2,519
PCR        : 0.56
ΔCall OI   : 1,247
ΔPut  OI   : 596
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 8000:601; 8600:588; 8800:472; 7900:382; 8100:367
Top-5 Supports    (PE OI): 7500:547; 7700:296; 7800:206; 7100:176; 8000:167
Flow (ΔOI) CE hotspot: 8600 | ΔOI: 517
Flow (ΔOI) PE hotspot: 7700 | ΔOI: 94
Closest resistance gaps: 100; 100; 200
Closest support gaps   : 100; 200; 200
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.56 (<0.80) → bearish tilt; ΔCallOI 1,247 > 596 → bearish tilt
========================================================================",ok
ASHOKLEY,equities,25-Nov-2025,31-Oct-2025 15:30:00,0.613,9879.0,6054.0,916.0,406.0,140:2573; 145:1457; 150:1274; 160:500; 142:467,140:1106; 135:679; 130:614; 125:520; 120:338,2; 3; 5,5; 5; 5,"(145, 446)","(140, 156)",True,140.0,Bearish,PCR 0.61 (<0.80) → bearish tilt; ΔCallOI 916 > 406 → bearish tilt,"========================================================================
Symbol: ASHOKLEY | Segment: equities | Expiry: 25-Nov-2025
As Of : 31-Oct-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 9,879
Total Put  OI: 6,054
PCR        : 0.61
ΔCall OI   : 916
ΔPut  OI   : 406
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 140:2573; 145:1457; 150:1274; 160:500; 142:467
Top-5 Supports    (PE OI): 140:1106; 135:679; 130:614; 125:520; 120:338
Flow (ΔOI) CE hotspot: 145 | ΔOI: 446
Flow (ΔOI) PE hotspot: 140 | ΔOI: 156
Closest resistance gaps: 2; 3; 5
Closest support gaps   : 5; 5; 5
------------------------------------------------------------------------
⚪ Equilibrium Zone: 140
Sentiment: Bearish
Why      : PCR 0.61 (<0.80) → bearish tilt; ΔCallOI 916 > 406 → bearish tilt
========================================================================",ok
