symbol,segment,expiry,as_of,pcr,total_call_oi,total_put_oi,delta_call_oi,delta_put_oi,top5_resistances,top5_supports,res_gaps,sup_gaps,ce_hotspot,pe_hotspot,equilibrium,equilibrium_strike,sentiment,rationale,report_text,status
360ONE,equities,25-Nov-2025,07-Nov-2025 15:30:00,0.388,3143.0,1220.0,272.0,31.0,1200:844; 1160:550; 1140:445; 1100:401; 1220:202,1100:233; 1020:203; 1000:156; 1140:129; 1060:72,20; 20; 40,20; 40; 40,"(1140, 181)","(1020, 96)",False,,Bearish,PCR 0.39 (<0.80) → bearish tilt; ΔCallOI 272 > 31 → bearish tilt,"========================================================================
Symbol: 360ONE | Segment: equities | Expiry: 25-Nov-2025
As Of : 07-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 3,143
Total Put  OI: 1,220
PCR        : 0.39
ΔCall OI   : 272
ΔPut  OI   : 31
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1200:844; 1160:550; 1140:445; 1100:401; 1220:202
Top-5 Supports    (PE OI): 1100:233; 1020:203; 1000:156; 1140:129; 1060:72
Flow (ΔOI) CE hotspot: 1140 | ΔOI: 181
Flow (ΔOI) PE hotspot: 1020 | ΔOI: 96
Closest resistance gaps: 20; 20; 40
Closest support gaps   : 20; 40; 40
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.39 (<0.80) → bearish tilt; ΔCallOI 272 > 31 → bearish tilt
========================================================================",ok
ABB,equities,25-Nov-2025,07-Nov-2025 15:30:00,0.725,11256.0,8156.0,3095.0,2026.0,5200:1569; 5300:1552; 5500:1450; 5400:829; 5000:822,5200:1195; 5000:1103; 4800:887; 5100:485; 5300:417,100; 100; 100,100; 100; 100,"(5050, 708)","(4800, 489)",True,5200.0,Bearish,"PCR 0.72 (<0.80) → bearish tilt; ΔCallOI 3,095 > 2,026 → bearish tilt","========================================================================
Symbol: ABB | Segment: equities | Expiry: 25-Nov-2025
As Of : 07-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 11,256
Total Put  OI: 8,156
PCR        : 0.72
ΔCall OI   : 3,095
ΔPut  OI   : 2,026
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 5200:1569; 5300:1552; 5500:1450; 5400:829; 5000:822
Top-5 Supports    (PE OI): 5200:1195; 5000:1103; 4800:887; 5100:485; 5300:417
Flow (ΔOI) CE hotspot: 5050 | ΔOI: 708
Flow (ΔOI) PE hotspot: 4800 | ΔOI: 489
Closest resistance gaps: 100; 100; 100
Closest support gaps   : 100; 100; 100
------------------------------------------------------------------------
⚪ Equilibrium Zone: 5200
Sentiment: Bearish
Why      : PCR 0.72 (<0.80) → bearish tilt; ΔCallOI 3,095 > 2,026 → bearish tilt
========================================================================",ok
APLAPOLLO,equities,25-Nov-2025,07-Nov-2025 15:30:00,0.603,7130.0,4296.0,14.0,-40.0,1800:1620; 1900:912; 2000:614; 1860:573; 1820:527,1700:828; 1800:702; 1760:579; 1780:360; 1600:289,20; 40; 40,20; 20; 60,"(1900, 89)","(1680, 52)",False,,Bearish,PCR 0.60 (<0.80) → bearish tilt; ΔCallOI 14 > -40 → bearish tilt,"========================================================================
Symbol: APLAPOLLO | Segment: equities | Expiry: 25-Nov-2025
As Of : 07-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 7,130
Total Put  OI: 4,296
PCR        : 0.60
ΔCall OI   : 14
ΔPut  OI   : -40
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1800:1620; 1900:912; 2000:614; 1860:573; 1820:527
Top-5 Supports    (PE OI): 1700:828; 1800:702; 1760:579; 1780:360; 1600:289
Flow (ΔOI) CE hotspot: 1900 | ΔOI: 89
Flow (ΔOI) PE hotspot: 1680 | ΔOI: 52
Closest resistance gaps: 20; 40; 40
Closest support gaps   : 20; 20; 60
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.60 (<0.80) → bearish tilt; ΔCallOI 14 > -40 → bearish tilt
========================================================================",ok
AUBANK,equities,25-Nov-2025,07-Nov-2025 15:30:00,1.177,5513.0,6489.0,1121.0,1892.0,900:734; 920:569; 880:483; 910:390; 950:369,850:718; 880:708; 900:619; 870:601; 800:586,10; 10; 20,10; 20; 20,"(920, 354)","(900, 475)",False,,Bullish,"PCR 1.18 (~neutral); ΔPutOI 1,892 > 1,121 → bullish tilt","========================================================================
Symbol: AUBANK | Segment: equities | Expiry: 25-Nov-2025
As Of : 07-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 5,513
Total Put  OI: 6,489
PCR        : 1.18
ΔCall OI   : 1,121
ΔPut  OI   : 1,892
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 900:734; 920:569; 880:483; 910:390; 950:369
Top-5 Supports    (PE OI): 850:718; 880:708; 900:619; 870:601; 800:586
Flow (ΔOI) CE hotspot: 920 | ΔOI: 354
Flow (ΔOI) PE hotspot: 900 | ΔOI: 475
Closest resistance gaps: 10; 10; 20
Closest support gaps   : 10; 20; 20
------------------------------------------------------------------------
Sentiment: Bullish
Why      : PCR 1.18 (~neutral); ΔPutOI 1,892 > 1,121 → bullish tilt
========================================================================",ok
ADANIENSOL,equities,25-Nov-2025,07-Nov-2025 15:30:00,0.497,10786.0,5365.0,-83.0,-19.0,1000:3419; 1120:1077; 1020:986; 1100:930; 980:438,950:644; 900:516; 1000:434; 960:431; 860:411,20; 20; 20,10; 40; 40,"(1020, 172)","(890, 29)",False,,Neutral,PCR 0.50 (<0.80) → bearish tilt; ΔPutOI -19 > -83 → bullish tilt,"========================================================================
Symbol: ADANIENSOL | Segment: equities | Expiry: 25-Nov-2025
As Of : 07-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 10,786
Total Put  OI: 5,365
PCR        : 0.50
ΔCall OI   : -83
ΔPut  OI   : -19
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1000:3419; 1120:1077; 1020:986; 1100:930; 980:438
Top-5 Supports    (PE OI): 950:644; 900:516; 1000:434; 960:431; 860:411
Flow (ΔOI) CE hotspot: 1020 | ΔOI: 172
Flow (ΔOI) PE hotspot: 890 | ΔOI: 29
Closest resistance gaps: 20; 20; 20
Closest support gaps   : 10; 40; 40
------------------------------------------------------------------------
Sentiment: Neutral
Why      : PCR 0.50 (<0.80) → bearish tilt; ΔPutOI -19 > -83 → bullish tilt
========================================================================",ok
ADANIENT,equities,25-Nov-2025,07-Nov-2025 15:30:00,0.756,40363.0,30530.0,-5613.0,-5375.0,2500:7445; 2600:5303; 2400:4509; 3000:2887; 2700:2106,2500:8271; 2400:6819; 2300:1912; 2200:1749; 2600:918,100; 100; 100,100; 100; 100,"(2520, 93)","(2240, 207)",True,2500.0,Neutral,"PCR 0.76 (<0.80) → bearish tilt; ΔPutOI -5,375 > -5,613 → bullish tilt","========================================================================
Symbol: ADANIENT | Segment: equities | Expiry: 25-Nov-2025
As Of : 07-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 40,363
Total Put  OI: 30,530
PCR        : 0.76
ΔCall OI   : -5,613
ΔPut  OI   : -5,375
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 2500:7445; 2600:5303; 2400:4509; 3000:2887; 2700:2106
Top-5 Supports    (PE OI): 2500:8271; 2400:6819; 2300:1912; 2200:1749; 2600:918
Flow (ΔOI) CE hotspot: 2520 | ΔOI: 93
Flow (ΔOI) PE hotspot: 2240 | ΔOI: 207
Closest resistance gaps: 100; 100; 100
Closest support gaps   : 100; 100; 100
------------------------------------------------------------------------
⚪ Equilibrium Zone: 2500
Sentiment: Neutral
Why      : PCR 0.76 (<0.80) → bearish tilt; ΔPutOI -5,375 > -5,613 → bullish tilt
========================================================================",ok
ADANIGREEN,equities,25-Nov-2025,07-Nov-2025 15:30:00,0.501,24280.0,12172.0,1002.0,10.0,1200:4506; 1100:3326; 1280:2407; 1160:1943; 1140:1679,1100:1683; 1000:1439; 940:993; 1080:937; 1020:888,20; 40; 40,20; 20; 60,"(1100, 565)","(1000, 160)",False,,Bearish,"PCR 0.50 (<0.80) → bearish tilt; ΔCallOI 1,002 > 10 → bearish tilt","========================================================================
Symbol: ADANIGREEN | Segment: equities | Expiry: 25-Nov-2025
As Of : 07-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 24,280
Total Put  OI: 12,172
PCR        : 0.50
ΔCall OI   : 1,002
ΔPut  OI   : 10
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1200:4506; 1100:3326; 1280:2407; 1160:1943; 1140:1679
Top-5 Supports    (PE OI): 1100:1683; 1000:1439; 940:993; 1080:937; 1020:888
Flow (ΔOI) CE hotspot: 1100 | ΔOI: 565
Flow (ΔOI) PE hotspot: 1000 | ΔOI: 160
Closest resistance gaps: 20; 40; 40
Closest support gaps   : 20; 20; 60
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.50 (<0.80) → bearish tilt; ΔCallOI 1,002 > 10 → bearish tilt
========================================================================",ok
ADANIPORTS,equities,25-Nov-2025,07-Nov-2025 15:30:00,0.555,20539.0,11391.0,-1229.0,-2.0,1460:3594; 1500:3445; 1600:2322; 1480:1938; 1440:1855,1400:2581; 1440:1774; 1460:1721; 1380:811; 1420:783,20; 20; 20,20; 20; 20,"(1540, 137)","(1440, 214)",False,,Neutral,"PCR 0.55 (<0.80) → bearish tilt; ΔPutOI -2 > -1,229 → bullish tilt","========================================================================
Symbol: ADANIPORTS | Segment: equities | Expiry: 25-Nov-2025
As Of : 07-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 20,539
Total Put  OI: 11,391
PCR        : 0.55
ΔCall OI   : -1,229
ΔPut  OI   : -2
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1460:3594; 1500:3445; 1600:2322; 1480:1938; 1440:1855
Top-5 Supports    (PE OI): 1400:2581; 1440:1774; 1460:1721; 1380:811; 1420:783
Flow (ΔOI) CE hotspot: 1540 | ΔOI: 137
Flow (ΔOI) PE hotspot: 1440 | ΔOI: 214
Closest resistance gaps: 20; 20; 20
Closest support gaps   : 20; 20; 20
------------------------------------------------------------------------
Sentiment: Neutral
Why      : PCR 0.55 (<0.80) → bearish tilt; ΔPutOI -2 > -1,229 → bullish tilt
========================================================================",ok
ABCAPITAL,equities,25-Nov-2025,07-Nov-2025 15:30:00,0.904,5799.0,5242.0,-131.0,370.0,350:1039; 340:569; 330:554; 335:521; 320:425,330:659; 320:646; 300:642; 310:620; 325:451,5; 5; 10,5; 5; 10,"(360, 77)","(330, 128)",False,,Bullish,PCR 0.90 (~neutral); ΔPutOI 370 > -131 → bullish tilt,"========================================================================
Symbol: ABCAPITAL | Segment: equities | Expiry: 25-Nov-2025
As Of : 07-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 5,799
Total Put  OI: 5,242
PCR        : 0.90
ΔCall OI   : -131
ΔPut  OI   : 370
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 350:1039; 340:569; 330:554; 335:521; 320:425
Top-5 Supports    (PE OI): 330:659; 320:646; 300:642; 310:620; 325:451
Flow (ΔOI) CE hotspot: 360 | ΔOI: 77
Flow (ΔOI) PE hotspot: 330 | ΔOI: 128
Closest resistance gaps: 5; 5; 10
Closest support gaps   : 5; 5; 10
------------------------------------------------------------------------
Sentiment: Bullish
Why      : PCR 0.90 (~neutral); ΔPutOI 370 > -131 → bullish tilt
========================================================================",ok
ALKEM,equities,25-Nov-2025,07-Nov-2025 15:30:00,0.996,1496.0,1490.0,196.0,38.0,5700:393; 5900:202; 6000:168; 5600:153; 5500:116,5550:257; 5700:227; 5400:220; 5200:190; 5500:142,100; 100; 100,50; 100; 150,"(5900, 104)","(5400, 73)",False,,Bearish,PCR 1.00 (~neutral); ΔCallOI 196 > 38 → bearish tilt,"========================================================================
Symbol: ALKEM | Segment: equities | Expiry: 25-Nov-2025
As Of : 07-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 1,496
Total Put  OI: 1,490
PCR        : 1.00
ΔCall OI   : 196
ΔPut  OI   : 38
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 5700:393; 5900:202; 6000:168; 5600:153; 5500:116
Top-5 Supports    (PE OI): 5550:257; 5700:227; 5400:220; 5200:190; 5500:142
Flow (ΔOI) CE hotspot: 5900 | ΔOI: 104
Flow (ΔOI) PE hotspot: 5400 | ΔOI: 73
Closest resistance gaps: 100; 100; 100
Closest support gaps   : 50; 100; 150
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 1.00 (~neutral); ΔCallOI 196 > 38 → bearish tilt
========================================================================",ok
