symbol,time_ist,spot,pcr,pcr_score,doi_net,oi_bias_score,atm_ce_iv,atm_pe_iv,iv_skew,fut_near_price,fut_next_price,fut_near_oi,fut_near_chg_oi,basis,basis_pct_ann,roll_spread,fut_regime,fut_regime_score,dte,fut_price_change,sentiment_score,sentiment_label,error,strike,ce_oi,pe_oi,ce_chg_oi,pe_chg_oi,ce_iv,pe_iv,ce_ltp,pe_ltp
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,880.0,2.0,1.0,0.0,0.0,0.0,0.0,244.9,1.0
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,980.0,0.0,30.0,0.0,29.0,,30.94,,3.55
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1000.0,14.0,177.0,1.0,103.0,30.08,29.25,96.3,5.0
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1020.0,14.0,110.0,7.0,36.0,29.25,28.59,79.25,7.8
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1040.0,5.0,38.0,1.0,23.0,28.38,28.82,63.3,12.6
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1060.0,12.0,47.0,12.0,10.0,27.57,26.43,48.85,16.45
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1080.0,8.0,69.0,8.0,9.0,28.24,26.65,37.8,24.65
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1100.0,165.0,250.0,112.0,-15.0,27.56,26.64,27.25,34.7
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1120.0,109.0,85.0,52.0,16.0,27.17,26.89,19.0,47.05
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1140.0,166.0,141.0,-6.0,29.0,27.14,25.91,13.0,60.05
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1160.0,222.0,41.0,81.0,-2.0,27.44,26.9,8.85,76.5
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1180.0,398.0,41.0,269.0,9.0,28.04,28.49,6.1,94.35
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1200.0,619.0,69.0,99.0,15.0,28.69,30.11,4.2,112.8
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1220.0,45.0,1.0,-1.0,1.0,29.13,28.06,2.8,130.05
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1240.0,74.0,17.0,-9.0,1.0,30.8,33.93,2.25,151.0
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1260.0,71.0,0.0,-5.0,0.0,30.99,,1.45,
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1280.0,34.0,17.0,-2.0,0.0,32.35,0.0,1.15,143.7
360ONE,2025-11-01 22:50:27,1084.0,0.5729270729270729,-0.7885864328177833,-354.0,-0.7615941559557649,28.24,26.65,-1.5899999999999999,,,,,,,,,0.0,,,-0.4196645002935502,Bearish,,1320.0,44.0,13.0,-1.0,0.0,38.63,0.0,1.4,192.0
ABB,2025-11-01 22:50:27,5224.0,0.9316124060874591,-0.1693224039391602,-56.0,-0.7615941559557649,26.95,27.88,0.9299999999999997,,,,,,,,,0.0,,,-0.18472712029298316,Neutral,,4300.0,0.0,39.0,0.0,0.0,,0.0,,6.2
ABB,2025-11-01 22:50:27,5224.0,0.9316124060874591,-0.1693224039391602,-56.0,-0.7615941559557649,26.95,27.88,0.9299999999999997,,,,,,,,,0.0,,,-0.18472712029298316,Neutral,,4400.0,9.0,43.0,0.0,0.0,0.0,0.0,822.0,5.9
ABB,2025-11-01 22:50:27,5224.0,0.9316124060874591,-0.1693224039391602,-56.0,-0.7615941559557649,26.95,27.88,0.9299999999999997,,,,,,,,,0.0,,,-0.18472712029298316,Neutral,,4500.0,9.0,1.0,0.0,0.0,0.0,0.0,710.3,13.95
ABB,2025-11-01 22:50:27,5224.0,0.9316124060874591,-0.1693224039391602,-56.0,-0.7615941559557649,26.95,27.88,0.9299999999999997,,,,,,,,,0.0,,,-0.18472712029298316,Neutral,,4550.0,0.0,93.0,0.0,0.0,,0.0,,7.35
ABB,2025-11-01 22:50:27,5224.0,0.9316124060874591,-0.1693224039391602,-56.0,-0.7615941559557649,26.95,27.88,0.9299999999999997,,,,,,,,,0.0,,,-0.18472712029298316,Neutral,,4600.0,10.0,115.0,0.0,23.0,0.0,31.61,712.2,8.95
ABB,2025-11-01 22:50:27,5224.0,0.9316124060874591,-0.1693224039391602,-56.0,-0.7615941559557649,26.95,27.88,0.9299999999999997,,,,,,,,,0.0,,,-0.18472712029298316,Neutral,,4650.0,0.0,20.0,0.0,0.0,,0.0,,13.95
ABB,2025-11-01 22:50:27,5224.0,0.9316124060874591,-0.1693224039391602,-56.0,-0.7615941559557649,26.95,27.88,0.9299999999999997,,,,,,,,,0.0,,,-0.18472712029298316,Neutral,,4700.0,0.0,180.0,0.0,4.0,0.0,30.43,0.0,14.0
ABB,2025-11-01 22:50:27,5224.0,0.9316124060874591,-0.1693224039391602,-56.0,-0.7615941559557649,26.95,27.88,0.9299999999999997,,,,,,,,,0.0,,,-0.18472712029298316,Neutral,,4750.0,0.0,96.0,0.0,43.0,0.0,29.94,0.0,17.65
