symbol,bias,skip_reason,final_score,volar,volar_norm,fo_sentiment,fo_score,pcr,delivery_pct_avg,delivery_score,candle,candle_score,last_close,avg_vol_20,price_ok,avg_vol_ok
FEDERALBNK,Long Bias,,0.9055000000000001,0.23246080075713105,0.944,Bullish,0.802,1.008,60.501999999999995,1.0,Bullish,1.0,236.61000061035156,13404885.75,True,True
SHRIRAMFIN,Long Bias,,0.8801625000000001,0.19397322743588302,0.8839999999999999,Bullish,0.8067500000000001,1.027,54.036,1.0,Bullish,1.0,748.9000244140625,6079038.45,True,True
LTF,Long Bias,,0.8742875,0.29954719308363315,0.984,Bullish,0.80425,1.017,53.077999999999996,1.0,Neutral,0.0,270.489990234375,6843432.5,True,True
HINDALCO,Long Bias,,0.8725124999999999,0.26460045580384234,0.968,Bullish,0.81975,1.079,54.946000000000005,1.0,Neutral,0.0,847.8499755859375,5510764.65,True,True
BANKBARODA,Long Bias,,0.8196374999999999,0.20327966843468764,0.8999999999999999,Bullish,0.78125,0.925,49.11999999999999,0.9413333333333327,Neutral,0.0,278.3999938964844,9266154.6,True,True
IOC,Long Bias,,0.7800575000000001,0.20088286814968426,0.8959999999999999,Bullish,0.82125,1.085,43.942,0.5961333333333334,Neutral,0.0,165.89999389648438,15209455.1,True,True
SAMMAANCAP,Long Bias,,0.771735,0.22824896023155583,0.9359999999999999,Bullish,0.7545000000000001,0.818,43.646,0.5764,Neutral,0.0,188.58999633789062,28476334.15,True,True
CANBK,Long Bias,,0.7635724999999999,0.27443346235323357,0.972,Bullish,0.82575,1.103,38.715999999999994,0.24773333333333292,Neutral,0.0,136.99000549316406,32465556.85,True,True
BPCL,Long Bias,,0.7303575,0.14627660318388572,0.764,Bullish,0.78725,0.949,46.102,0.7401333333333331,Neutral,0.0,356.79998779296875,7659444.6,True,True
SBILIFE,Long Bias,,0.7098874999999999,0.11006573691720427,0.6279999999999999,Bullish,0.79225,0.969,62.104000000000006,1.0,Neutral,0.0,1955.699951171875,1082600.2,True,True
UNOMINDA,Long Bias,,0.7065674999999999,0.12770987670737396,0.7,Bullish,0.79625,0.985,46.288,0.752533333333333,Neutral,0.0,1235.199951171875,904183.75,True,True
ABCAPITAL,Long Bias,,0.6142850000000001,0.15558673885163357,0.788,Bullish,0.7575000000000001,0.83,39.456,0.2970666666666668,Bearish,-1.0,324.20001220703125,5791331.8,True,True
IDFCFIRSTB,Skip,price<100 or NaN (last_close=81.7699966430664),0.5538000000000001,0.18349395726989848,0.8640000000000001,Neutral,-0.1,0.578,53.348,1.0,Bullish,1.0,81.7699966430664,34622712.65,False,True
BHEL,Long Bias,,0.5245650000000001,0.08593024119300678,0.512,Bullish,0.8635,1.254,34.194,-0.05373333333333319,Neutral,0.0,265.489990234375,10261665.6,True,True
PVRINOX,Watchlist,,0.519,0.16778064973932488,0.8200000000000001,NA,0.0,,53.077999999999996,1.0,Neutral,0.0,1206.5999755859375,423436.0,True,True
GRANULES,Watchlist,,0.5157999999999999,0.21811176095836446,0.9239999999999999,NA,0.0,,51.324,1.0,Bearish,-1.0,565.5999755859375,1032074.0,True,True
PNBHOUSING,Watchlist,,0.5124675000000002,0.17927617125448023,0.8520000000000001,Neutral,-0.057749999999999996,0.769,49.92800000000001,0.9952000000000008,Neutral,0.0,928.7000122070312,1260318.25,True,True
GESHIP,Watchlist,,0.50202,0.17161644289119224,0.8320000000000001,NA,0.0,,47.762,0.8508,Neutral,0.0,1099.5999755859375,468741.9,True,True
CANFINHOME,Watchlist,,0.501,0.15102208545945497,0.78,NA,0.0,,63.848,1.0,Neutral,0.0,867.9000244140625,347219.9,True,True
NATIONALUM,Watchlist,,0.4966375,0.2268650756675423,0.9319999999999999,Neutral,-0.08474999999999999,0.661,45.69,0.7126666666666666,Neutral,0.0,234.13999938964844,11845956.95,True,True
