symbol,segment,expiry,as_of,pcr,total_call_oi,total_put_oi,delta_call_oi,delta_put_oi,top5_resistances,top5_supports,res_gaps,sup_gaps,ce_hotspot,pe_hotspot,equilibrium,equilibrium_strike,sentiment,rationale,report_text,status
360ONE,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.505,2211.0,1116.0,209.0,-31.0,1200:678; 1180:408; 1100:300; 1160:243; 1140:152,1100:242; 1000:182; 1140:143; 1020:99; 1200:70,20; 20; 20,20; 40; 60,"(1100, 135)","(1220, 6)",False,,Bearish,PCR 0.50 (<0.80) → bearish tilt; ΔCallOI 209 > -31 → bearish tilt,"========================================================================
Symbol: 360ONE | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 2,211
Total Put  OI: 1,116
PCR        : 0.50
ΔCall OI   : 209
ΔPut  OI   : -31
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1200:678; 1180:408; 1100:300; 1160:243; 1140:152
Top-5 Supports    (PE OI): 1100:242; 1000:182; 1140:143; 1020:99; 1200:70
Flow (ΔOI) CE hotspot: 1100 | ΔOI: 135
Flow (ΔOI) PE hotspot: 1220 | ΔOI: 6
Closest resistance gaps: 20; 20; 20
Closest support gaps   : 20; 40; 60
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.50 (<0.80) → bearish tilt; ΔCallOI 209 > -31 → bearish tilt
========================================================================",ok
ABB,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.899,5487.0,4934.0,296.0,98.0,5300:866; 5500:771; 5200:756; 6000:520; 5600:486,5200:774; 5000:562; 5300:435; 5500:303; 5100:298,100; 100; 200,100; 100; 100,"(5600, 87)","(4900, 54)",False,,Bearish,PCR 0.90 (~neutral); ΔCallOI 296 > 98 → bearish tilt,"========================================================================
Symbol: ABB | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 5,487
Total Put  OI: 4,934
PCR        : 0.90
ΔCall OI   : 296
ΔPut  OI   : 98
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 5300:866; 5500:771; 5200:756; 6000:520; 5600:486
Top-5 Supports    (PE OI): 5200:774; 5000:562; 5300:435; 5500:303; 5100:298
Flow (ΔOI) CE hotspot: 5600 | ΔOI: 87
Flow (ΔOI) PE hotspot: 4900 | ΔOI: 54
Closest resistance gaps: 100; 100; 200
Closest support gaps   : 100; 100; 100
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.90 (~neutral); ΔCallOI 296 > 98 → bearish tilt
========================================================================",ok
APLAPOLLO,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.637,6793.0,4326.0,135.0,297.0,1800:1687; 1900:757; 1860:585; 1840:535; 1760:516,1700:915; 1800:723; 1760:621; 1780:323; 1820:277,20; 40; 40,20; 20; 20,"(1960, 62)","(1720, 75)",False,,Neutral,PCR 0.64 (<0.80) → bearish tilt; ΔPutOI 297 > 135 → bullish tilt,"========================================================================
Symbol: APLAPOLLO | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 6,793
Total Put  OI: 4,326
PCR        : 0.64
ΔCall OI   : 135
ΔPut  OI   : 297
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1800:1687; 1900:757; 1860:585; 1840:535; 1760:516
Top-5 Supports    (PE OI): 1700:915; 1800:723; 1760:621; 1780:323; 1820:277
Flow (ΔOI) CE hotspot: 1960 | ΔOI: 62
Flow (ΔOI) PE hotspot: 1720 | ΔOI: 75
Closest resistance gaps: 20; 40; 40
Closest support gaps   : 20; 20; 20
------------------------------------------------------------------------
Sentiment: Neutral
Why      : PCR 0.64 (<0.80) → bearish tilt; ΔPutOI 297 > 135 → bullish tilt
========================================================================",ok
AUBANK,equities,25-Nov-2025,03-Nov-2025 15:30:00,1.002,4135.0,4145.0,117.0,-136.0,900:810; 880:661; 980:268; 860:264; 890:247,800:587; 850:494; 860:353; 880:344; 870:323,10; 10; 20,10; 10; 10,"(880, 85)","(830, 16)",False,,Bearish,PCR 1.00 (~neutral); ΔCallOI 117 > -136 → bearish tilt,"========================================================================
Symbol: AUBANK | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 4,135
Total Put  OI: 4,145
PCR        : 1.00
ΔCall OI   : 117
ΔPut  OI   : -136
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 900:810; 880:661; 980:268; 860:264; 890:247
Top-5 Supports    (PE OI): 800:587; 850:494; 860:353; 880:344; 870:323
Flow (ΔOI) CE hotspot: 880 | ΔOI: 85
Flow (ΔOI) PE hotspot: 830 | ΔOI: 16
Closest resistance gaps: 10; 10; 20
Closest support gaps   : 10; 10; 10
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 1.00 (~neutral); ΔCallOI 117 > -136 → bearish tilt
========================================================================",ok
ADANIENSOL,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.526,10607.0,5579.0,1614.0,569.0,1000:3951; 1120:926; 1080:785; 1100:679; 1020:524,950:765; 900:547; 1000:512; 960:492; 940:433,20; 20; 20,10; 10; 40,"(1000, 1401)","(1000, 112)",False,,Bearish,"PCR 0.53 (<0.80) → bearish tilt; ΔCallOI 1,614 > 569 → bearish tilt","========================================================================
Symbol: ADANIENSOL | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 10,607
Total Put  OI: 5,579
PCR        : 0.53
ΔCall OI   : 1,614
ΔPut  OI   : 569
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1000:3951; 1120:926; 1080:785; 1100:679; 1020:524
Top-5 Supports    (PE OI): 950:765; 900:547; 1000:512; 960:492; 940:433
Flow (ΔOI) CE hotspot: 1000 | ΔOI: 1,401
Flow (ΔOI) PE hotspot: 1000 | ΔOI: 112
Closest resistance gaps: 20; 20; 20
Closest support gaps   : 10; 10; 40
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.53 (<0.80) → bearish tilt; ΔCallOI 1,614 > 569 → bearish tilt
========================================================================",ok
ADANIENT,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.785,27883.0,21887.0,3702.0,157.0,2600:4972; 2500:4197; 3000:3151; 2800:2836; 2700:1840,2500:6610; 2400:3962; 2360:1350; 2200:1145; 2480:1000,100; 100; 100,20; 40; 80,"(2500, 1172)","(2460, 95)",False,,Bearish,"PCR 0.78 (<0.80) → bearish tilt; ΔCallOI 3,702 > 157 → bearish tilt","========================================================================
Symbol: ADANIENT | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 27,883
Total Put  OI: 21,887
PCR        : 0.78
ΔCall OI   : 3,702
ΔPut  OI   : 157
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 2600:4972; 2500:4197; 3000:3151; 2800:2836; 2700:1840
Top-5 Supports    (PE OI): 2500:6610; 2400:3962; 2360:1350; 2200:1145; 2480:1000
Flow (ΔOI) CE hotspot: 2500 | ΔOI: 1,172
Flow (ΔOI) PE hotspot: 2460 | ΔOI: 95
Closest resistance gaps: 100; 100; 100
Closest support gaps   : 20; 40; 80
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.78 (<0.80) → bearish tilt; ΔCallOI 3,702 > 157 → bearish tilt
========================================================================",ok
ADANIGREEN,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.666,21208.0,14124.0,2324.0,-1847.0,1200:3725; 1280:2387; 1160:1957; 1100:1773; 1140:1568,1100:2424; 1000:1486; 1020:1105; 940:1100; 1080:1004,20; 40; 40,20; 20; 60,"(1200, 685)","(1200, 83)",False,,Bearish,"PCR 0.67 (<0.80) → bearish tilt; ΔCallOI 2,324 > -1,847 → bearish tilt","========================================================================
Symbol: ADANIGREEN | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 21,208
Total Put  OI: 14,124
PCR        : 0.67
ΔCall OI   : 2,324
ΔPut  OI   : -1,847
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1200:3725; 1280:2387; 1160:1957; 1100:1773; 1140:1568
Top-5 Supports    (PE OI): 1100:2424; 1000:1486; 1020:1105; 940:1100; 1080:1004
Flow (ΔOI) CE hotspot: 1200 | ΔOI: 685
Flow (ΔOI) PE hotspot: 1200 | ΔOI: 83
Closest resistance gaps: 20; 40; 40
Closest support gaps   : 20; 20; 60
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.67 (<0.80) → bearish tilt; ΔCallOI 2,324 > -1,847 → bearish tilt
========================================================================",ok
ADANIPORTS,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.646,15158.0,9790.0,1477.0,-668.0,1500:2690; 1460:2073; 1600:1911; 1480:1524; 1440:1278,1400:2494; 1440:1042; 1420:959; 1460:880; 1500:784,20; 20; 20,20; 20; 20,"(1500, 339)","(1380, 71)",False,,Bearish,"PCR 0.65 (<0.80) → bearish tilt; ΔCallOI 1,477 > -668 → bearish tilt","========================================================================
Symbol: ADANIPORTS | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 15,158
Total Put  OI: 9,790
PCR        : 0.65
ΔCall OI   : 1,477
ΔPut  OI   : -668
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 1500:2690; 1460:2073; 1600:1911; 1480:1524; 1440:1278
Top-5 Supports    (PE OI): 1400:2494; 1440:1042; 1420:959; 1460:880; 1500:784
Flow (ΔOI) CE hotspot: 1500 | ΔOI: 339
Flow (ΔOI) PE hotspot: 1380 | ΔOI: 71
Closest resistance gaps: 20; 20; 20
Closest support gaps   : 20; 20; 20
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 0.65 (<0.80) → bearish tilt; ΔCallOI 1,477 > -668 → bearish tilt
========================================================================",ok
ABCAPITAL,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.83,6300.0,5230.0,434.0,616.0,350:1193; 335:708; 330:673; 340:596; 345:580,310:718; 320:716; 300:665; 330:498; 325:410,5; 5; 5,5; 5; 10,"(335, 271)","(335, 239)",False,,Bullish,PCR 0.83 (~neutral); ΔPutOI 616 > 434 → bullish tilt,"========================================================================
Symbol: ABCAPITAL | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 6,300
Total Put  OI: 5,230
PCR        : 0.83
ΔCall OI   : 434
ΔPut  OI   : 616
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 350:1193; 335:708; 330:673; 340:596; 345:580
Top-5 Supports    (PE OI): 310:718; 320:716; 300:665; 330:498; 325:410
Flow (ΔOI) CE hotspot: 335 | ΔOI: 271
Flow (ΔOI) PE hotspot: 335 | ΔOI: 239
Closest resistance gaps: 5; 5; 5
Closest support gaps   : 5; 5; 10
------------------------------------------------------------------------
Sentiment: Bullish
Why      : PCR 0.83 (~neutral); ΔPutOI 616 > 434 → bullish tilt
========================================================================",ok
ALKEM,equities,25-Nov-2025,03-Nov-2025 15:30:00,1.136,954.0,1084.0,147.0,96.0,5600:252; 5500:144; 6000:79; 5900:79; 5700:68,5550:264; 5600:225; 5400:125; 5200:120; 5500:78,100; 100; 100,50; 50; 100,"(5700, 34)","(5200, 59)",False,,Bearish,PCR 1.14 (~neutral); ΔCallOI 147 > 96 → bearish tilt,"========================================================================
Symbol: ALKEM | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 954
Total Put  OI: 1,084
PCR        : 1.14
ΔCall OI   : 147
ΔPut  OI   : 96
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 5600:252; 5500:144; 6000:79; 5900:79; 5700:68
Top-5 Supports    (PE OI): 5550:264; 5600:225; 5400:125; 5200:120; 5500:78
Flow (ΔOI) CE hotspot: 5700 | ΔOI: 34
Flow (ΔOI) PE hotspot: 5200 | ΔOI: 59
Closest resistance gaps: 100; 100; 100
Closest support gaps   : 50; 50; 100
------------------------------------------------------------------------
Sentiment: Bearish
Why      : PCR 1.14 (~neutral); ΔCallOI 147 > 96 → bearish tilt
========================================================================",ok
AMBER,equities,25-Nov-2025,03-Nov-2025 15:30:00,0.678,4343.0,2944.0,556.0,634.0,8500:740; 8300:728; 8400:645; 8600:560; 9600:284,7500:736; 8000:381; 8400:366; 7800:322; 7300:184,100; 100; 100,200; 200; 300,"(7800, 185)","(7500, 369)",False,,Neutral,PCR 0.68 (<0.80) → bearish tilt; ΔPutOI 634 > 556 → bullish tilt,"========================================================================
Symbol: AMBER | Segment: equities | Expiry: 25-Nov-2025
As Of : 03-Nov-2025 15:30:00
------------------------------------------------------------------------
Total Call OI: 4,343
Total Put  OI: 2,944
PCR        : 0.68
ΔCall OI   : 556
ΔPut  OI   : 634
------------------------------------------------------------------------
Top-5 Resistances (CE OI): 8500:740; 8300:728; 8400:645; 8600:560; 9600:284
Top-5 Supports    (PE OI): 7500:736; 8000:381; 8400:366; 7800:322; 7300:184
Flow (ΔOI) CE hotspot: 7800 | ΔOI: 185
Flow (ΔOI) PE hotspot: 7500 | ΔOI: 369
Closest resistance gaps: 100; 100; 100
Closest support gaps   : 200; 200; 300
------------------------------------------------------------------------
Sentiment: Neutral
Why      : PCR 0.68 (<0.80) → bearish tilt; ΔPutOI 634 > 556 → bullish tilt
========================================================================",ok
