date,ticker,direction,entry_time,entry_price,qty,sl_price_initial,tp_price,sl_trailing_enabled,trail_rupees,exit_time,exit_price,gross_pnl,charges,net_pnl,exit_reason,buy_turnover,sell_turnover,cash_capital,leverage,notional_at_entry
2025-10-01,JIOFIN.NS,long,2025-10-01T11:00:00+05:30,295.25,1693,294.55,297.35,False,500.0,2025-10-01T11:00:00+05:30,294.5,-1269.74,224.19,-1493.94,SL,499858.27,498588.53,100000.0,5.0,499858.27
2025-10-01,POWERGRID.NS,long,2025-10-01T10:10:00+05:30,282.1,1772,281.45,284.05,False,500.0,2025-10-01T10:10:00+05:30,281.4,-1240.39,224.21,-1464.6,SL,499881.18,498640.79,100000.0,5.0,499881.18
2025-10-01,TRENT.NS,long,2025-10-01T10:10:00+05:30,4759.55,105,4732.85,4839.65,False,500.0,2025-10-01T13:05:00+05:30,4839.6,8405.23,226.93,8178.3,TP,499752.75,508157.98,100000.0,5.0,499752.75
2025-10-03,ADANIENT.NS,long,2025-10-03T10:30:00+05:30,2596.95,192,2583.45,2637.45,False,500.0,2025-10-03T10:40:00+05:30,2583.4,-2601.6,223.37,-2824.97,SL,498614.38,496012.78,100000.0,5.0,498614.38
2025-10-03,HINDUNILVR.NS,long,2025-10-03T11:45:00+05:30,2531.75,197,2521.8,2561.6,False,500.0,2025-10-03T15:25:00+05:30,2544.85,2580.69,224.91,2355.78,EOD,498754.74,501335.43,100000.0,5.0,498754.74
2025-10-03,INDIGO.NS,long,2025-10-03T10:30:00+05:30,5668.55,88,5644.55,5740.55,False,500.0,2025-10-03T11:25:00+05:30,5644.5,-2116.4,223.58,-2339.98,SL,498832.4,496716.0,100000.0,5.0,498832.4
2025-10-03,ITC.NS,long,2025-10-03T11:35:00+05:30,405.05,1234,403.87,408.58,False,500.0,2025-10-03T12:15:00+05:30,403.82,-1511.65,224.11,-1735.77,SL,499831.7,498320.05,100000.0,5.0,499831.7
2025-10-03,SBIN.NS,long,2025-10-03T10:50:00+05:30,870.15,574,867.95,876.75,False,500.0,2025-10-03T11:25:00+05:30,867.9,-1291.51,224.05,-1515.55,SL,499466.09,498174.58,100000.0,5.0,499466.09
2025-10-06,ASIANPAINT.NS,long,2025-10-06T13:50:00+05:30,2354.45,212,2349.65,2368.85,False,500.0,2025-10-06T13:50:00+05:30,2349.6,-1028.18,224.01,-1252.19,SL,499143.38,498115.19,100000.0,5.0,499143.38
2025-10-06,GRASIM.NS,long,2025-10-06T11:10:00+05:30,2811.45,177,2796.75,2855.55,False,500.0,2025-10-06T15:25:00+05:30,2807.35,-725.7,223.56,-949.26,EOD,497626.63,496900.93,100000.0,5.0,497626.63
2025-10-06,SUNPHARMA.NS,long,2025-10-06T11:30:00+05:30,1638.15,305,1630.15,1662.15,False,500.0,2025-10-06T15:25:00+05:30,1653.25,4605.52,225.8,4379.72,EOD,499635.74,504241.26,100000.0,5.0,499635.74
2025-10-06,WIPRO.NS,long,2025-10-06T12:00:00+05:30,242.1,2065,241.24,244.68,False,500.0,2025-10-06T14:25:00+05:30,241.19,-1879.15,224.04,-2103.19,SL,499936.51,498057.36,100000.0,5.0,499936.51
2025-10-07,ADANIPORTS.NS,long,2025-10-07T10:05:00+05:30,1409.95,354,1405.95,1421.95,False,500.0,2025-10-07T11:00:00+05:30,1405.9,-1433.7,223.88,-1657.58,SL,499122.31,497688.61,100000.0,5.0,499122.31
2025-10-07,HCLTECH.NS,long,2025-10-07T10:10:00+05:30,1429.05,349,1424.7,1442.1,False,500.0,2025-10-07T10:15:00+05:30,1424.65,-1535.59,223.72,-1759.31,SL,498738.45,497202.86,100000.0,5.0,498738.45
2025-10-07,TITAN.NS,long,2025-10-07T12:30:00+05:30,3440.35,145,3427.5,3478.9,False,500.0,2025-10-07T14:50:00+05:30,3427.45,-1870.51,223.66,-2094.17,SL,498850.76,496980.24,100000.0,5.0,498850.76
2025-10-08,ADANIPORTS.NS,long,2025-10-08T10:15:00+05:30,1404.55,355,1401.7,1413.1,False,500.0,2025-10-08T10:25:00+05:30,1401.65,-1029.49,223.82,-1253.31,SL,498615.25,497585.76,100000.0,5.0,498615.25
2025-10-08,HCLTECH.NS,long,2025-10-08T11:55:00+05:30,1450.75,344,1442.45,1475.65,False,500.0,2025-10-08T15:25:00+05:30,1452.45,584.82,224.44,360.38,EOD,499057.98,499642.8,100000.0,5.0,499057.98
2025-10-08,LT.NS,long,2025-10-08T10:05:00+05:30,3759.05,133,3740.8,3813.8,False,500.0,2025-10-08T11:00:00+05:30,3740.75,-2433.9,223.89,-2657.79,SL,499953.65,497519.75,100000.0,5.0,499953.65
2025-10-09,BAJAJ-AUTO.NS,long,2025-10-09T12:00:00+05:30,8799.55,56,8777.3,8866.3,False,500.0,2025-10-09T12:05:00+05:30,8777.25,-1248.8,221.68,-1470.48,SL,492774.8,491526.0,100000.0,5.0,492774.8
2025-10-09,BEL.NS,long,2025-10-09T11:40:00+05:30,407.25,1227,406.08,410.78,False,500.0,2025-10-09T15:25:00+05:30,409.85,3190.18,225.41,2964.76,EOD,499695.76,502885.94,100000.0,5.0,499695.76
2025-10-09,GRASIM.NS,long,2025-10-09T13:00:00+05:30,2797.95,178,2790.55,2820.15,False,500.0,2025-10-09T15:25:00+05:30,2810.55,2242.83,224.55,2018.28,EOD,498035.08,500277.92,100000.0,5.0,498035.08
2025-10-09,HDFCBANK.NS,long,2025-10-09T11:35:00+05:30,978.35,511,975.6,986.6,False,500.0,2025-10-09T11:40:00+05:30,975.55,-1430.8,224.17,-1654.97,SL,499936.84,498506.04,100000.0,5.0,499936.84
2025-10-09,HINDUNILVR.NS,long,2025-10-09T11:00:00+05:30,2514.75,198,2509.0,2532.0,False,500.0,2025-10-09T13:35:00+05:30,2508.95,-1148.4,223.54,-1371.94,SL,497920.49,496772.09,100000.0,5.0,497920.49
2025-10-09,INDIGO.NS,long,2025-10-09T10:25:00+05:30,5696.55,87,5678.3,5751.3,False,500.0,2025-10-09T15:25:00+05:30,5721.95,2209.8,223.68,1986.12,EOD,495599.85,497809.65,100000.0,5.0,495599.85
2025-10-09,NESTLEIND.NS,long,2025-10-09T11:55:00+05:30,1181.05,423,1178.0,1190.2,False,500.0,2025-10-09T12:45:00+05:30,1177.95,-1311.29,224.08,-1535.38,SL,499584.15,498272.86,100000.0,5.0,499584.15
2025-10-09,ONGC.NS,long,2025-10-09T10:55:00+05:30,243.04,2057,242.49,244.71,False,500.0,2025-10-09T14:15:00+05:30,242.44,-1244.49,224.22,-1468.71,SL,499933.29,498688.81,100000.0,5.0,499933.29
2025-10-09,SBIN.NS,long,2025-10-09T14:05:00+05:30,863.75,578,861.53,870.42,False,500.0,2025-10-09T14:05:00+05:30,861.48,-1314.94,223.96,-1538.9,SL,499247.51,497932.57,100000.0,5.0,499247.51
2025-10-09,TECHM.NS,long,2025-10-09T12:10:00+05:30,1467.95,340,1462.15,1485.35,False,500.0,2025-10-09T15:25:00+05:30,1463.95,-1360.01,223.9,-1583.91,EOD,499103.01,497743.0,100000.0,5.0,499103.01
2025-10-09,TRENT.NS,long,2025-10-09T12:45:00+05:30,4645.05,107,4632.55,4682.55,False,500.0,2025-10-09T15:25:00+05:30,4663.05,1926.01,224.1,1701.91,EOD,497020.35,498946.36,100000.0,5.0,497020.35
