date,ticker,direction,entry_time,entry_price,qty,sl_price_initial,tp_price,sl_trailing_enabled,trail_rupees,exit_time,exit_price,gross_pnl,charges,net_pnl,exit_reason,buy_turnover,sell_turnover,cash_capital,leverage,notional_at_entry
2025-10-01,APOLLOHOSP.NS,long,2025-10-01T12:40:00+05:30,7437.5,67,7407.65,7527.05,False,3000.0,2025-10-01T14:00:00+05:30,7423.0,-971.5,223.73,-1195.23,EOD,498312.5,497341.0,100000.0,5.0,498312.5
2025-10-01,BAJAJFINSV.NS,long,2025-10-01T11:05:00+05:30,1990.5,251,1982.53,2014.4,False,3000.0,2025-10-01T14:00:00+05:30,2003.1,3162.59,225.38,2937.22,EOD,499615.5,502778.09,100000.0,5.0,499615.5
2025-10-01,BHARTIARTL.NS,long,2025-10-01T11:40:00+05:30,1870.0,267,1862.51,1892.47,False,3000.0,2025-10-01T14:00:00+05:30,1865.0,-1335.0,223.97,-1558.97,EOD,499290.0,497955.0,100000.0,5.0,499290.0
2025-10-01,CIPLA.NS,long,2025-10-01T11:25:00+05:30,1506.1,331,1500.06,1524.23,False,3000.0,2025-10-01T14:00:00+05:30,1509.6,1158.5,224.41,934.09,EOD,498519.09,499677.59,100000.0,5.0,498519.09
2025-10-01,COALINDIA.NS,long,2025-10-01T10:40:00+05:30,392.1,1275,390.53,396.81,False,3000.0,2025-10-01T11:50:00+05:30,390.53,-2000.0,224.01,-2224.01,SL,499927.51,497927.51,100000.0,5.0,499927.51
2025-10-01,DRREDDY.NS,long,2025-10-01T12:10:00+05:30,1238.3,403,1233.34,1253.19,False,3000.0,2025-10-01T14:00:00+05:30,1240.0,685.08,224.46,460.62,EOD,499034.92,499720.0,100000.0,5.0,499034.92
2025-10-01,EICHERMOT.NS,long,2025-10-01T11:00:00+05:30,7027.5,71,6999.33,7112.01,False,3000.0,2025-10-01T14:00:00+05:30,7037.0,674.5,224.43,450.07,EOD,498952.5,499627.0,100000.0,5.0,498952.5
2025-10-01,HCLTECH.NS,long,2025-10-01T11:15:00+05:30,1391.3,359,1385.73,1408.01,False,3000.0,2025-10-01T12:15:00+05:30,1385.73,-2000.0,223.85,-2223.85,SL,499476.72,497476.72,100000.0,5.0,499476.72
2025-10-01,HDFCLIFE.NS,long,2025-10-01T11:30:00+05:30,754.0,663,750.98,763.05,False,3000.0,2025-10-01T14:00:00+05:30,761.65,5071.97,226.03,4845.94,EOD,499902.0,504973.97,100000.0,5.0,499902.0
2025-10-01,INDIGO.NS,long,2025-10-01T10:50:00+05:30,5560.0,89,5537.53,5627.42,False,3000.0,2025-10-01T14:00:00+05:30,5571.0,979.0,223.06,755.94,EOD,494840.0,495819.0,100000.0,5.0,494840.0
2025-10-01,INFY.NS,long,2025-10-01T10:55:00+05:30,1435.0,348,1429.25,1452.24,False,3000.0,2025-10-01T14:00:00+05:30,1432.5,-870.0,224.14,-1094.14,EOD,499380.0,498510.0,100000.0,5.0,499380.0
2025-10-01,ITC.NS,long,2025-10-01T11:40:00+05:30,401.6,1245,399.99,406.42,False,3000.0,2025-10-01T14:00:00+05:30,405.6,4980.0,226.03,4753.97,EOD,499992.01,504972.01,100000.0,5.0,499992.01
2025-10-01,JIOFIN.NS,long,2025-10-01T11:05:00+05:30,295.0,1694,293.82,298.54,False,3000.0,2025-10-01T14:00:00+05:30,298.0,5082.0,225.97,4856.03,EOD,499730.0,504812.0,100000.0,5.0,499730.0
2025-10-01,KOTAKBANK.NS,long,2025-10-01T10:40:00+05:30,2031.5,246,2023.37,2055.89,False,3000.0,2025-10-01T10:40:00+05:30,2023.37,-2000.0,223.94,-2223.94,SL,499749.0,497749.0,100000.0,5.0,499749.0
2025-10-01,NESTLEIND.NS,long,2025-10-01T11:05:00+05:30,1153.8,433,1149.18,1167.66,False,3000.0,2025-10-01T14:00:00+05:30,1164.0,4416.58,225.73,4190.85,EOD,499595.42,504012.0,100000.0,5.0,499595.42
2025-10-01,NTPC.NS,long,2025-10-01T10:40:00+05:30,342.35,1460,340.98,346.46,False,3000.0,2025-10-01T10:45:00+05:30,340.98,-2000.0,223.97,-2223.97,SL,499831.01,497831.01,100000.0,5.0,499831.01
2025-10-01,ONGC.NS,long,2025-10-01T10:40:00+05:30,243.7,2051,242.72,246.63,False,3000.0,2025-10-01T14:00:00+05:30,243.25,-922.94,224.28,-1147.22,EOD,499828.69,498905.75,100000.0,5.0,499828.69
2025-10-01,RELIANCE.NS,long,2025-10-01T12:10:00+05:30,1376.4,363,1370.89,1392.93,False,3000.0,2025-10-01T12:20:00+05:30,1370.89,-2000.0,223.9,-2223.9,SL,499633.21,497633.21,100000.0,5.0,499633.21
2025-10-01,TATACONSUM.NS,long,2025-10-01T12:05:00+05:30,1137.9,439,1133.34,1151.57,False,3000.0,2025-10-01T14:00:00+05:30,1142.3,1931.61,225.0,1706.61,EOD,499538.11,501469.72,100000.0,5.0,499538.11
2025-10-01,TCS.NS,long,2025-10-01T11:20:00+05:30,2885.9,173,2874.34,2920.58,False,3000.0,2025-10-01T14:00:00+05:30,2899.0,2266.32,225.0,2041.32,EOD,499260.68,501527.0,100000.0,5.0,499260.68
2025-10-01,TECHM.NS,long,2025-10-01T11:20:00+05:30,1416.2,353,1410.53,1433.2,False,3000.0,2025-10-01T14:00:00+05:30,1414.8,-494.17,224.44,-718.6,EOD,499918.58,499424.42,100000.0,5.0,499918.58
2025-10-01,TRENT.NS,long,2025-10-01T10:40:00+05:30,4767.8,104,4748.57,4825.49,False,3000.0,2025-10-01T11:10:00+05:30,4825.49,6000.0,224.86,5775.14,TP,495851.18,501851.18,100000.0,5.0,495851.18
2025-10-01,ULTRACEMCO.NS,long,2025-10-01T11:40:00+05:30,12150.0,41,12101.22,12296.34,False,3000.0,2025-10-01T12:20:00+05:30,12101.22,-2000.0,223.37,-2223.37,SL,498150.0,496150.0,100000.0,5.0,498150.0
2025-10-01,WIPRO.NS,long,2025-10-01T12:25:00+05:30,239.5,2087,238.54,242.37,False,3000.0,2025-10-01T14:00:00+05:30,239.73,480.0,224.69,255.32,EOD,499836.5,500316.5,100000.0,5.0,499836.5
