date,ticker,direction,entry_time,entry_price,qty,sl_price_initial,tp_price,sl_trailing_enabled,trail_rupees,exit_time,exit_price,gross_pnl,charges,net_pnl,exit_reason,buy_turnover,sell_turnover,cash_capital,leverage,notional_at_entry
2025-10-01,ADANIENT.NS,short,2025-10-01T09:35:00+05:30,2520.0,198,2530.1,2499.8,False,10.0,2025-10-01T10:20:00+05:30,2499.8,4000.0,223.97,3776.03,TP,494960.0,498960.0,100000.0,5.0,498960.0
2025-10-01,ADANIENT.NS,short,2025-10-01T14:00:00+05:30,2556.0,195,2566.26,2535.49,False,10.0,2025-10-01T14:15:00+05:30,2535.49,4000.0,223.78,3776.22,TP,494420.0,498420.0,100000.0,5.0,498420.0
2025-10-01,ADANIPORTS.NS,short,2025-10-01T09:35:00+05:30,1406.5,355,1412.13,1395.23,False,10.0,2025-10-01T10:00:00+05:30,1412.13,-2000.0,224.5,-2224.5,SL,501307.5,499307.5,100000.0,5.0,499307.5
2025-10-01,ADANIPORTS.NS,short,2025-10-01T14:00:00+05:30,1415.1,353,1420.77,1403.77,False,10.0,2025-10-01T14:45:00+05:30,1420.77,-2000.0,224.57,-2224.57,SL,501530.29,499530.29,100000.0,5.0,499530.29
2025-10-01,ASIANPAINT.NS,long,2025-10-01T11:40:00+05:30,2330.6,214,2321.25,2349.29,False,10.0,2025-10-01T14:45:00+05:30,2342.0,2439.58,224.86,2214.72,RSI-EXIT,498748.42,501188.0,100000.0,5.0,498748.42
2025-10-01,AXISBANK.NS,short,2025-10-01T09:35:00+05:30,1138.9,439,1143.46,1129.79,False,10.0,2025-10-01T10:05:00+05:30,1143.46,-2000.0,224.73,-2224.73,SL,501977.11,499977.11,100000.0,5.0,499977.11
2025-10-01,BAJAJ-AUTO.NS,short,2025-10-01T09:35:00+05:30,8808.5,56,8844.21,8737.07,False,10.0,2025-10-01T09:50:00+05:30,8737.07,4000.0,221.95,3778.05,TP,489276.0,493276.0,100000.0,5.0,493276.0
2025-10-01,BHARTIARTL.NS,short,2025-10-01T09:35:00+05:30,1865.8,267,1873.29,1850.82,False,10.0,2025-10-01T11:45:00+05:30,1873.29,-2000.0,224.09,-2224.09,SL,500168.61,498168.61,100000.0,5.0,498168.61
2025-10-01,CIPLA.NS,short,2025-10-01T09:35:00+05:30,1508.0,331,1514.04,1495.92,False,10.0,2025-10-01T14:05:00+05:30,1514.04,-2000.0,224.44,-2224.44,SL,501148.0,499148.0,100000.0,5.0,499148.0
2025-10-01,COALINDIA.NS,short,2025-10-01T09:50:00+05:30,391.4,1277,392.97,388.27,False,10.0,2025-10-01T10:15:00+05:30,392.97,-2000.0,224.68,-2224.68,SL,501817.79,499817.79,100000.0,5.0,499817.79
2025-10-01,COALINDIA.NS,short,2025-10-01T10:25:00+05:30,394.35,1267,395.93,391.19,False,10.0,2025-10-01T11:05:00+05:30,391.19,4000.0,224.21,3775.79,TP,495641.46,499641.46,100000.0,5.0,499641.46
