date,ticker,direction,entry_time,entry_price,qty,sl_price_initial,tp_price,sl_trailing_enabled,trail_rupees,exit_time,exit_price,gross_pnl,charges,net_pnl,exit_reason,buy_turnover,sell_turnover,cash_capital,leverage,notional_at_entry
2025-10-03,BAJFINANCE.NS,long,2025-10-03T12:30:00+05:30,987.6,506,981.67,999.46,True,500.0,2025-10-03T12:30:00+05:30,987.61,6.0,224.51,-218.51,SL-TRAIL,499725.59,499731.59,100000.0,5.0,499725.59
2025-10-03,CIPLA.NS,long,2025-10-03T10:50:00+05:30,1512.2,330,1503.11,1530.38,True,500.0,2025-10-03T10:50:00+05:30,1512.08,-37.99,224.25,-262.24,SL-TRAIL,499025.98,498987.99,100000.0,5.0,499025.98
2025-10-03,HDFCLIFE.NS,long,2025-10-03T09:40:00+05:30,764.65,653,760.06,773.84,True,500.0,2025-10-03T09:40:00+05:30,764.23,-271.47,224.29,-495.75,SL-TRAIL,499316.47,499045.0,100000.0,5.0,499316.47
2025-10-03,ICICIBANK.NS,long,2025-10-03T10:40:00+05:30,1370.3,364,1362.06,1386.78,True,500.0,2025-10-03T10:40:00+05:30,1369.03,-463.61,224.04,-687.65,SL-TRAIL,498789.22,498325.61,100000.0,5.0,498789.22
2025-10-03,ITC.NS,long,2025-10-03T11:00:00+05:30,404.35,1236,401.92,409.2,True,500.0,2025-10-03T11:25:00+05:30,404.4,56.18,224.54,-168.37,SL-TRAIL,499776.61,499832.78,100000.0,5.0,499776.61
2025-10-03,ONGC.NS,long,2025-10-03T14:35:00+05:30,242.82,2059,241.36,245.73,True,500.0,2025-10-03T14:35:00+05:30,242.71,-232.35,224.53,-456.88,SL-TRAIL,499966.4,499734.04,100000.0,5.0,499966.4
2025-10-03,SBIN.NS,long,2025-10-03T13:05:00+05:30,866.6,576,861.39,877.02,True,500.0,2025-10-03T13:15:00+05:30,866.58,-10.38,224.31,-234.68,SL-TRAIL,499161.59,499151.21,100000.0,5.0,499161.59
2025-10-03,TITAN.NS,long,2025-10-03T09:50:00+05:30,3402.1,146,3381.55,3443.2,True,500.0,2025-10-03T09:50:00+05:30,3407.68,814.0,223.67,590.33,SL-TRAIL,496706.61,497520.61,100000.0,5.0,496706.61
2025-10-06,DRREDDY.NS,long,2025-10-06T13:45:00+05:30,1248.1,400,1240.6,1263.1,True,500.0,2025-10-06T13:45:00+05:30,1247.35,-300.0,224.25,-524.25,SL-TRAIL,499239.99,498939.99,100000.0,5.0,499239.99
2025-10-06,RELIANCE.NS,long,2025-10-06T09:50:00+05:30,1364.9,366,1356.7,1381.29,True,500.0,2025-10-06T09:50:00+05:30,1365.13,85.59,224.47,-138.88,SL-TRAIL,499553.41,499639.0,100000.0,5.0,499553.41
2025-10-06,SBIN.NS,long,2025-10-06T13:55:00+05:30,867.45,576,862.24,877.87,True,500.0,2025-10-06T13:55:00+05:30,867.73,162.38,224.53,-62.15,SL-TRAIL,499651.21,499813.59,100000.0,5.0,499651.21
2025-10-06,TATACONSUM.NS,long,2025-10-06T12:55:00+05:30,1140.5,438,1133.65,1154.2,True,500.0,2025-10-06T12:55:00+05:30,1140.46,-18.21,224.44,-242.65,SL-TRAIL,499539.0,499520.79,100000.0,5.0,499539.0
2025-10-06,WIPRO.NS,long,2025-10-06T10:55:00+05:30,240.63,2077,239.19,243.52,True,500.0,2025-10-06T10:55:00+05:30,241.23,1244.67,224.89,1019.78,SL-TRAIL,499788.52,501033.19,100000.0,5.0,499788.52
2025-10-07,ADANIPORTS.NS,long,2025-10-07T14:45:00+05:30,1403.0,356,1394.57,1419.85,True,500.0,2025-10-07T14:45:00+05:30,1402.7,-108.41,224.39,-332.79,SL-TRAIL,499468.0,499359.59,100000.0,5.0,499468.0
2025-10-07,DRREDDY.NS,long,2025-10-07T13:35:00+05:30,1245.5,401,1238.02,1260.46,True,500.0,2025-10-07T13:35:00+05:30,1245.25,-99.0,224.38,-323.38,SL-TRAIL,499445.5,499346.5,100000.0,5.0,499445.5
