USE_RSI,USE_MACD,USE_ADX,USE_SMA,USE_BB,RSI_LEN,RSI_LONG_MIN,RSI_SHORT_MAX,MACD_FAST,MACD_SLOW,MACD_SIGNAL,MACD_MODE,ADX_LEN,ADX_MIN,SMA_FAST,SMA_SLOW,BB_LEN,BB_STD,BB_SQUEEZE_PCTL,total_net,n_trades,win_rate,avg_pnl,profit_factor,sharpe,max_drawdown,cagr,expectancy
True,True,True,True,True,14,50,50,12,26,9,hist_above0,14,20,10,20,20,2.0,10.0,157056.57043446455,602.0,55.647840531561464,260.8913130140607,1.3181071806508189,0.655693421186729,-0.3125055007712429,0.186690516818669,260.8913130140607
True,True,True,True,True,14,50,50,12,26,9,hist_above0,14,20,10,20,20,2.0,,158506.9485231789,603.0,55.72139303482587,262.86392789913583,1.3222566937838718,0.7445809817391412,-0.31864774375166455,0.18768875575548805,262.86392789913583
True,True,True,True,True,14,50,50,12,26,9,hist_above0,14,20,10,50,20,2.0,10.0,156258.38234892406,604.0,55.62913907284768,258.705931041265,1.3228736434188157,0.07629447634964226,-0.2896604816447136,0.18613852839986067,258.705931041265
True,True,True,True,True,14,50,50,12,26,9,hist_above0,14,20,10,50,20,2.0,,160522.69042579792,603.0,55.88723051409619,266.2067834590347,1.3339663770477561,0.14825956082645428,-0.2896608477064447,0.18906601824079816,266.2067834590347
True,True,True,True,True,14,50,50,12,26,9,hist_above0,14,20,20,50,20,2.0,10.0,161376.749421663,608.0,55.5921052631579,265.4222852329984,1.331711664176747,0.016308614133407943,-0.2896605977147749,0.18964606131542916,265.4222852329984
True,True,True,True,True,14,50,50,12,26,9,hist_above0,14,20,20,50,20,2.0,,165126.15331816248,608.0,55.75657894736842,271.5890679575041,1.3395585162293648,0.05359154759800666,-0.2896606786395415,0.19216836888707678,271.5890679575041
True,True,True,True,True,14,50,50,12,26,9,hist_above0,14,25,10,20,20,2.0,10.0,153488.60692425625,598.0,56.35451505016722,256.66991124457564,1.3105994693435319,0.5118052357959978,-0.2896607073994465,0.18420840053349585,256.66991124457564
True,True,True,True,True,14,50,50,12,26,9,hist_above0,14,25,10,20,20,2.0,,154320.04038523938,600.0,56.333333333333336,257.2000673087323,1.3128675964523104,0.619148384762392,-0.28966056103416443,0.1847902026897239,257.2000673087323
True,True,True,True,True,14,50,50,12,26,9,hist_above0,14,25,10,50,20,2.0,10.0,136571.4528499004,600.0,55.166666666666664,227.61908808316736,1.2792660557792401,-0.002549759782692319,-0.2896607883242244,0.17189162640936417,227.61908808316736
True,True,True,True,True,14,50,50,12,26,9,hist_above0,14,25,10,50,20,2.0,,142726.1577768565,601.0,55.40765391014975,237.48112774851333,1.2928895831420146,0.05956748355646365,-0.2896607959518873,0.17648224062397522,237.48112774851333
True,True,True,True,True,14,50,50,12,26,9,hist_above0,14,25,20,50,20,2.0,10.0,148295.37271110667,604.0,55.29801324503312,245.5221402501766,1.3041152698019765,-0.052875238304099306,-0.28966051039723084,0.18052634425069103,245.5221402501766
True,True,True,True,True,14,50,50,12,26,9,hist_above0,14,25,20,50,20,2.0,,152096.01286351128,605.0,55.53719008264463,251.39836836944013,1.3122151384160667,-0.0017336588499199566,-0.2896606129289477,0.18322922140383735,251.39836836944013
True,True,True,True,True,14,50,50,12,26,9,line_cross,14,20,10,20,20,2.0,10.0,157010.75352870274,601.0,55.74043261231281,261.2491739246302,1.3186430978187504,0.6567132318757013,-0.31952385751524515,0.18665888272928477,261.2491739246302
True,True,True,True,True,14,50,50,12,26,9,line_cross,14,20,10,20,20,2.0,,160970.31541595553,602.0,55.81395348837209,267.39255052484305,1.3287850702352104,0.7819705579400531,-0.3187510688441532,0.18937028499288733,267.39255052484305
True,True,True,True,True,14,50,50,12,26,9,line_cross,14,20,10,50,20,2.0,10.0,155608.41581652968,604.0,55.62913907284768,257.62982751081074,1.3220679200857182,0.0739915279931243,-0.2896605407706715,0.18568765326429149,257.62982751081074
True,True,True,True,True,14,50,50,12,26,9,line_cross,14,20,10,50,20,2.0,,161464.82902348455,603.0,55.88723051409619,267.7692023606709,1.3359122724790036,0.15249483405992534,-0.28966078854268634,0.1897057641826163,267.7692023606709
True,True,True,True,True,14,50,50,12,26,9,line_cross,14,20,20,50,20,2.0,10.0,160743.87365171962,608.0,55.5921052631579,264.38137113769676,1.3309716809279593,0.014171346911230355,-0.28966066962419446,0.18921643545082856,264.38137113769676
True,True,True,True,True,14,50,50,12,26,9,line_cross,14,20,20,50,20,2.0,,164411.75240876916,608.0,55.75657894736842,270.4140664617914,1.3382620347749987,0.048066893383390964,-0.2896605977147749,0.19169077325222528,270.4140664617914
True,True,True,True,True,14,50,50,12,26,9,line_cross,14,25,10,20,20,2.0,10.0,154587.28920018082,598.0,56.35451505016722,258.5071725755532,1.3135197580186506,0.5173528211712,-0.28966064549712944,0.18497676995978907,258.5071725755532
True,True,True,True,True,14,50,50,12,26,9,line_cross,14,25,10,20,20,2.0,,153130.47935656796,600.0,56.333333333333336,255.21746559427993,1.310312888661196,0.6161252647021537,-0.2896604512408905,0.18395715345292318,255.21746559427993
True,True,True,True,True,14,50,50,12,26,9,line_cross,14,25,10,50,20,2.0,10.0,137854.40317682008,599.0,55.25876460767947,230.14090680604355,1.2813601301693103,0.006739111190153226,-0.2896607002161138,0.17285941675114436,230.14090680604355
True,True,True,True,True,14,50,50,12,26,9,line_cross,14,25,10,50,20,2.0,,145999.17681469844,600.0,55.50000000000001,243.33196135783072,1.3010281259690304,0.10571041986988475,-0.2896607073994465,0.1788712109113222,243.33196135783072
True,True,True,True,True,14,50,50,12,26,9,line_cross,14,25,20,50,20,2.0,10.0,146204.11326521437,604.0,55.29801324503312,242.05979017419597,1.2991341049611145,-0.062326103986676415,-0.2896607379131477,0.179019623442233,242.05979017419597
True,True,True,True,True,14,50,50,12,26,9,line_cross,14,25,20,50,20,2.0,,154029.34445492685,604.0,55.62913907284768,255.01547095186564,1.3158210128356844,0.04135790000662109,-0.28966107354066073,0.18458702304868413,255.01547095186564
True,True,True,True,True,14,50,45,12,26,9,hist_above0,14,20,10,20,20,2.0,10.0,140657.6547726909,596.0,55.70469798657718,236.0027764642465,1.2836330131597595,0.38837529058873327,-0.32390001317385425,0.17495397585818773,236.0027764642465
True,True,True,True,True,14,50,45,12,26,9,hist_above0,14,20,10,20,20,2.0,,144191.8834986582,595.0,55.96638655462185,242.33929999774486,1.2938028962243355,0.5237793892629293,-0.3231109084641658,0.17755644825418204,242.33929999774486
True,True,True,True,True,14,50,45,12,26,9,hist_above0,14,20,10,50,20,2.0,10.0,143825.7724382491,599.0,55.59265442404006,240.10980373664293,1.2973432189852792,-0.25499609532733236,-0.2896605369374994,0.17728880104355915,240.10980373664293
