USE_RSI,USE_MACD,USE_ADX,USE_SMA,USE_BB,RSI_LEN,RSI_LONG_MIN,RSI_SHORT_MAX,MACD_FAST,MACD_SLOW,MACD_SIGNAL,MACD_MODE,ADX_LEN,ADX_MIN,SMA_FAST,SMA_SLOW,BB_LEN,BB_STD,BB_SQUEEZE_PCTL,total_net,n_trades,win_rate,avg_pnl,profit_factor,sharpe,max_drawdown,cagr,expectancy
True,False,False,True,True,21,55,50,12,26,9,line_cross,14,20,10,50,20,2.0,10.0,232835.31602900737,512.0,57.8125,454.756476619155,1.662882932743797,2.60065119708552,-0.1581581822970777,0.24158718858025452,454.756476619155
True,False,False,True,True,21,55,50,12,26,9,hist_above0,14,20,10,50,20,2.0,10.0,232688.1766018528,512.0,58.0078125,454.4690949254938,1.6585270201120488,2.6028710939059434,-0.1581582793243851,0.24150651136361834,454.4690949254938
True,False,False,True,True,21,50,50,12,26,9,line_cross,14,20,10,50,20,2.0,10.0,229816.3984224861,536.0,57.83582089552238,428.7619373553845,1.5961930147118448,2.443845974207075,-0.2064618889948441,0.23992449806226812,428.7619373553845
True,False,False,True,True,21,55,50,12,26,9,line_cross,14,25,10,50,20,2.0,10.0,227247.16294297838,513.0,57.89473684210527,442.97692581477264,1.6333755690494411,2.5179640123549953,-0.1637186592378325,0.2384970617253086,442.97692581477264
True,False,False,True,True,21,50,50,12,26,9,hist_above0,14,25,10,50,20,2.0,10.0,226707.98935514904,536.0,57.83582089552238,422.9626667073676,1.583424465214088,2.396662117861309,-0.2064619326742701,0.23819603454480576,422.9626667073676
True,False,False,True,False,21,50,50,12,26,9,line_cross,14,20,10,50,20,2.0,10.0,226637.0504722448,527.0,56.92599620493358,430.05132916934497,1.5934491635822934,2.5252064446803204,-0.20646172225748075,0.23815639029929425,430.05132916934497
True,False,False,True,True,21,55,50,12,26,9,hist_above0,14,25,10,50,20,2.0,10.0,226541.7918945469,513.0,57.69980506822612,441.6019335176353,1.6336125155749306,2.547600189274332,-0.1637187573695311,0.23810314097821728,441.6019335176353
True,False,False,True,False,21,55,50,12,26,9,line_cross,14,20,10,50,20,2.0,10.0,225981.10717257715,495.0,57.97979797979798,456.5274892375296,1.6559808396468334,2.4983582180734616,-0.15815818590446507,0.2377893938521558,456.5274892375296
True,False,False,True,True,21,55,50,12,26,9,line_cross,14,25,10,50,20,2.0,,225816.907482651,495.0,57.77777777777777,456.19577269222424,1.655360889769741,2.4652913389315456,-0.15815800239462996,0.23769740563423492,456.19577269222424
True,False,False,True,True,21,55,50,12,26,9,hist_above0,14,20,10,50,20,2.0,,225623.44012866233,495.0,57.77777777777777,455.8049295528532,1.6544318251491943,2.4683828913048775,-0.15815791131765075,0.23758895951915138,455.8049295528532
