Stock Symbol,Pattern Detected,Bullish/Bearish,Pattern Time,When this pattern usually forms
360ONE.NS,No clear setup,,,—
3MINDIA.NS,No clear setup,,,—
ABB.NS,No clear setup,,,—
ACMESOLAR.NS,No clear setup,,,—
AIAENG.NS,No clear setup,,,—
APLAPOLLO.NS,No clear setup,,,—
AUBANK.NS,No clear setup,,,—
AWL.NS,No clear setup,,,—
AADHARHFC.NS,No clear setup,,,—
AAVAS.NS,No clear setup,,,—
ABBOTINDIA.NS,No clear setup,,,—
ADANIENSOL.NS,No clear setup,,,—
ADANIENT.NS,No clear setup,,,—
ADANIPORTS.NS,No clear setup,,,—
ATGL.NS,No clear setup,,,—
ABCAPITAL.NS,No clear setup,,,—
ABFRL.NS,No clear setup,,,—
AEGISLOG.NS,No clear setup,,,—
AFFLE.NS,No clear setup,,,—
APLLTD.NS,No clear setup,,,—
ALIVUS.NS,No clear setup,,,—
ALKEM.NS,No clear setup,,,—
AMBER.NS,No clear setup,,,—
AMBUJACEM.NS,No clear setup,,,—
ANANDRATHI.NS,No clear setup,,,—
ANANTRAJ.NS,No clear setup,,,—
ANGELONE.NS,No clear setup,,,—
APARINDS.NS,No clear setup,,,—
APOLLOHOSP.NS,No clear setup,,,—
APOLLOTYRE.NS,No clear setup,,,—
ASAHIINDIA.NS,No clear setup,,,—
ASIANPAINT.NS,No clear setup,,,—
ASTERDM.NS,No clear setup,,,—
ASTRAZEN.NS,No clear setup,,,—
AIIL.NS,No clear setup,,,—
DMART.NS,No clear setup,,,—
AXISBANK.NS,No clear setup,,,—
BASF.NS,No clear setup,,,—
BEML.NS,No clear setup,,,—
BLS.NS,No clear setup,,,—
BAJFINANCE.NS,No clear setup,,,—
BAJAJHLDNG.NS,No clear setup,,,—
BAJAJHFL.NS,No clear setup,,,—
BALKRISIND.NS,No clear setup,,,—
BANDHANBNK.NS,No clear setup,,,—
BANKBARODA.NS,No clear setup,,,—
MAHABANK.NS,No clear setup,,,—
BATAINDIA.NS,No clear setup,,,—
BAYERCROP.NS,No clear setup,,,—
BERGEPAINT.NS,No clear setup,,,—
BDL.NS,No clear setup,,,—
BEL.NS,No clear setup,,,—
BHEL.NS,No clear setup,,,—
BHARTIARTL.NS,No clear setup,,,—
BHARTIHEXA.NS,No clear setup,,,—
BIOCON.NS,No clear setup,,,—
BLUEDART.NS,No clear setup,,,—
BLUESTARCO.NS,No clear setup,,,—
BBTC.NS,No clear setup,,,—
FIRSTCRY.NS,No clear setup,,,—
BRIGADE.NS,No clear setup,,,—
MAPMYINDIA.NS,No clear setup,,,—
CCL.NS,No clear setup,,,—
CESC.NS,No clear setup,,,—
CGPOWER.NS,No clear setup,,,—
CRISIL.NS,No clear setup,,,—
CAMPUS.NS,No clear setup,,,—
CANFINHOME.NS,No clear setup,,,—
CAPLIPOINT.NS,No clear setup,,,—
CARBORUNIV.NS,No clear setup,,,—
CASTROLIND.NS,No clear setup,,,—
CEATLTD.NS,No clear setup,,,—
CENTRALBK.NS,No clear setup,,,—
CDSL.NS,No clear setup,,,—
CENTURYPLY.NS,No clear setup,,,—
CERA.NS,No clear setup,,,—
CHENNPETRO.NS,No clear setup,,,—
CHOLAFIN.NS,No clear setup,,,—
CIPLA.NS,No clear setup,,,—
CUB.NS,No clear setup,,,—
CLEAN.NS,No clear setup,,,—
COHANCE.NS,No clear setup,,,—
COLPAL.NS,No clear setup,,,—
CONCOR.NS,No clear setup,,,—
COROMANDEL.NS,No clear setup,,,—
CROMPTON.NS,No clear setup,,,—
CUMMINSIND.NS,No clear setup,,,—
DCMSHRIRAM.NS,No clear setup,,,—
DOMS.NS,No clear setup,,,—
DABUR.NS,No clear setup,,,—
DALBHARAT.NS,No clear setup,,,—
DATAPATTNS.NS,No clear setup,,,—
DEEPAKFERT.NS,No clear setup,,,—
DEEPAKNTR.NS,No clear setup,,,—
DIVISLAB.NS,No clear setup,,,—
DIXON.NS,No clear setup,,,—
LALPATHLAB.NS,No clear setup,,,—
EIDPARRY.NS,No clear setup,,,—
EIHOTEL.NS,No clear setup,,,—
ELECON.NS,No clear setup,,,—
ELGIEQUIP.NS,No clear setup,,,—
EMAMILTD.NS,No clear setup,,,—
EMCURE.NS,No clear setup,,,—
ENDURANCE.NS,No clear setup,,,—
ERIS.NS,No clear setup,,,—
ETERNAL.NS,No clear setup,,,—
EXIDEIND.NS,No clear setup,,,—
NYKAA.NS,No clear setup,,,—
FACT.NS,No clear setup,,,—
FINPIPE.NS,No clear setup,,,—
FSL.NS,No clear setup,,,—
FIVESTAR.NS,No clear setup,,,—
FORTIS.NS,No clear setup,,,—
GVT&D.NS,No clear setup,,,—
GMRAIRPORT.NS,No clear setup,,,—
GRSE.NS,No clear setup,,,—
GICRE.NS,No clear setup,,,—
GILLETTE.NS,No clear setup,,,—
GLAND.NS,No clear setup,,,—
GLAXO.NS,No clear setup,,,—
GLENMARK.NS,No clear setup,,,—
MEDANTA.NS,No clear setup,,,—
GODIGIT.NS,No clear setup,,,—
GODFRYPHLP.NS,No clear setup,,,—
GODREJAGRO.NS,No clear setup,,,—
GODREJIND.NS,No clear setup,,,—
GODREJPROP.NS,No clear setup,,,—
GRAPHITE.NS,No clear setup,,,—
GRAVITA.NS,No clear setup,,,—
FLUOROCHEM.NS,No clear setup,,,—
GMDCLTD.NS,No clear setup,,,—
GPPL.NS,No clear setup,,,—
GSPL.NS,No clear setup,,,—
HEG.NS,No clear setup,,,—
HBLENGINE.NS,No clear setup,,,—
HCLTECH.NS,No clear setup,,,—
HDFCAMC.NS,No clear setup,,,—
HDFCBANK.NS,No clear setup,,,—
HDFCLIFE.NS,No clear setup,,,—
HFCL.NS,No clear setup,,,—
HAPPSTMNDS.NS,No clear setup,,,—
HAVELLS.NS,No clear setup,,,—
HINDALCO.NS,No clear setup,,,—
HAL.NS,No clear setup,,,—
HINDPETRO.NS,No clear setup,,,—
HINDUNILVR.NS,No clear setup,,,—
HINDZINC.NS,No clear setup,,,—
POWERINDIA.NS,No clear setup,,,—
HOMEFIRST.NS,No clear setup,,,—
HONAUT.NS,No clear setup,,,—
HUDCO.NS,No clear setup,,,—
HYUNDAI.NS,No clear setup,,,—
