ticker,date,pattern,direction,open,high,low,close,rsi14,macd,macd_signal,macd_hist,sto_k,sto_d,adx,di_plus,di_minus,aroon_up,aroon_dn,aroon_osc,bb_upper,bb_mid,bb_lower,bb_width,pct_b,bb_squeeze,atr14,vol,vol20,obv,obv_slope,eom14,sma50,sma200,confirmations_met,num_conf,entry_suggest,stop_suggest,risk_per_share,size_for_1pct,note
CIPLA.NS,2019-01-28,CDLENGULFING,bearish,509.0,509.0,489.1,492.15,32.51,-5.9416,-5.3387,-0.6029,26.91,31.1,27.94,8.01,30.02,20.0,100.0,-80.0,522.1548,510.38,498.6052,0.046141,-0.2741,True,9.7419,3215535,1585002,-55625955,-3215535,-8e-06,517.989,585.2455,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,487.6327,520.6903,33.0576,30,Sell on breakdown < pattern Low (−buffer)
IEX.NS,2019-02-12,CDLENGULFING,bullish,54.3667,56.15,54.2833,55.95,62.9,0.3119,0.0407,0.2713,69.05,65.63,23.16,23.7,8.94,88.0,0.0,88.0,55.6772,53.9617,52.2462,0.063582,1.0795,True,1.4232,378759,227818,19320624,378759,2e-06,54.0517,54.1471,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,56.3185,52.5755,3.7429,267,Buy on breakout > pattern High (+buffer)
JWL.NS,2019-05-03,CDLENGULFING,bearish,18.4,19.05,17.5,17.5,24.76,-0.6669,-0.5692,-0.0977,14.97,21.53,27.99,10.65,19.02,0.0,100.0,-100.0,20.2873,19.05,17.8127,0.129904,-0.1263,True,0.9997,37808,24960,3603096,-37808,-1.1e-05,20.139,17.6567,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,17.4475,20.2497,2.8022,356,Sell on breakdown < pattern Low (−buffer)
REDINGTON.NS,2019-11-25,CDLENGULFING,bullish,56.15,67.2,56.15,65.275,72.24,0.7782,0.4642,0.3141,39.53,27.83,21.55,31.03,11.83,100.0,8.0,92.0,61.6349,57.865,54.0951,0.1303,1.4828,True,3.1679,3974012,517925,17295486,3974012,0.0,56.3055,50.2694,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,67.4016,52.3485,15.0531,66,Buy on breakout > pattern High (+buffer)
GODREJIND.NS,2019-12-20,CDLENGULFING,bearish,427.3,428.6,415.4,416.8,42.54,-1.1026,0.3752,-1.4778,51.65,58.92,21.49,16.71,20.75,12.0,76.0,-64.0,444.8121,428.6775,412.5429,0.075276,0.1319,True,12.6416,158484,88424,9337425,-158484,-0.000393,420.279,459.6587,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,414.1538,443.7699,29.6161,33,Sell on breakdown < pattern Low (−buffer)
DIXON.NS,2020-01-30,CDLENGULFING,bullish,840.0,905.6,820.0,899.88,74.91,33.2674,32.3579,0.9095,77.0,74.41,52.07,27.53,16.06,100.0,0.0,100.0,889.0542,839.324,789.5938,0.118501,1.1088,True,29.5554,1117870,371650,13522930,1117870,0.000116,758.8358,562.9902,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,908.3168,784.5335,123.7832,8,Buy on breakout > pattern High (+buffer)
BRIGADE.NS,2020-02-06,CDLENGULFING,bullish,230.0,242.45,228.15,239.75,63.45,4.315,4.2385,0.0765,63.27,58.03,30.45,22.6,10.45,84.0,8.0,76.0,238.241,230.6825,223.124,0.065531,1.0998,True,9.9602,317679,156073,19238061,317679,7e-06,218.518,191.2365,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,243.1773,216.1978,26.9796,37,Buy on breakout > pattern High (+buffer)
DEEPAKFERT.NS,2020-06-30,CDLDOJI,bullish,114.414,117.5653,112.8142,114.9473,63.34,4.1923,4.076,0.1164,76.07,73.75,35.57,27.47,12.21,80.0,0.0,80.0,119.292,108.2376,97.1832,0.204261,0.8035,True,5.5651,9060187,1811915,69530257,9060187,1e-06,101.4339,94.042,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,117.918,106.1361,11.7819,84,Buy on breakout > pattern High (+buffer)
ATGL.NS,2020-08-10,CDLDOJI,bullish,163.0,168.0,162.0,163.2,61.76,3.252,2.5251,0.7269,75.66,74.4,27.66,31.63,13.42,100.0,64.0,36.0,162.9852,152.59,142.1948,0.13625,1.0103,True,7.1741,2621948,1629204,161110924,2621948,1e-06,149.224,140.0912,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,168.504,153.3911,15.1129,66,Buy on breakout > pattern High (+buffer)
BHARATFORG.NS,2020-08-12,CDLENGULFING,bullish,412.8,442.3,406.6,434.8,72.67,15.3975,12.4622,2.9352,77.3,77.29,31.06,35.73,10.91,100.0,8.0,92.0,424.0084,393.8025,363.5966,0.153406,1.1786,True,16.1477,9540525,3224939,64353971,9540525,1e-05,370.798,396.129,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,443.6269,387.2227,56.4042,17,Buy on breakout > pattern High (+buffer)
PCBL.NS,2020-10-13,CDLENGULFING,bullish,62.9,68.2,62.5,67.575,62.17,1.3475,1.3273,0.0202,64.77,55.34,21.65,29.95,16.38,72.0,8.0,64.0,67.7432,63.435,59.1268,0.135831,0.9805,True,3.0255,6598364,2769309,373262610,6598364,0.0,60.895,52.1714,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,68.4046,58.8694,9.5352,104,Buy on breakout > pattern High (+buffer)
