ticker,signal_date,pattern,entry_date,exit_date,entry,exit,stop,target,bars_in_trade,shares,pnl,ret_pct_on_50k,R,outcome
IEX.NS,2019-02-12,CDLENGULFING,2019-03-13,2019-04-09,56.3185,52.5755,52.5755,63.8045,18,887,-3397.31,-6.795,-1.0,SL
REDINGTON.NS,2019-11-25,CDLENGULFING,,,,,52.3485,,0,0,0.0,0.0,0.0,NOENTRY
DIXON.NS,2020-01-30,CDLENGULFING,2020-01-31,2020-02-27,908.3168,784.5335,784.5335,1155.8834,19,55,-6882.57,-13.765,-1.0,SL
BRIGADE.NS,2020-02-06,CDLENGULFING,2020-02-20,2020-03-02,243.1773,216.1978,216.1978,297.1363,7,205,-5606.14,-11.212,-1.0,SL
DEEPAKFERT.NS,2020-06-30,CDLDOJI,2020-07-01,2020-07-28,117.918,142.5812,106.1361,141.4818,20,423,10344.39,20.689,2.093,TP
ATGL.NS,2020-08-10,CDLDOJI,2020-08-20,2020-09-04,168.504,198.7298,153.3911,198.7298,12,296,8859.88,17.72,2.0,TP
BHARATFORG.NS,2020-08-12,CDLENGULFING,2020-08-13,2020-09-09,443.6269,465.95,387.2227,556.4353,20,112,2418.69,4.837,0.396,TIME
PCBL.NS,2020-10-13,CDLENGULFING,2020-10-15,2020-11-11,68.4046,74.85,58.8694,87.475,20,730,4621.48,9.243,0.676,TIME
JBMA.NS,2020-11-24,CDLENGULFING,2020-11-27,2020-12-21,54.1419,48.2923,48.2923,65.8411,16,923,-5474.82,-10.95,-1.0,SL
NETWORK18.NS,2020-12-01,CDLENGULFING,2020-12-02,2020-12-30,36.5092,36.15,31.9452,45.6372,20,1368,-570.9,-1.142,-0.079,TIME
IDEA.NS,2020-12-31,CDLENGULFING,2021-01-01,2021-01-29,10.9327,11.2,9.4133,13.9715,20,4571,1140.89,2.282,0.176,TIME
CENTURYPLY.NS,2021-01-01,CDLENGULFING,2021-01-07,2021-02-04,250.75,271.0,220.1173,312.0154,20,199,3946.69,7.893,0.661,TIME
AXISBANK.NS,2021-01-05,CDLENGULFING,2021-01-07,2021-02-04,669.9037,743.9,596.0628,817.5855,20,74,5392.03,10.784,1.002,TIME
SUNPHARMA.NS,2021-05-05,CDLENGULFING,2021-05-06,2021-06-03,689.9637,675.5,619.1473,831.5965,20,72,-1120.04,-2.24,-0.204,TIME
SJVN.NS,2021-06-04,CDLENGULFING,2021-06-07,2021-07-02,28.8864,27.8,26.4727,33.7138,20,1730,-1957.93,-3.916,-0.45,TIME
SHRIRAMFIN.NS,2021-06-07,CDLENGULFING,2021-06-08,2021-06-18,303.7987,269.5504,269.5504,372.2953,9,164,-5691.95,-11.384,-1.0,SL
IGL.NS,2021-06-09,CDLDOJI,2021-06-11,2021-06-25,273.2172,255.7805,255.7805,308.0906,11,182,-3250.5,-6.501,-1.0,SL
SHRIRAMFIN.NS,2021-09-08,CDLENGULFING,2021-09-16,2021-09-21,277.1088,257.9052,257.9052,315.516,4,180,-3533.69,-7.067,-1.0,SL
APARINDS.NS,2022-01-25,CDLENGULFING,2022-01-27,2022-01-31,841.517,727.3733,727.3733,1069.8044,3,59,-6808.53,-13.617,-1.0,SL
COCHINSHIP.NS,2022-08-08,CDLDOJI,2022-08-25,2022-08-29,173.519,191.0648,164.7461,191.0648,3,288,4969.19,9.938,2.0,TP
HUDCO.NS,2022-08-16,CDLDOJI,2022-08-19,2022-09-05,38.766,42.1832,37.0574,42.1832,11,1289,4321.3,8.643,2.0,TP
