,shares,price,alloc_value
ONGC.NS,344,233.7100067138672,80396.24230957031
WIPRO.NS,320,249.41000366210938,79811.201171875
POWERGRID.NS,289,275.25,79547.25
NTPC.NS,245,327.54998779296875,80249.74700927734
COALINDIA.NS,213,374.79998779296875,79832.39739990234
ITC.NS,196,409.75,80311.0
HDFCLIFE.NS,103,772.0499877929688,79521.14874267578
TATACONSUM.NS,75,1065.4000244140625,79905.00183105469
DRREDDY.NS,63,1260.0999755859375,79386.29846191406
SBIN.NS,59,802.5,47347.5
TATAMOTORS.NS,17,669.0,11373.0
LT.NS,8,3601.0,28808.0
TITAN.NS,7,3628.800048828125,25401.600341796875
MARUTI.NS,6,14791.0,88746.0
ULTRACEMCO.NS,6,12640.0,75840.0
SUNPHARMA.NS,2,1594.5,3189.0
