symbol,ppo,ppo_slope,rs_level_3m,rs_momentum,regime_bull,above_50,above_200,breakout_20,breakout_55,dist_52w,bbw_pct,adx,adx_rising,di_plus_gt,pct_above50_last21,rs_vs_bench,sharpe,leaders_score,nextup_score
^CNXPHARMA,0.002709,0.000121,-0.024272,-0.000432,1,1,1,0,0,-0.058743,0.015873,36.080244,1,1,0.904762,-0.012674,0.303993,11.550000,15.950000
^CNXENERGY,0.006614,0.000347,-0.008801,0.000034,1,1,1,0,0,-0.097017,0.571429,25.758857,1,0,1.000000,0.003980,0.288392,10.900000,12.150000
^CNXAUTO,0.001375,-0.000089,0.084517,0.000982,1,1,1,0,0,-0.020118,0.269841,28.628119,1,0,0.904762,0.109134,0.442191,10.300000,11.950000
^NSEBANK,0.009593,0.000388,0.010896,0.000492,1,1,1,0,0,-0.008709,0.611111,55.869519,0,0,1.000000,0.012827,0.360831,9.850000,4.800000
^CNXINFRA,0.010488,0.000312,0.004441,0.000067,1,1,1,0,0,-0.027764,0.841270,61.185683,0,1,1.000000,0.014871,0.250129,9.100000,9.100000
^CNXMETAL,0.012609,0.000362,0.079911,0.000616,1,1,1,0,0,-0.032540,0.626984,34.411000,0,1,1.000000,0.134774,0.164211,8.200000,7.350000
^CNXFMCG,0.001501,-0.000021,-0.038203,-0.001745,0,0,1,0,0,-0.067235,0.896825,33.796860,0,0,0.571429,-0.050062,0.398345,7.950000,8.800000
^CNXREALTY,0.015729,0.000685,0.008000,0.000008,1,1,1,0,0,-0.153980,0.555556,78.859716,0,1,0.857143,0.039834,0.194438,7.900000,6.800000
^CNXMEDIA,-0.012354,0.000006,-0.121732,-0.000138,0,0,0,0,0,-0.285180,0.349206,39.022779,1,0,0.000000,-0.100292,-0.144427,7.150000,13.050000
^CNXIT,0.001626,0.000373,-0.030764,-0.000851,0,0,0,0,0,-0.236503,0.071429,35.906112,0,0,0.809524,-0.053295,0.069305,6.950000,5.050000
