,price_latest,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ret_ytd,vol_ann,cagr,sharpe,rs_vs_bench,score_composite
NIFTY_FIN_SERVICE.NS,27566.15,0.27,0.11,4.07,5.11,18.82,17.24,21.56,16.34,0.44,-0.40,6.05
^CNXAUTO,27537.85,1.09,1.13,8.12,17.38,20.18,20.60,21.11,16.37,0.45,7.76,2.75
^CNXENERGY,35852.40,-1.13,0.58,2.88,1.40,-3.23,1.89,20.84,12.44,0.29,-2.85,7.65
^CNXFMCG,55504.70,-0.10,-1.95,-2.05,-0.17,-0.50,-2.28,16.49,13.05,0.40,-6.10,9.80
^CNXINFRA,9661.45,0.44,2.07,5.48,8.17,14.57,14.15,19.87,11.52,0.26,1.83,4.40
^CNXIT,36885.35,1.61,4.49,3.35,-0.44,-12.99,-14.89,95.56,13.50,0.07,-3.54,7.10
^CNXMEDIA,1444.20,-2.40,-6.31,-11.86,-13.73,-24.95,-20.55,26.43,1.92,-0.15,-17.79,12.00
^CNXMETAL,10142.55,-3.36,-0.88,6.79,10.49,14.88,17.26,27.77,10.63,0.16,3.64,4.80
^CNXPHARMA,22580.95,-1.05,0.29,2.78,4.92,3.81,-3.55,18.63,12.20,0.31,-1.14,7.70
^CNXPSUBANK,8378.70,-0.25,6.69,17.95,25.66,29.05,28.10,32.84,8.73,0.08,16.81,1.00
^CNXREALTY,905.60,-3.78,-3.39,-0.90,-3.08,-4.37,-13.94,31.52,12.20,0.18,-6.99,10.50
^NSEBANK,58867.70,0.60,1.48,5.69,7.15,17.31,15.74,23.02,15.11,0.36,1.42,4.25
^NSEI,26068.15,0.61,0.77,4.06,5.93,10.77,10.25,16.21,13.02,0.40,0.00,
