symbol,ppo,ppo_slope,rs_level_3m,rs_momentum,regime_bull,above_50,above_200,breakout_20,breakout_55,dist_52w,bbw_pct,adx,adx_rising,di_plus_gt,pct_above50_last21,rs_vs_bench,sharpe,score_composite,leaders_score,nextup_score,mom_rank,rs_rank,adx_rank,dist_rank,rs_mom_rank,ppo_slope_rank,squeeze_rank
^CNXPSUBANK,0.024674,0.000604,0.133465,0.000893,1,1,1,0,0,-0.023052,0.595238,41.255063,0,1,1.000000,0.168093,0.078115,1.000000,1.600000,2.900000,1.000000,1.000000,2.000000,8.000000,2.000000,1.000000,10.000000
^CNXAUTO,0.007025,-0.000372,0.039013,0.000003,1,1,1,0,0,-0.000586,0.650794,12.480015,0,1,0.904762,0.077580,0.450313,2.750000,4.700000,7.400000,2.000000,2.000000,12.000000,12.000000,8.000000,12.000000,11.000000
^CNXINFRA,0.009862,0.000284,0.013598,0.000141,1,1,1,0,0,-0.003183,0.246032,28.220594,0,1,1.000000,0.018277,0.259262,4.400000,4.800000,4.500000,4.000000,4.000000,6.000000,11.000000,5.000000,5.000000,5.000000
^CNXMETAL,0.002750,0.000131,0.026203,0.000417,0,0,1,0,0,-0.058914,0.420635,25.032378,1,0,0.952381,0.036450,0.155939,4.800000,4.900000,5.700000,5.000000,3.000000,7.000000,4.000000,3.000000,9.000000,9.000000
^NSEBANK,0.010300,0.000396,0.015642,0.001430,1,1,1,0,0,-0.008088,0.261905,19.764771,0,1,1.000000,0.014240,0.364933,4.250000,5.000000,3.000000,3.000000,5.000000,9.000000,10.000000,1.000000,3.000000,7.000000
NIFTY_FIN_SERVICE.NS,0.006659,0.000286,0.000086,0.000292,1,1,1,0,0,-0.010595,0.158730,31.258012,0,0,1.000000,-0.004036,0.439806,6.050000,5.600000,4.600000,6.000000,6.000000,4.000000,9.000000,4.000000,4.000000,4.000000
^CNXIT,0.010244,0.000240,-0.006852,-0.000781,0,1,1,0,0,-0.198071,0.333333,12.815276,0,1,0.857143,-0.035421,0.072802,7.100000,7.700000,8.200000,7.000000,9.000000,11.000000,2.000000,11.000000,7.000000,8.000000
^CNXENERGY,0.004469,0.000275,-0.011335,0.000089,1,1,1,0,0,-0.056865,0.079365,16.519495,0,0,1.000000,-0.028525,0.287676,7.650000,7.800000,6.000000,8.000000,8.000000,10.000000,5.000000,6.000000,6.000000,3.000000
^CNXFMCG,-0.001682,-0.000066,-0.058698,-0.002470,0,0,1,0,0,-0.043494,0.063492,48.002843,1,0,0.380952,-0.061012,0.397181,9.800000,7.800000,8.500000,10.000000,10.000000,1.000000,6.000000,12.000000,10.000000,1.000000
^CNXPHARMA,0.006385,0.000139,-0.012291,-0.000396,1,1,1,0,0,-0.041287,0.246032,21.145234,1,1,1.000000,-0.011419,0.309775,7.700000,7.900000,7.800000,9.000000,7.000000,8.000000,7.000000,10.000000,8.000000,5.000000
^CNXREALTY,0.000515,0.000531,-0.047711,0.000009,0,0,0,0,0,-0.190453,0.071429,30.890493,0,0,0.952381,-0.069867,0.183237,10.500000,9.000000,6.200000,11.000000,11.000000,5.000000,3.000000,7.000000,2.000000,2.000000
^CNXMEDIA,-0.017732,-0.000129,-0.152965,-0.000166,0,0,0,0,0,-0.306989,0.817460,40.680113,1,0,0.000000,-0.177872,-0.153471,12.000000,9.100000,10.600000,12.000000,12.000000,3.000000,1.000000,9.000000,11.000000,12.000000
