symbol,name
360ONE.NS,360 ONE WAM Ltd.
3MINDIA.NS,3M India Ltd.
ABB.NS,ABB India Ltd.
ACC.NS,ACC Ltd.
ACMESOLAR.NS,ACME Solar Holdings Ltd.
AIAENG.NS,AIA Engineering Ltd.
APLAPOLLO.NS,APL Apollo Tubes Ltd.
AUBANK.NS,AU Small Finance Bank Ltd.
AWL.NS,AWL Agri Business Ltd.
AADHARHFC.NS,Aadhar Housing Finance Ltd.
AARTIIND.NS,Aarti Industries Ltd.
AAVAS.NS,Aavas Financiers Ltd.
ABBOTINDIA.NS,Abbott India Ltd.
ACE.NS,Action Construction Equipment Ltd.
ADANIENSOL.NS,Adani Energy Solutions Ltd.
ADANIENT.NS,Adani Enterprises Ltd.
ADANIGREEN.NS,Adani Green Energy Ltd.
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.
ADANIPOWER.NS,Adani Power Ltd.
ATGL.NS,Adani Total Gas Ltd.
ABCAPITAL.NS,Aditya Birla Capital Ltd.
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.
ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.
ABREL.NS,Aditya Birla Real Estate Ltd.
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.
AEGISLOG.NS,Aegis Logistics Ltd.
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.
AFCONS.NS,Afcons Infrastructure Ltd.
AFFLE.NS,Affle 3i Ltd.
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.
AKZOINDIA.NS,Akzo Nobel India Ltd.
APLLTD.NS,Alembic Pharmaceuticals Ltd.
ALKEM.NS,Alkem Laboratories Ltd.
ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.
ALOKINDS.NS,Alok Industries Ltd.
ARE&M.NS,Amara Raja Energy & Mobility Ltd.
AMBER.NS,Amber Enterprises India Ltd.
AMBUJACEM.NS,Ambuja Cements Ltd.
ANANDRATHI.NS,Anand Rathi Wealth Ltd.
ANANTRAJ.NS,Anant Raj Ltd.
ANGELONE.NS,Angel One Ltd.
APARINDS.NS,Apar Industries Ltd.
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.
APOLLOTYRE.NS,Apollo Tyres Ltd.
APTUS.NS,Aptus Value Housing Finance India Ltd.
ASAHIINDIA.NS,Asahi India Glass Ltd.
ASHOKLEY.NS,Ashok Leyland Ltd.
ASIANPAINT.NS,Asian Paints Ltd.
ASTERDM.NS,Aster DM Healthcare Ltd.
ASTRAZEN.NS,AstraZenca Pharma India Ltd.
ASTRAL.NS,Astral Ltd.
ATHERENERG.NS,Ather Energy Ltd.
ATUL.NS,Atul Ltd.
AUROPHARMA.NS,Aurobindo Pharma Ltd.
AIIL.NS,Authum Investment & Infrastructure Ltd.
DMART.NS,Avenue Supermarts Ltd.
AXISBANK.NS,Axis Bank Ltd.
BASF.NS,BASF India Ltd.
BEML.NS,BEML Ltd.
BLS.NS,BLS International Services Ltd.
BSE.NS,BSE Ltd.
BAJAJ-AUTO.NS,Bajaj Auto Ltd.
BAJFINANCE.NS,Bajaj Finance Ltd.
BAJAJFINSV.NS,Bajaj Finserv Ltd.
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.
BAJAJHFL.NS,Bajaj Housing Finance Ltd.
BALKRISIND.NS,Balkrishna Industries Ltd.
BALRAMCHIN.NS,Balrampur Chini Mills Ltd.
BANDHANBNK.NS,Bandhan Bank Ltd.
BANKBARODA.NS,Bank of Baroda
BANKINDIA.NS,Bank of India
MAHABANK.NS,Bank of Maharashtra
BATAINDIA.NS,Bata India Ltd.
BAYERCROP.NS,Bayer Cropscience Ltd.
BERGEPAINT.NS,Berger Paints India Ltd.
BDL.NS,Bharat Dynamics Ltd.
BEL.NS,Bharat Electronics Ltd.
BHARATFORG.NS,Bharat Forge Ltd.
BHEL.NS,Bharat Heavy Electricals Ltd.
BPCL.NS,Bharat Petroleum Corporation Ltd.
BHARTIARTL.NS,Bharti Airtel Ltd.
BHARTIHEXA.NS,Bharti Hexacom Ltd.
BIKAJI.NS,Bikaji Foods International Ltd.
BIOCON.NS,Biocon Ltd.
BSOFT.NS,Birlasoft Ltd.
BLUEDART.NS,Blue Dart Express Ltd.
BLUEJET.NS,Blue Jet Healthcare Ltd.
BLUESTARCO.NS,Blue Star Ltd.
BBTC.NS,Bombay Burmah Trading Corporation Ltd.
BOSCHLTD.NS,Bosch Ltd.
FIRSTCRY.NS,Brainbees Solutions Ltd.
BRIGADE.NS,Brigade Enterprises Ltd.
BRITANNIA.NS,Britannia Industries Ltd.
MAPMYINDIA.NS,C.E. Info Systems Ltd.
CCL.NS,CCL Products (I) Ltd.
CESC.NS,CESC Ltd.
CGPOWER.NS,CG Power and Industrial Solutions Ltd.
CRISIL.NS,CRISIL Ltd.
CAMPUS.NS,Campus Activewear Ltd.
CANFINHOME.NS,Can Fin Homes Ltd.
CANBK.NS,Canara Bank
CAPLIPOINT.NS,Caplin Point Laboratories Ltd.
CGCL.NS,Capri Global Capital Ltd.
CARBORUNIV.NS,Carborundum Universal Ltd.
CASTROLIND.NS,Castrol India Ltd.
CEATLTD.NS,Ceat Ltd.
CENTRALBK.NS,Central Bank of India
CDSL.NS,Central Depository Services (India) Ltd.
CENTURYPLY.NS,Century Plyboards (India) Ltd.
CERA.NS,Cera Sanitaryware Ltd
CHALET.NS,Chalet Hotels Ltd.
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.
CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.
CHOICEIN.NS,Choice International Ltd.
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.
CIPLA.NS,Cipla Ltd.
CUB.NS,City Union Bank Ltd.
CLEAN.NS,Clean Science and Technology Ltd.
COALINDIA.NS,Coal India Ltd.
COCHINSHIP.NS,Cochin Shipyard Ltd.
COFORGE.NS,Coforge Ltd.
COHANCE.NS,Cohance Lifesciences Ltd.
COLPAL.NS,Colgate Palmolive (India) Ltd.
CAMS.NS,Computer Age Management Services Ltd.
CONCORDBIO.NS,Concord Biotech Ltd.
CONCOR.NS,Container Corporation of India Ltd.
COROMANDEL.NS,Coromandel International Ltd.
CRAFTSMAN.NS,Craftsman Automation Ltd.
CREDITACC.NS,CreditAccess Grameen Ltd.
CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.
CUMMINSIND.NS,Cummins India Ltd.
CYIENT.NS,Cyient Ltd.
DCMSHRIRAM.NS,DCM Shriram Ltd.
DLF.NS,DLF Ltd.
DOMS.NS,DOMS Industries Ltd.
DABUR.NS,Dabur India Ltd.
DALBHARAT.NS,Dalmia Bharat Ltd.
DATAPATTNS.NS,Data Patterns (India) Ltd.
DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.
DEEPAKNTR.NS,Deepak Nitrite Ltd.
DELHIVERY.NS,Delhivery Ltd.
DEVYANI.NS,Devyani International Ltd.
DIVISLAB.NS,Divi's Laboratories Ltd.
DIXON.NS,Dixon Technologies (India) Ltd.
AGARWALEYE.NS,Dr. Agarwal's Health Care Ltd.
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.
EIDPARRY.NS,E.I.D. Parry (India) Ltd.
EIHOTEL.NS,EIH Ltd.
EICHERMOT.NS,Eicher Motors Ltd.
ELECON.NS,Elecon Engineering Co. Ltd.
ELGIEQUIP.NS,Elgi Equipments Ltd.
EMAMILTD.NS,Emami Ltd.
EMCURE.NS,Emcure Pharmaceuticals Ltd.
ENDURANCE.NS,Endurance Technologies Ltd.
ENGINERSIN.NS,Engineers India Ltd.
ERIS.NS,Eris Lifesciences Ltd.
ESCORTS.NS,Escorts Kubota Ltd.
ETERNAL.NS,Eternal Ltd.
EXIDEIND.NS,Exide Industries Ltd.
