time_ist,provider,title,url,tickers
2025-11-16T20:11:24+05:30,mint - companies,"Chapter 11 bankruptcy, season sales, franchisee trouble — Here's why multiple ice cream brands in US are shutting shops",https://www.livemint.com/companies/news/popular-us-ice-cream-brands-shut-shop-season-sale-franchisee-chapter-11-bankruptcy-dairy-queen-culvers-freddys-ritas-ice-11763302455062.html,"AEGISLOG.NS,ALKEM.NS,ASHOKLEY.NS"
2025-11-16T05:50:42+05:30,mint - companies,Business groups ask Supreme Court to pause California climate reporting laws in emergency appeal,https://www.livemint.com/companies/news/business-groups-ask-supreme-court-to-pause-california-climate-reporting-laws-in-emergency-appeal-11763252443303.html,SUPREMEIND.NS
2025-11-16T05:36:32+05:30,mint - companies,AI Debt Explosion Has Traders Searching for Cover: Credit Weekly,https://www.livemint.com/companies/news/ai-debt-explosion-has-traders-searching-for-cover-credit-weekly-11763251593080.html,"AEGISLOG.NS,ALKEM.NS,ASHOKLEY.NS"
2025-11-16T01:54:35+05:30,mint - companies,Novo Chairman Blames Board Dropout on Former Employer Pfizer,https://www.livemint.com/companies/news/novo-chairman-blames-board-dropout-on-former-employer-pfizer-11763238276022.html,PFIZER.NS
2025-11-15T08:38:06+05:30,mint - companies,"YouTube TV restores Disney channels, including ESPN, ABC – What shows are back, subscription, more | 10 things to know",https://www.livemint.com/companies/news/google-youtube-tv-restores-disney-channels-including-espn-abc-what-shows-are-back-subscription-10-things-11763171968922.html,"AEGISLOG.NS,ALKEM.NS,ASHOKLEY.NS"
2025-11-14T22:47:19+05:30,mint - companies,"Zero commission on items below  ₹1,000? Flipkart announces new structure for eligible sellers — What you need to know",https://www.livemint.com/companies/news/zero-commission-on-items-below-rs-1-000-flipkart-announces-new-structure-for-eligible-sellers-what-you-need-to-know-11763118853877.html,"AEGISLOG.NS,ALKEM.NS,ASHOKLEY.NS"
2025-11-14T20:28:13+05:30,mint - companies,Tata Motors PV slips into a loss in Q2 as JLR woes mount,https://www.livemint.com/companies/news/tata-motors-pv-slips-into-a-loss-as-jlr-cyberattack-us-tariffs-11763125768941.html,TMPV.NS
2025-11-14T13:56:33+05:30,mint - companies,Pizza powers through: Why Domino’s outperformed every QSR rival this quarter,https://www.livemint.com/companies/pizza-powers-through-why-domino-s-outperformed-every-qsr-rival-this-quarter-11763044210608.html,JUBLFOOD.NS
2025-11-14T10:48:52+05:30,mint - companies,"Anil Ambani clarifies ED summons linked to FEMA inquiry on Jaipur–Reengus highway project, not PMLA allegations",https://www.livemint.com/companies/news/anil-ambani-clarifies-ed-summons-are-linked-to-fema-inquiry-over-jaipur-reengus-highway-project-not-pmla-allegations-11763094057928.html,AKZOINDIA.NS
2025-11-16T12:18:49+05:30,Stocks-Markets-Economic Times,"Mcap of eight of top-10 valued firms jumps Rs 2.05 lakh crore; Bharti Airtel, RIL major winners",https://economictimes.indiatimes.com/markets/stocks/news/mcap-of-eight-of-top-10-valued-firms-jumps-rs-2-05-lakh-crore-bharti-airtel-ril-major-winners/articleshow/125360883.cms,"BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,RELIANCE.NS,RELINFRA.NS"
2025-11-16T12:13:20+05:30,Stocks-Markets-Economic Times,"Axis Securities offers Nifty playbook for the week, 3 stock picks for up to 13% upside",https://economictimes.indiatimes.com/markets/stocks/news/axis-securities-offers-nifty-playbook-for-the-week-3-stock-picks-for-up-to-13-upside/slideshow/125360878.cms,PERSISTENT.NS
2025-11-15T14:53:29+05:30,Stocks-Markets-Economic Times,Chris Wood’s India stocks: 8 counters see wild swings from -8% to 29% in 6 months,https://economictimes.indiatimes.com/markets/stocks/news/chris-woods-india-stocks-8-counters-see-wild-swings-from-8-to-29-in-6-months/slideshow/125345334.cms,"DLF.NS,ETERNAL.NS,GMRAIRPORT.NS,ICICIBANK.NS,POLICYBZR.NS"
2025-11-15T14:43:00+05:30,Stocks-Markets-Economic Times,"Asian Paints, Adani Enterprises among 48 firms set to reach record dates for dividends, bonuses, rights issue next week",https://economictimes.indiatimes.com/markets/stocks/news/asian-paints-adani-enterprises-among-48-firms-set-to-reach-record-dates-for-dividends-bonuses-rights-issue-next-week/slideshow/125345207.cms,"ADANIENT.NS,ASIANPAINT.NS"
2025-11-15T13:18:43+05:30,Stocks-Markets-Economic Times,Concurrent Gainers: 14 stocks rose for 5 days in a row,https://economictimes.indiatimes.com/markets/stocks/news/concurrent-gainers-14-stocks-rose-for-5-days-in-a-row/slideshow/125344252.cms,"ASIANPAINT.NS,AUROPHARMA.NS,BSE.NS,BERGEPAINT.NS,DATAPATTNS.NS"
2025-11-15T11:46:35+05:30,Stocks-Markets-Economic Times,Food delivery set for 20–22% GOV growth; Eternal &amp; Swiggy top bets,https://economictimes.indiatimes.com/markets/stocks/news/food-delivery-set-for-2022-gov-growth-eternal-swiggy-top-bets/articleshow/125342626.cms,"ETERNAL.NS,SWIGGY.NS"
2025-11-15T10:11:40+05:30,Stocks-Markets-Economic Times,European shares fall as US rate cut expectations wane; UK fiscal worries resurface,https://economictimes.indiatimes.com/markets/stocks/news/european-shares-fall-as-us-rate-cut-expectations-wane-uk-fiscal-worries-resurface/articleshow/125341408.cms,"ENRIN.NS,SIEMENS.NS"
2025-11-15T10:07:40+05:30,Stocks-Markets-Economic Times,"Global equities index falls, bond yields rise on fading rate cut hopes",https://economictimes.indiatimes.com/markets/stocks/news/global-equities-index-falls-bond-yields-rise-on-fading-rate-cut-hopes/articleshow/125341361.cms,OIL.NS
2025-11-15T09:25:56+05:30,Stocks-Markets-Economic Times,Stock market bounces back on NDA’s huge Bihar victory,https://economictimes.indiatimes.com/markets/stocks/news/stock-market-bounces-back-on-ndas-huge-bihar-victory/articleshow/125340960.cms,BSE.NS
2025-11-14T22:02:02+05:30,Stocks-Markets-Economic Times,"Max Health Q2 Results: Nifty's latest entrant reports 59% YoY jump in cons PAT to Rs 554 crore, revenue grows 21%",https://economictimes.indiatimes.com/markets/stocks/earnings/max-health-q2-results-niftys-latest-entrant-reports-74-yoy-jump-in-cons-pat-to-rs-491-crore-revenue-grows-25/articleshow/125331749.cms,MAXHEALTH.NS
2025-11-14T21:04:02+05:30,Stocks-Markets-Economic Times,"Tata Motors PV Q2 profit surges on one-time Gain; JLR hit hard by cyberattack, guidance cut",https://economictimes.indiatimes.com/markets/stocks/earnings/tata-motors-pv-q2-profit-surges-on-one-time-gain-jlr-hit-hard-by-cyberattack-guidance-cut/articleshow/125330626.cms,TMPV.NS
2025-11-14T18:25:57+05:30,Stocks-Markets-Economic Times,Cricket lifts Sun TV Network’s Q2 earnings as core advertising softens; Rs 3.75/share dividend declared,https://economictimes.indiatimes.com/markets/stocks/news/sun-tv-q2-pat-down-13-4-pc-to-rs-354-7-cr/articleshow/125328062.cms,SUNTV.NS
2025-11-14T17:30:40+05:30,Stocks-Markets-Economic Times,FIIs and DIIs place big bets on State Bank of India — Analysts see about 20% rally ahead,https://economictimes.indiatimes.com/markets/stocks/news/fiis-and-diis-place-big-bets-on-state-bank-of-india-analysts-see-about-20-rally-ahead/articleshow/125321619.cms,"BANKINDIA.NS,SBIN.NS"
2025-11-14T17:12:53+05:30,Stocks-Markets-Economic Times,"Gainers &amp; Losers: Pine Labs, Infosys among 7 stocks that were in focus on Friday",https://economictimes.indiatimes.com/markets/stocks/news/gainers-losers-pine-labs-infosys-among-7-stocks-that-were-in-focus-on-friday/slideshow/125326517.cms,"INFY.NS,JUBLFOOD.NS,TARIL.NS"
2025-11-14T16:46:22+05:30,Stocks-Markets-Economic Times,Kotak Mahindra Bank to consider stock split on November 21. Check details,https://economictimes.indiatimes.com/markets/stocks/news/kotak-mahindra-bank-to-consider-stock-split-on-november-21-check-details/articleshow/125325650.cms,KOTAKBANK.NS
2025-11-14T16:45:26+05:30,Stocks-Markets-Economic Times,Muthoot Finance Q2 profit surges 88% as gold loan demand hits new highs,https://economictimes.indiatimes.com/markets/stocks/earnings/muthoot-finance-q2-profit-surges-88-as-gold-loan-demand-hits-new-highs/articleshow/125325704.cms,MUTHOOTFIN.NS
2025-11-14T16:43:40+05:30,Stocks-Markets-Economic Times,Muthoot Finance Q2 results: Profit surges 88% YoY,https://economictimes.indiatimes.com/markets/stocks/earnings/muthoot-finance-q2-results-profit-surges-88-yoy/articleshow/125325549.cms,MUTHOOTFIN.NS
2025-11-16T16:16:24+05:30,"Market News in CNBCTV18, Market Latest News, Market News",Godrej Properties to launch properties worth ₹22k cr for sale in H2 FY26,https://www.cnbctv18.com/business/godrej-properties-to-launch-properties-worth-rs-22k-cr-for-sale-in-h2-fy26-ws-l-19763018.htm,"GODREJIND.NS,GODREJPROP.NS"
