Date,Close,High,Low,Open,Volume
2015-01-01,9063.626953125,9133.65180574325,8989.639729652696,9090.786843864735,5510
2015-01-02,9013.7080078125,9085.327070253983,8986.258344221957,9085.327070253983,1605
2015-01-05,8991.140625,9080.447849724094,8969.345690356442,8988.192914598032,2685
2015-01-06,8772.5126953125,9003.17410343374,8698.767077957744,9003.17410343374,2183
2015-01-07,8760.5751953125,8839.540409843266,8677.164347088137,8780.87220315689,6180
2015-01-08,8855.052734375,8892.022283542992,8766.857404660512,8892.022283542992,9564
2015-01-09,8880.7119140625,8940.346631176559,8867.905471590815,8877.52257376829,5835
2015-01-12,8894.001953125,8969.3426874256,8809.866228004777,8809.866228004777,21195
2015-01-13,8922.85546875,9000.27368247794,8891.974830646357,8922.033356826892,16857
2015-01-14,8952.3359375,8990.609926009241,8853.315324416992,8978.23860252242,13055
2015-01-15,9640.111328125,9792.82213520779,8911.352160147633,8911.352160147633,34301
2015-01-16,9588.1123046875,9761.893144364427,9510.59688520257,9761.893144364427,5131
2015-01-19,9913.7841796875,9976.462897167201,9597.585406788443,9597.585406788443,23250
2015-01-20,10106.3662109375,10196.832518099243,9768.807560989997,9863.381596891259,24943
2015-01-21,10078.236328125,10293.481429035019,10013.189446460356,10172.66591930456,11973
2015-01-22,10539.1259765625,10825.071803758781,9998.693554453983,10100.17860261422,27153
2015-01-23,10660.712890625,10759.34648815295,10439.427004899391,10752.580819322815,46747
2015-01-27,10485.529296875,10866.629528180983,10233.797927756143,10728.320318832453,12300
2015-01-28,10687.486328125,10728.418249031134,10535.113415715257,10680.092040702166,12808
2015-01-29,10530.185546875,10815.406478697656,10409.466289148682,10815.406478697656,12831
2015-01-30,10602.482421875,10680.094138924753,10438.463049808808,10680.094138924753,26559
2015-02-02,10532.935546875,10728.415000372783,10480.163720908042,10728.415000372783,11832
2015-02-03,10485.146484375,11391.456605158193,9953.316432025747,10815.408061405073,90496
2015-02-04,10330.451171875,10541.491330745386,9761.941509679305,10485.143164707535,31196
2015-02-05,10633.5537109375,10726.195620250886,10005.989747350655,10147.537402801767,9439
2015-02-06,10702.3681640625,10825.068572052976,10332.62460442253,10628.284667345157,18958
2015-02-09,10696.232421875,10803.516596730575,10538.59177520144,10538.59177520144,12371
2015-02-10,10634.3740234375,10786.408063006551,10469.388184452237,10631.764219809324,21411
2015-02-11,10713.6787109375,10728.611698023304,10486.787163776527,10641.479167220014,7732
2015-02-12,10742.3857421875,10795.97970113814,10564.11015379138,10564.11015379138,2518
2015-02-13,10921.5302734375,11114.545350378252,10675.26008912803,10675.26008912803,29096
2015-02-16,10692.0263671875,11043.165290608695,10544.776813703153,10965.45638365405,5847
2015-02-18,10534.099609375,10921.723969078515,10380.760160349095,10498.048443808857,85677
2015-02-19,10635.29296875,10868.563175679094,10439.52276312094,10683.908940734918,47444
2015-02-20,10737.408203125,10776.745930857654,10539.947477668406,10690.870624463903,12577
2015-02-23,10738.904296875,10776.744094270189,10646.553104644086,10753.016115554357,7325
2015-02-24,10620.892578125,10846.286205572329,10252.598728278435,10776.74460207883,11771
2015-02-25,10693.669921875,10831.834719659242,10514.66948414201,10820.332706243575,60085
2015-02-26,10625.2392578125,10728.415687964774,10453.584984353476,10693.668963696664,20624
2015-02-27,10632.8271484375,10747.747233364278,10566.234208970714,10583.48628538949,35844
2015-03-02,11065.2998046875,11114.012999114155,10287.634855645349,10290.582565511546,12346
2015-03-03,11070.521484375,11135.181395413734,10807.820361536757,11115.029740780103,4002
2015-03-04,10861.9443359375,11081.151836130075,10808.494792481271,11018.375900449311,5942
2015-03-05,10780.705078125,11114.92983574758,10703.093388926944,11114.92983574758,21806
2015-03-09,10732.2353515625,10824.10327748826,10631.813121122606,10780.705968324535,4497
2015-03-10,10648.728515625,10921.771602245237,10536.080308839653,10536.080308839653,24557
2015-03-11,10302.423828125,10680.09318674215,10245.78588343435,10680.09318674215,132677
2015-03-12,10330.7412109375,10384.335162253343,10148.551414019708,10384.335162253343,5514
2015-03-13,10338.521484375,10578.606452400998,10226.79167408451,10551.543777145884,6734
2015-03-16,10328.7119140625,10390.134333370648,10052.817414082614,10361.138609649613,13725
2015-03-17,10344.94921875,10462.623529579218,10266.419134521057,10462.623529579218,16129
2015-03-18,10477.798828125,11114.931753997413,10293.530616341415,10313.827624046302,13756
2015-03-19,10654.62109375,10989.376254073051,10631.762426983603,10642.394189410586,4889
2015-03-20,10668.3486328125,10827.19744946054,10501.913922707135,10815.405665590646,51853
2015-03-23,10435.4150390625,10728.369051323114,10356.305421394803,10612.43430022538,23920
2015-03-24,10232.01171875,10438.460901248414,9812.153247173508,10397.577118159441,9937
2015-03-25,10696.859375,11018.373972003445,10229.738498803237,10402.601888362124,17323
