trade_id,ticker,side,datetime,price,shares,reason,pnl_inr,pnl_pct
RELIANCE.NS-00001,RELIANCE.NS,BUY,2015-06-17,201.876965,247,entry_bb_breakout,,
RELIANCE.NS-00001,RELIANCE.NS,SELL,2015-07-01,217.799234,247,exit_max_hold,3880.9703,7.783171
RELIANCE.NS-00002,RELIANCE.NS,BUY,2015-07-22,227.7186,219,entry_bb_breakout,,
RELIANCE.NS-00002,RELIANCE.NS,SELL,2015-07-27,217.734233,219,exit_mean_reversion,-2235.353334,-4.482327
RELIANCE.NS-00003,RELIANCE.NS,BUY,2015-10-19,208.879351,239,entry_bb_breakout,,
RELIANCE.NS-00003,RELIANCE.NS,SELL,2015-11-03,209.471887,239,exit_max_hold,91.623183,0.183532
RELIANCE.NS-00004,RELIANCE.NS,BUY,2015-11-26,214.331661,233,entry_bb_breakout,,
RELIANCE.NS-00004,RELIANCE.NS,SELL,2015-12-07,206.190798,233,exit_mean_reversion,-1945.811776,-3.896356
RELIANCE.NS-00005,RELIANCE.NS,BUY,2016-08-29,231.828075,215,entry_bb_breakout,,
RELIANCE.NS-00005,RELIANCE.NS,SELL,2016-09-02,221.93788,215,exit_mean_reversion,-2175.171847,-4.364044
RELIANCE.NS-00006,RELIANCE.NS,BUY,2017-04-03,301.368871,165,entry_bb_breakout,,
RELIANCE.NS-00006,RELIANCE.NS,SELL,2017-04-19,299.786372,165,exit_max_hold,-310.707591,-0.624841
RELIANCE.NS-00007,RELIANCE.NS,BUY,2017-06-15,303.407671,164,entry_bb_breakout,,
RELIANCE.NS-00007,RELIANCE.NS,SELL,2017-06-30,302.239369,164,exit_max_hold,-241.264556,-0.484868
RELIANCE.NS-00008,RELIANCE.NS,BUY,2017-09-13,375.217147,133,entry_bb_breakout,,
RELIANCE.NS-00008,RELIANCE.NS,SELL,2017-09-22,360.890387,133,exit_mean_reversion,-1954.41023,-3.916349
RELIANCE.NS-00009,RELIANCE.NS,BUY,2017-10-12,385.713482,129,entry_bb_breakout,,
RELIANCE.NS-00009,RELIANCE.NS,SELL,2017-10-27,410.538189,129,exit_max_hold,3151.028998,6.332831
RELIANCE.NS-00010,RELIANCE.NS,BUY,2018-01-09,415.854674,120,entry_bb_breakout,,
RELIANCE.NS-00010,RELIANCE.NS,SELL,2018-01-16,407.4918,120,exit_mean_reversion,-1052.945625,-2.110003
RELIANCE.NS-00011,RELIANCE.NS,BUY,2018-01-22,429.356325,116,entry_bb_breakout,,
RELIANCE.NS-00011,RELIANCE.NS,SELL,2018-02-01,416.719362,116,exit_mean_reversion,-1514.960099,-3.041763
RELIANCE.NS-00012,RELIANCE.NS,BUY,2018-04-24,428.71541,116,entry_bb_breakout,,
RELIANCE.NS-00012,RELIANCE.NS,SELL,2018-05-09,431.222971,116,exit_max_hold,241.000603,0.484609
RELIANCE.NS-00013,RELIANCE.NS,BUY,2018-07-12,481.54421,103,entry_bb_breakout,,
