trade_id,ticker,entry_time,entry_price,exit_time,exit_price,shares,days_held,exit_reason,fees_inr,gross_pnl_inr,net_pnl_inr,net_pnl_pct
RELIANCE.NS-00001,RELIANCE.NS,2015-06-17,201.876965,2015-07-01,217.799234,247,10,exit_max_hold,51.830011,3932.80031,3880.9703,7.783171
RELIANCE.NS-00002,RELIANCE.NS,2015-07-22,227.7186,2015-07-27,217.734233,219,3,exit_mean_reversion,48.777085,-2186.576249,-2235.353334,-4.482327
RELIANCE.NS-00003,RELIANCE.NS,2015-10-19,208.879351,2015-11-03,209.471887,239,10,exit_max_hold,49.992973,141.616156,91.623183,0.183532
RELIANCE.NS-00004,RELIANCE.NS,2015-11-26,214.331661,2015-12-07,206.190798,233,7,exit_mean_reversion,48.990866,-1896.82091,-1945.811776,-3.896356
RELIANCE.NS-00005,RELIANCE.NS,2016-08-29,231.828075,2016-09-02,221.93788,215,4,exit_mean_reversion,48.77984,-2126.392007,-2175.171847,-4.364044
RELIANCE.NS-00006,RELIANCE.NS,2017-04-03,301.368871,2017-04-19,299.786372,165,10,exit_max_hold,49.595308,-261.112283,-310.707591,-0.624841
RELIANCE.NS-00007,RELIANCE.NS,2017-06-15,303.407671,2017-06-30,302.239369,164,10,exit_max_hold,49.663057,-191.601498,-241.264556,-0.484868
RELIANCE.NS-00008,RELIANCE.NS,2017-09-13,375.217147,2017-09-22,360.890387,133,7,exit_mean_reversion,48.951151,-1905.459079,-1954.41023,-3.916349
RELIANCE.NS-00009,RELIANCE.NS,2017-10-12,385.713482,2017-10-27,410.538189,129,10,exit_max_hold,51.358233,3202.387231,3151.028998,6.332831
RELIANCE.NS-00010,RELIANCE.NS,2018-01-09,415.854674,2018-01-16,407.4918,120,5,exit_mean_reversion,49.400788,-1003.544837,-1052.945625,-2.110003
RELIANCE.NS-00011,RELIANCE.NS,2018-01-22,429.356325,2018-02-01,416.719362,116,7,exit_mean_reversion,49.07239,-1465.887709,-1514.960099,-3.041763
RELIANCE.NS-00012,RELIANCE.NS,2018-04-24,428.71541,2018-05-09,431.222971,116,10,exit_max_hold,49.876426,290.877029,241.000603,0.484609
RELIANCE.NS-00013,RELIANCE.NS,2018-07-12,481.54421,2018-07-26,493.641209,103,10,exit_max_hold,50.222049,1245.990884,1195.768835,2.41087
RELIANCE.NS-00014,RELIANCE.NS,2019-01-18,526.924586,2019-02-01,555.554664,94,10,exit_max_hold,50.876525,2691.227404,2640.350879,5.330713
RELIANCE.NS-00015,RELIANCE.NS,2020-04-22,610.315686,2020-05-07,673.801603,81,10,exit_max_hold,52.00675,5142.3592,5090.35245,10.296943
RELIANCE.NS-00016,RELIANCE.NS,2020-06-19,794.930958,2020-07-03,810.284413,62,10,exit_max_hold,49.761677,951.914221,902.152544,1.830454
RELIANCE.NS-00017,RELIANCE.NS,2020-07-23,933.537458,2020-08-06,967.183769,53,10,exit_max_hold,50.369113,1783.254453,1732.88534,3.502371
RELIANCE.NS-00018,RELIANCE.NS,2020-09-09,980.513693,2020-09-23,1011.008647,50,10,exit_max_hold,49.788059,1524.747681,1474.959622,3.008545
RELIANCE.NS-00019,RELIANCE.NS,2021-01-20,932.130994,2021-01-25,879.669991,53,3,exit_mean_reversion,48.012726,-2780.433125,-2828.445851,-5.725258
RELIANCE.NS-00020,RELIANCE.NS,2021-05-28,950.322702,2021-06-11,1006.506322,52,10,exit_max_hold,50.877555,2921.548216,2870.670661,5.809101
RELIANCE.NS-00021,RELIANCE.NS,2021-08-16,989.463112,2021-08-31,1026.971609,50,10,exit_max_hold,50.410868,1875.424832,1825.013964,3.688897
RELIANCE.NS-00022,RELIANCE.NS,2021-09-03,1087.339541,2021-09-20,1088.913279,45,10,exit_max_hold,48.965688,70.818217,21.852529,0.044661
