date,equity
2020-01-14,200000.0
2020-01-15,199901.9375617351
2020-01-16,199932.2297718209
2020-01-20,199735.70652887906
2020-01-23,199470.235259185
2020-01-24,199346.5697341043
2020-01-27,197782.2616550944
2020-01-29,197178.15486571603
2020-01-30,195259.04508682564
2020-01-31,193837.60595297656
2020-02-03,191300.7549415054
2020-02-04,193401.8267002491
2020-02-05,194126.33535554822
2020-02-06,193548.103151632
2020-02-07,193276.27515051395
2020-02-10,192267.05009863406
2020-02-11,191363.4830667737
2020-02-12,193332.4595224622
2020-02-13,194465.07897563896
2020-02-14,194455.75558229408
2020-02-17,192222.49448470975
2020-02-18,192837.32998757786
2020-02-19,195020.33619027562
2020-02-20,196403.3836374802
2020-02-24,197886.5591465285
2020-02-25,197754.03241313007
2020-02-26,196526.28139982565
2020-02-27,196444.7361015338
2020-02-28,195481.36984102466
2020-03-03,195386.10043877136
2020-03-04,193293.17151602096
2020-03-05,193086.58615835494
2020-03-06,190162.6622906075
2020-03-09,188690.74239405713
2020-03-11,188680.21445608427
2020-03-12,188114.8921770213
2020-03-13,190971.7073225276
2020-03-16,190900.97220353692
2020-03-17,190001.0311046371
2020-03-18,189556.42411107264
2020-05-05,189476.80507498942
2020-05-08,188383.4580561975
2020-05-14,188304.30696062828
2020-05-21,189281.00238671692
2020-05-22,189982.16483433667
2020-05-26,188853.31806902547
2020-05-29,190685.7434239657
2020-06-02,190643.2646529133
2020-06-11,191224.2910106364
2020-06-23,191624.0257709964
2020-06-29,190368.24533488692
2020-07-08,193348.70047200384
2020-07-09,193335.62657359318
2020-07-14,194281.4152243407
2020-07-15,194537.12413226638
2020-07-16,198257.3273134851
2020-07-17,200923.34604899917
2020-07-20,200794.0250251278
2020-07-22,200213.23779407277
2020-07-23,201345.05234360555
2020-07-27,198546.03682649604
2020-07-28,199064.775156483
2020-07-29,201692.3703066563
2020-07-30,200997.35636445222
2020-07-31,201655.7152206534
2020-08-03,201823.70859833894
2020-08-04,204349.25837250886
2020-08-05,206035.75688627517
2020-08-06,206703.50665119838
2020-08-07,207697.96391764702
2020-08-10,209822.38912287774
2020-08-11,212367.511411059
2020-08-12,211189.63506401493
2020-08-13,212009.1505371131
2020-08-14,209440.9452059706
2020-08-17,209762.76731374755
2020-08-18,211902.58669736877
2020-08-19,212541.45632627502
2020-08-20,213836.83601711196
2020-08-21,212484.12735575746
2020-08-24,213463.30103207382
2020-08-27,213881.73505069735
2020-08-28,214015.89203311922
2020-08-31,212393.3469943176
2020-09-01,212828.6845501896
2020-09-02,213223.3398344909
2020-09-03,212568.43480211336
2020-09-04,214805.24885762087
