ticker,entry_date,entry_price,exit_date,exit_price,days_held,shares,entry_reason,exit_reason,gross_pnl_inr,fees_total_inr,net_pnl_inr,return_pct,rsi_entry,adx_entry,ema_fast_entry,ema_slow_entry,ema_htf_entry,trend_strength_entry,close_entry,high_52w_entry,volar_entry,mvo_weight_entry,alloc_inr_entry
CRISIL.NS,2020-01-15,1658.502685546875,2020-01-29,1570.877950557883,14,5,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=90.8% (>= 70%); VOLAR rank 3/3 (VOLAR=-0.80); MVO weight=17.0% of capped cash (25% of available),stop,-438.12367494496016,60.6481170080727,-498.77179195303285,-5.283364070049645,41.868350199729825,54.2260479113363,1677.8708228321664,1553.5531030825744,1387.7892482896611,0.07522790365734626,1652.5479736328125,1820.9266357421875,-0.8005240595837961,0.16976520212065646,8488.260106032823
PFIZER.NS,2020-01-15,3556.628662109375,2020-01-23,3487.448104467,8,10,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=92.3% (>= 70%); VOLAR rank 2/3 (VOLAR=-0.08); MVO weight=72.3% of capped cash (25% of available),indicator_exit,-691.8055764237488,149.21061801423335,-841.0161944379821,-1.9451161258241978,36.808408010279734,27.03752909457755,3564.8463551811233,3534.6282289791648,3090.3451204767694,0.008456796478322422,3573.235595703125,3869.756591796875,-0.07799200964676603,0.7231750932109288,36158.75466054644
SCI.NS,2020-01-15,57.84661102294922,2020-02-03,53.96411461724252,19,92,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=87.4% (>= 70%); VOLAR rank 1/3 (VOLAR=-0.06); MVO weight=10.7% of capped cash (25% of available),stop,-357.1896693250161,47.24947814796903,-404.43914747298516,-6.71170935868034,38.18182550171487,35.39210298991727,57.028392535341496,55.208637800076836,44.41301649371758,0.03206223380262714,56.756954193115234,64.90569305419922,-0.0621230097186029,0.10705970466841475,5352.985233420737
MGL.NS,2020-01-16,963.26904296875,2020-01-20,976.4047836460414,4,39,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=100.0% (>= 70%); VOLAR rank 1/1 (VOLAR=-0.38); MVO weight=100.0% of capped cash (25% of available),indicator_exit,512.293886414366,154.91206526651982,357.38182114784627,1.363662703911639,65.79831267935873,29.791660984573337,891.9403636343775,875.3238276792391,805.8298168492644,0.017636360891874724,942.1748657226562,942.1748657226562,-0.38455613598105765,1.0,37680.31232469891
GPIL.NS,2020-01-24,57.46931838989258,2020-01-27,56.256252307924235,3,508,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=85.0% (>= 70%); VOLAR rank 1/2 (VOLAR=-0.21); MVO weight=62.8% of capped cash (25% of available),stop,-616.2375696399181,135.1127934741422,-751.3503631140603,-2.110806454564962,42.79858710191432,36.36203295158471,58.5245477496309,50.8006076090892,48.23824635171574,0.13064999994529303,59.119327545166016,69.5205078125,-0.2053945437415102,0.6282888592308974,29194.970654533307
HINDCOPPER.NS,2020-01-24,45.50674057006836,2020-01-30,41.84429968461634,6,379,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=89.3% (>= 70%); VOLAR rank 2/2 (VOLAR=-0.54); MVO weight=37.2% of capped cash (25% of available),stop,-1388.065095586316,99.59659937209358,-1487.6616949584095,-8.048128342245974,41.49999157431396,32.799884235861526,44.35073335104425,41.01995361433405,39.62757710671512,0.07595510838739856,43.851951599121094,49.1042366027832,-0.544537984150812,0.3717111407691026,17272.462637649416
MFSL.NS,2020-01-27,514.1500244140625,2020-01-30,498.75,3,81,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=93.4% (>= 70%); VOLAR rank 1/1 (VOLAR=-0.33); MVO weight=100.0% of capped cash (25% of available),stop,-1247.4019775390625,162.16079637754174,-1409.5627739166043,-2.99523945984691,40.23861516001532,28.795945869337654,522.4829864218337,510.2872404893783,462.1361419684751,0.023139638013322715,527.0499877929688,564.0499877929688,-0.3298653958985254,1.0,41957.62433720962
BALRAMCHIN.NS,2020-01-30,163.6123504638672,2020-01-31,159.58083749850388,1,290,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=90.4% (>= 70%); VOLAR rank 1/1 (VOLAR=0.70); MVO weight=100.0% of capped cash (25% of available),stop,-1169.1387599553584,175.14907742705276,-1344.2878373824112,-2.464063962123475,39.13045015701956,29.75910060196066,171.46371436075225,166.79581253508653,145.34871635542132,0.027868085833224972,167.49990844726562,185.20977783203125,0.7034049818629231,1.0,47508.63292964175
CEATLTD.NS,2020-01-31,945.9230346679688,2020-02-03,903.7278431794799,3,49,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=82.3% (>= 70%); VOLAR rank 1/1 (VOLAR=-1.00); MVO weight=100.0% of capped cash (25% of available),stop,-2067.564382935953,171.77564131543585,-2239.3400242513885,-4.4607425701711385,36.94367993878401,35.24225558832958,945.8814792829342,934.0293694356293,936.3666995259257,0.01258293295222041,941.9194946289062,1145.0548095703125,-1.0007402979601216,1.0,47172.56097029615
ADANIGREEN.NS,2020-02-03,196.14999389648438,2020-02-04,205.5350067138672,1,243,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=81.6% (>= 70%); VOLAR rank 1/1 (VOLAR=2.64); MVO weight=100.0% of capped cash (25% of available),target,2280.5581146240274,179.21030170512017,2101.347812918907,4.784610303039649,38.064131122633526,41.5288172492478,189.57048992002493,164.18421979724482,99.7232404417868,0.13399984445349788,189.4499969482422,232.14999389648438,2.6428225076338494,1.0,47845.23799841525
SHREECEM.NS,2020-02-04,23948.466796875,2020-02-06,24498.729805843937,2,2,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=97.6% (>= 70%); VOLAR rank 1/1 (VOLAR=0.85); MVO weight=100.0% of capped cash (25% of available),indicator_exit,1100.5260179378747,178.50336491674295,922.0226530211318,2.297696189222176,44.45850108615301,46.6286311718466,22726.730781996976,21416.3627455384,19719.856315600708,0.05758018595933014,22757.2734375,23306.65625,0.8457321887138436,1.0,48370.57495164498
DLF.NS,2020-02-05,242.18234252929688,2020-02-07,227.07759567271154,2,29,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=93.3% (>= 70%); VOLAR rank 2/3 (VOLAR=0.64); MVO weight=19.9% of capped cash (25% of available),stop,-438.03765884097476,54.82914746333657,-492.86680630431135,-6.236931519794064,43.01640199817088,34.78630275838678,239.85183630505927,224.9862293370123,192.01146034930872,0.06343420513881522,234.34686279296875,251.16444396972656,0.6420802650303052,0.19914526526077364,7244.15263360857
MCX.NS,2020-02-05,1225.4515380859375,2020-02-24,1300.6127667250905,19,23,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=90.0% (>= 70%); VOLAR rank 1/3 (VOLAR=1.13); MVO weight=80.1% of capped cash (25% of available),target,1728.7082587005195,135.30055592892268,1593.4077027715969,6.133349732993043,36.40406543235368,47.41632723815617,1210.4830493050138,1162.851761438536,965.6950298478376,0.040420317109653665,1178.399658203125,1309.593017578125,1.132216067195942,0.8008547347392263,29132.070643016206
IPCALAB.NS,2020-02-06,606.6823120117188,2020-02-13,655.1381804882637,7,54,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=95.5% (>= 70%); VOLAR rank 1/2 (VOLAR=0.88); MVO weight=82.6% of capped cash (25% of available),target,2616.6168977334296,146.4012148187865,2470.215682914643,7.987025089930255,44.94786769698664,31.688970682371846,596.8925390675831,571.3465791726676,503.98094456754217,0.04289256071061141,595.5802001953125,623.335693359375,0.8757212735966177,0.8261353606318229,32864.06835361915
JSL.NS,2020-02-06,41.5961799621582,2020-02-17,39.32931050626548,11,166,RSI cross ↑30; EMA20>EMA50; Close>EMA200; ADX>20; 52w%=92.1% (>= 70%); VOLAR rank 2/2 (VOLAR=0.64); MVO weight=17.4% of capped cash (25% of available),stop,-376.3003296781922,54.42355978858356,-430.72388946677574,-5.449705857496989,38.23526134465443,29.14935397998312,40.821169085502866,39.60648260290521,36.146280249630216,0.029551599843350606,41.10391616821289,44.64821243286133,0.6381464880361939,0.17386463936817695,6916.420316524349
