date,equity
2011-01-03,200000.0
2011-01-04,199893.2686507465
2011-01-05,199244.26967125438
2011-01-06,198436.49378591456
2011-01-07,196174.01957926326
2011-01-10,194954.5167396684
2011-01-11,194487.16255527985
2011-01-12,194872.79158143426
2011-01-13,194832.04858399194
2011-01-14,195296.284545906
2011-01-17,195519.3728485183
2011-01-18,195938.52207947534
2011-01-19,197395.0597835799
2011-01-20,197684.51393473346
2011-01-21,198278.7110058089
2011-01-24,199298.74288997235
2011-01-25,197267.2240381404
2011-01-27,195373.7423192542
2011-01-28,194868.66555902973
2011-01-31,195220.17129633442
2011-02-01,194630.1240316683
2011-02-02,194856.77390250308
2011-02-03,196726.54039785446
2011-02-04,197364.12895656592
2011-02-07,196985.06979450176
2011-02-08,196866.85911553068
2011-02-09,196532.30614695902
2011-02-10,196577.2076819932
2011-02-15,196824.1404365098
2011-02-16,196689.32015819225
2011-02-17,197712.6483732614
2011-02-18,196081.89231297903
2011-02-22,200633.115237199
2011-02-24,198192.41516481485
2011-03-29,198090.18717956744
2011-03-30,198095.1053080705
2011-03-31,197948.70791698727
2011-04-01,196984.15124759474
2011-04-05,198361.7453253001
2011-04-06,203834.0914186686
2011-04-07,204401.798202444
2011-04-08,203978.8055081419
2011-04-11,203505.15696492302
2011-04-15,203421.40179129638
2011-04-18,202297.70916434325
2011-04-25,201109.1721076775
2011-04-29,201025.9343808577
2011-05-03,201368.4536852879
2011-05-04,202057.32534392117
2011-05-05,201971.6527933107
2011-05-06,201820.35042621772
2011-05-09,201996.09200297156
2011-05-10,205814.07453045686
2011-05-11,205753.6548222049
2011-05-12,205932.869031765
2011-05-13,207085.87220559313
2011-05-16,207761.20375623196
2011-05-17,207814.12422742337
2011-05-18,209624.50086602804
2011-05-19,209359.20366404427
2011-05-20,209741.20120737923
2011-05-23,209220.43008158577
2011-05-24,209684.74879191292
2011-05-25,209940.30380414156
2011-05-26,209951.90928151965
2011-05-27,210290.93578689906
2011-05-30,210578.53187967357
2011-05-31,210575.3343507066
2011-06-01,210712.39016999974
2011-06-02,211171.7325180985
2011-06-03,212085.13328447117
2011-06-06,212644.66123705517
2011-06-07,211377.0925186582
2011-06-08,211748.3978326068
2011-06-09,211740.84168026305
2011-06-10,212428.37819454528
2011-06-13,213487.10654394457
2011-06-14,214470.67372438795
2011-06-15,214430.09541469865
2011-06-16,213330.23025724915
2011-06-17,213155.6895430209
2011-06-20,210879.2799549477
2011-06-22,210831.33824869464
2011-06-23,210732.42312366347
2011-06-24,210763.71664344543
2011-06-27,210510.45594408188
2011-06-28,213507.8415478628
2011-06-29,214403.89126099757
2011-06-30,213589.39246683664
2011-07-01,214187.6418297822
2011-07-04,214420.72310190744
2011-07-05,215867.61961298532
2011-07-06,217389.05489180627
2011-07-07,218486.13711728886
2011-07-08,217983.3283756394
2011-07-11,217643.09977721178
2011-07-12,217517.91466714037
2011-07-13,217551.38428371292
2011-07-14,217354.9287611757
2011-07-19,219662.57982668714
2011-07-21,218865.94863375087
2011-07-22,219117.02020615907
2011-07-25,220416.91389856275
2011-07-26,220186.92901652746
2011-07-27,220750.80425876073
2011-07-29,220214.83810989122
2011-08-01,219748.95813344256
2011-08-02,219048.35578673522
2011-08-03,217997.54493468444
2011-08-05,215137.75531476358
2011-08-08,214221.80700078254
2011-08-09,214073.32254794822
2011-08-10,213797.00364179397
2011-08-11,213868.37533063674
2011-08-12,212476.02713980858
2011-08-16,213666.837946083
2011-08-17,214133.33857169334
2011-08-18,214243.24184649382
2011-08-19,212005.66039141396
2011-08-22,212481.16386539373
2011-08-23,212348.55903075304
2011-08-24,213540.58117125597
2011-08-25,212606.4777624425
2011-08-26,209895.940845438
2011-08-29,209731.87603572634
2011-08-30,208424.28577036224
2011-09-02,211281.76240624458
2011-09-05,210678.59144677193
2011-09-06,211222.50486118207
2011-09-07,209167.95736267662
2011-09-08,211277.0958605649
2011-09-09,211209.2891703049
2011-09-12,210018.39199595794
2011-09-13,209004.75797155363
2011-09-14,209408.10869509276
2011-09-15,209036.6455821546
2011-09-19,209379.05895804265
2011-09-26,205923.29547570777
2011-09-27,205992.3683665723
2011-09-28,205321.26394602587
2011-09-29,206776.10448227674
2011-09-30,206911.08614884168
2011-10-03,205932.21300347988
2011-10-04,209052.44479783718
2011-10-10,211019.22882765185
2011-10-13,214054.3083290643
2011-10-14,212238.5261519034
2011-10-17,210654.7940780199
2011-10-18,213638.9918781621
2011-10-19,213539.45349764265
2011-10-20,213484.63902925886
2011-10-21,215303.31395601667
2011-10-24,216083.69478931229
2011-10-25,216265.8151506404
2011-10-28,216720.04658101746
2011-10-31,216998.4110658212
2011-11-01,215669.1836225471
2011-11-02,214653.87832902337
2011-11-03,217226.21835587884
2011-11-08,216663.4931193807
2011-11-09,216083.93025419913
2011-11-11,214815.36097024713
2011-11-15,213783.14269759465
2011-11-16,213330.40922327747
2011-11-17,211460.5882746888
2011-11-18,209480.0208958222
2011-11-21,207634.74348923098
2011-11-22,207549.52809688842
2011-11-24,208350.8291370289
2011-11-25,207801.312895141
2011-11-28,211821.54591527267
2011-12-01,211515.08039340703
2011-12-02,211227.1651178333
2011-12-05,209730.28367099492
2011-12-07,211089.3879152271
2011-12-08,210462.82324084966
2011-12-09,207359.61824607782
2011-12-12,205003.81795692377
2011-12-13,203848.3947816079
2011-12-15,201967.74452571233
2011-12-19,201538.86115006293
2011-12-20,201250.16303385334
2011-12-22,201487.37957926313
2011-12-26,207765.72902149468
2011-12-28,206348.2958127911
2011-12-29,206114.2014356676
2011-12-30,205899.0509268603
2012-01-04,208947.8543449554
2012-01-05,209072.64827913535
2012-01-10,210317.35718790034
2012-01-11,211131.92011057114
2012-01-12,211321.2504782433
2012-01-13,211406.1144527445
2012-01-19,211319.83248306345
2012-01-24,210920.99138024417
2012-01-25,210871.54684569122
2012-02-03,210785.57987509467
2012-02-06,208837.78472844616
2012-02-07,209207.70432557524
2012-02-08,211837.2152002717
2012-02-09,212420.87364486884
2012-02-10,211348.70200258703
2012-02-13,214496.50741848172
2012-02-14,217269.89206758316
2012-02-15,216627.03672393682
2012-02-16,215215.94069102267
2012-02-17,215629.19851502313
2012-02-21,215597.31803837942
2012-02-22,215134.16429467232
2012-02-23,215162.9907717231
2012-02-24,215232.31305318177
2012-02-27,215007.65154228028
2012-02-29,214920.28189546772
2012-03-01,214252.13136904596
2012-03-02,213727.02727695115
2012-03-05,211107.5510725131
2012-03-06,209880.9341974704
2012-03-07,209038.07523687705
2012-03-09,210042.0375045223
2012-03-12,209982.69154538316
2012-03-13,212058.8095187108
2012-03-14,212865.99683560533
2012-03-15,213203.61745633287
