date,equity
2015-10-22,200000.0
2015-10-23,199932.62700945727
2015-10-26,199467.28239843945
2015-10-27,199746.5025027044
2015-10-28,198317.7699488346
2015-10-29,198075.8434961979
2015-10-30,197965.090123813
2015-11-02,199451.61168648527
2015-11-03,200537.36764822376
2015-11-04,198833.33542276314
2015-11-05,195643.9928547563
2015-11-06,194848.01301012412
2015-11-09,195388.21799248364
2015-11-10,195323.2065783536
2015-11-13,194724.10646577933
2015-11-16,194768.30910249054
2015-11-17,194884.91218829484
2015-11-18,194190.6055431907
2015-11-19,193451.14896395378
2015-11-20,193227.79001026799
2015-11-23,193011.5503368069
2015-11-24,193085.61443897974
2015-11-26,194268.5263177498
2015-11-27,193449.36345137592
2015-11-30,193777.9293846609
2015-12-01,193468.4589538941
2015-12-02,193079.08326124074
2015-12-03,192791.97534038412
2015-12-04,191405.0562510753
2015-12-07,190300.97977986798
2015-12-08,189916.34043591973
2015-12-09,189422.50105123935
2015-12-10,189414.22814843353
2015-12-11,188915.2205327074
2015-12-14,188851.05607571127
2015-12-15,188658.54459931335
2015-12-16,188321.66050507507
2015-12-17,189117.04016959973
2015-12-18,188368.38315666027
2015-12-21,188515.30164700147
2015-12-22,188423.6623647749
2015-12-23,188253.50492863962
2015-12-24,187948.8938386704
2015-12-28,187700.23171407863
2015-12-29,187200.51639692378
2015-12-30,186680.16970065143
2015-12-31,186708.61510440664
2016-01-01,186733.68950722902
2016-01-04,185325.97252659244
2016-01-05,185479.24298966795
2016-01-06,184636.04617893076
2016-01-07,183962.70676670273
2016-01-08,183845.44990475805
2016-01-11,184488.8789519887
2016-01-12,184290.15762867412
2016-01-13,184581.1077338992
2016-01-14,184159.59392972974
2016-01-15,184159.59392972974
2016-01-18,184097.61017510705
2016-01-19,184345.4351979443
2016-01-21,184126.7398635054
2016-01-22,184362.13883222503
2016-01-27,184297.39751732428
2016-01-28,184209.4190324857
2016-01-29,183852.02048422786
2016-02-01,184013.77730490657
2016-02-02,182806.19155891598
2016-02-03,181919.59533468663
2016-02-04,181919.0579255634
2016-02-05,182916.2607862646
2016-02-08,183976.65539613776
2016-02-09,182336.1062303455
2016-02-10,182044.47155838402
2016-02-11,180774.66539255696
2016-02-12,180315.0409379373
2016-02-16,180315.0409379373
2016-02-17,180260.39727777633
2016-02-19,179964.6433758373
2016-02-22,180424.69608207478
2016-02-23,179351.30467887654
2016-02-24,179393.24756370272
2016-02-25,179484.83541280057
2016-02-26,178818.95367725007
2016-02-29,178791.74702493343
2016-03-01,178692.00215225838
2016-03-02,178692.00215225838
2016-03-03,178634.30615669643
2016-03-04,178551.22041631292
2016-03-08,178912.4414093549
2016-03-09,178962.98715520452
2016-03-10,178954.77853704046
2016-03-11,178527.92669415387
2016-03-14,178208.08216497558
2016-03-15,176569.17119089738
2016-03-16,176288.93569379218
2016-03-17,176034.61561669077
2016-03-18,176323.38890706436
2016-03-21,179464.06704276538
2016-03-22,179096.66966759643
2016-03-23,179018.9106501589
2016-03-28,178140.81009977707
2016-03-29,177732.17120620614
2016-03-30,178358.62701675302
2016-03-31,178089.77453872567
2016-04-01,177683.08045049472
2016-04-04,177657.19061895175
2016-04-05,176617.5082875274
2016-04-06,176496.3073249527
2016-04-07,176185.8363424024
2016-04-08,176896.0925490246
2016-04-11,176766.45393818474
2016-04-12,177234.33391254998
2016-04-13,177242.94417255974
2016-04-18,178165.4863301254
2016-04-20,177715.62586450748
2016-04-21,176469.50923287193
2016-04-22,176323.47647050925
2016-04-25,177168.9875114985
2016-04-26,177119.59001137892
2016-04-27,176906.82867925346
2016-04-28,176392.61372869194
2016-04-29,175341.9004062225
2016-05-02,174629.4989123652
2016-05-03,174088.73554121365
2016-05-04,173217.24889642105
2016-05-05,172960.42743467464
2016-05-06,172572.4535087667
2016-05-09,172791.5454775785
2016-05-10,172298.04268741456
2016-05-11,171841.67208491417
2016-05-12,171884.02650080773
2016-05-13,171730.53731002536
2016-05-16,172066.1000324972
2016-05-17,171834.51844779073
2016-05-18,171542.49181003333
2016-05-19,171030.3311999204
2016-05-20,170142.11576945058
2016-05-23,169436.97515372085
2016-05-24,169623.5484903334
2016-05-25,170962.2673624037
2016-05-26,171203.3728616713
2016-05-27,171845.26347063854
2016-05-30,171303.92291922256
2016-05-31,170210.86624675442
2016-06-01,170118.17765715922
2016-06-02,170633.31310160854
2016-06-03,170742.3560558498
2016-06-06,170542.2512890041
2016-06-07,170442.64483388752
2016-06-08,170499.94743614274
2016-06-09,170000.0944445788
2016-06-10,169195.03730846394
2016-06-13,168828.1781619349
2016-06-14,168628.855014458
2016-06-15,167835.90361883427
2016-06-16,167203.1035899529
2016-06-17,167382.24247444444
2016-06-20,167495.37541770996
2016-06-21,167994.74266624512
2016-06-22,167571.3099286463
2016-06-23,167399.993660503
2016-06-24,166629.5428133749
2016-06-27,166586.19314120547
2016-06-28,166818.9082670981
2016-06-29,167503.36687000337
2016-06-30,168222.0788107124
2016-07-01,168499.55892851026
2016-07-04,168759.91872558743
2016-07-05,168376.20971745317
2016-07-07,168385.47689567186
2016-07-08,168632.8595810061
2016-07-11,169423.6837045061
2016-07-12,168973.76829923267
2016-07-13,168338.4051013004
2016-07-14,167523.16659427568
2016-07-15,167658.32188755815
2016-07-18,167426.1140318804
2016-07-19,167669.06329640676
2016-07-20,167951.332232564
2016-07-21,167818.91834326182
2016-07-22,167774.90093795749
2016-07-25,168088.18261520358
2016-07-26,168234.0225505063
2016-07-27,168389.40182007547
2016-07-28,167890.9044350683
2016-07-29,168771.2546068395
2016-08-01,171361.50832668933
2016-08-02,171766.38749198115
2016-08-03,171617.01348031155
2016-08-04,171488.93051827542
2016-08-05,172189.41360786074
2016-08-08,172422.0072105492
2016-08-09,171952.80777817615
2016-08-10,171613.828369912
2016-08-11,171309.68792327968
2016-08-12,171703.5572590949
2016-08-16,171972.5577023177
2016-08-17,172200.07756239348
2016-08-18,172748.33330256218
2016-08-19,173070.91037189728
2016-08-22,172885.13384801504
2016-08-23,171961.73540235835
2016-08-24,172411.8682523534
2016-08-25,171879.7673917577
2016-08-26,172587.36100397666
2016-08-29,172387.16996342572
2016-08-30,172705.98493534955
2016-08-31,172293.48719365033
2016-09-01,172682.37204717175
2016-09-02,172671.6687423521
2016-09-06,173882.6100985487
2016-09-07,172715.30742844334
2016-09-08,173739.2786175251
2016-09-09,173220.04265415831
2016-09-12,171295.85468956587
2016-09-14,170866.41454359912
2016-09-15,170663.35530309167
2016-09-16,170951.31560775606
2016-09-19,171367.55066154903
2016-09-20,171055.97127414134
2016-09-21,170640.084864713
2016-09-22,171347.14518716652
2016-09-23,170624.89721658546
2016-09-26,170175.70434612373
2016-09-27,170054.4599976812
2016-09-28,170195.33793450787
2016-09-29,168881.3477772061
2016-09-30,168840.4146153065
2016-10-03,170020.36270882032
2016-10-04,171413.41457182923
2016-10-05,172379.96824657422
2016-10-06,172012.6249236112
2016-10-07,172078.14065879481
2016-10-10,171996.3364982683
2016-10-13,172114.68588896983
2016-10-14,172936.3582515344
2016-10-17,172443.9252978062
2016-10-18,172536.50316878784
2016-10-19,172402.1668761465
2016-10-20,172794.51637871
2016-10-21,172708.96249552182
2016-10-24,172490.38654905764
2016-10-25,173087.24363523928
2016-10-26,172768.43630033938
2016-10-27,171441.01878150506
2016-10-28,171105.60510204695
2016-11-01,170676.3716996545
2016-11-02,170090.0530102849
2016-11-03,169883.51949435472
2016-11-04,168718.58261908588
2016-11-07,169141.5593373505
2016-11-08,169298.13078807516
2016-11-09,168801.091846602
2016-11-10,168748.3040849153
2016-11-11,167983.12850964424
2016-11-15,167029.56450523803
2016-11-16,166897.50955852258
2016-11-17,166582.14981983745
2016-11-18,166137.51854847514
2016-11-21,165224.2518628216
2016-11-22,165494.7509988203
2016-11-23,165228.60111493897
2016-11-24,164788.80914232926
2016-11-25,164855.2318556162
2016-11-28,165688.21490231436
2016-11-29,165241.76624813955
2016-11-30,165196.72523247832
2016-12-01,164720.6649631502
2016-12-02,163712.889012177
2016-12-05,163457.201517459
2016-12-06,163559.06490023268
2016-12-07,163103.65445264138
2016-12-08,163227.4430695557
2016-12-09,163684.2661009613
2016-12-12,163855.4629393402
2016-12-13,163445.7228575531
2016-12-14,162289.61691905253
2016-12-15,162016.02546461276
2016-12-16,162040.4523904667
2016-12-19,161772.48637549827
2016-12-20,162072.01026419032
2016-12-21,161892.88998480514
2016-12-22,161554.69662026514
2016-12-23,161524.803312421
2016-12-26,160704.53922048147
2016-12-27,160704.53922048147
2016-12-28,160652.49610706823
2016-12-29,160551.40305897253
2016-12-30,160485.74421449067
2017-01-02,160575.95414081123
2017-01-03,160852.55612494695
2017-01-04,160921.95709846006
2017-01-05,160107.22207005718
2017-01-06,159594.26332388434
2017-01-09,159462.4219587592
2017-01-10,159863.427506503
2017-01-11,161241.87450648274
2017-01-12,161302.4921517464
2017-01-13,160993.87211848225
2017-01-16,161622.13485720946
2017-01-17,161299.60539248778
2017-01-18,161993.16210081422
2017-01-19,162190.31905486446
2017-01-20,161398.31043309259
2017-01-23,161293.3157625061
2017-01-24,161811.04574617132
2017-01-25,163908.81280935637
2017-01-27,163989.60361135832
2017-01-30,162868.18513339153
2017-01-31,163036.66533640027
2017-02-01,163076.98264029677
2017-02-02,162828.70560172256
2017-02-03,162934.12193778213
2017-02-06,163357.92027217164
2017-02-07,162364.4041312854
2017-02-08,161936.42582194635
2017-02-09,161898.30217997858
2017-02-10,161698.05491557514
2017-02-13,160510.70134224562
2017-02-14,160095.29277046185
2017-02-15,159559.43543976214
2017-02-16,160062.43093744759
2017-02-17,160517.06233839173
2017-02-20,160581.83812574524
2017-02-21,160909.94801954407
2017-02-22,161061.72318128723
2017-02-23,160881.55924391918
2017-02-27,161857.0352655697
2017-02-28,161722.91002051847
2017-03-01,161516.27139441983
2017-03-02,160598.70747542343
2017-03-03,160474.7332844148
2017-03-06,161128.332928039
2017-03-07,160509.98567301471
2017-03-08,159721.1467341448
2017-03-09,159595.83697039107
2017-03-10,160297.73861223678
2017-03-14,161034.31634050826
2017-03-15,160944.5132840214
2017-03-16,161707.05799227336
2017-03-17,161266.8101590214
2017-03-20,161219.6003153405
2017-03-21,161928.44046426628
2017-03-22,161210.02669650846
2017-03-23,161292.98587869038
2017-03-24,161248.81862710346
2017-03-27,160668.18674382163
2017-03-28,160272.8170586009
2017-03-29,160390.83021167706
2017-03-30,160427.6260429489
2017-03-31,160503.13806825876
