ticker,side,date,price,shares,reason,turnover,fees_inr,pnl_inr,ema_fast,ema_slow,ema_htf,vwap_5d,vwap_20d,close,high_52w,volar,mvo_weight,alloc_inr
BRITANNIA.NS,BUY,2015-10-23,1418.1295166015625,11,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=96.7% (>= 80%); VOLAR rank 1/3 (VOLAR=2.43); MVO weight=54.9% of capped cash (15% of available),15599.424682617188,36.93017159017603,0.0,1409.9674211532185,1342.6472665770434,1153.3720146771004,1427.0115621623083,1412.8047064532104,1435.689697265625,1484.7017822265625,2.4334380109949763,0.5490490261319703,16471.470783959106
CHENNPETRO.NS,BUY,2015-10-23,180.35662841796875,39,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=91.2% (>= 80%); VOLAR rank 3/3 (VOLAR=2.39); MVO weight=23.7% of capped cash (15% of available),7033.908508300781,16.65211720600232,0.0,178.15616803492986,169.4776371093456,122.37984961698481,179.15368629481378,179.4944006143114,179.73617553710938,197.06997680664062,2.3890363486113104,0.2366809843696782,7100.429531090345
TATAELXSI.NS,BUY,2015-10-23,832.1767578125,7,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=84.9% (>= 80%); VOLAR rank 2/3 (VOLAR=2.42); MVO weight=21.4% of capped cash (15% of available),5825.2373046875,13.790701746541018,0.0,834.4837914294596,812.9736180591068,623.9002381665936,835.3983415164156,830.5552205036964,837.8690795898438,987.3801879882812,2.4247192274664777,0.21426998949835147,6428.099684950544
BRITANNIA.NS,SELL,2015-10-26,1405.9006963705901,11,stop,15464.907660076491,57.89197903489957,-229.33917316577157,1411.4514385074629,1345.607354813299,1156.006417681324,1430.6623542654029,1412.9655239905428,1418.1295166015625,1484.7017822265625,,,
CHENNPETRO.NS,SELL,2015-10-26,178.31406216888183,39,stop,6954.248424586392,39.02039218216841,-135.3325931025605,178.55625174093691,169.9042642194877,122.95673298813888,179.8827696581365,179.21011273254456,180.35662841796875,197.06997680664062,,,
JUBLPHARMA.NS,BUY,2015-10-26,283.183837890625,52,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=100.0% (>= 80%); VOLAR rank 1/3 (VOLAR=2.55); MVO weight=50.0% of capped cash (15% of available),14725.5595703125,34.861378080115244,0.0,271.88905980902877,238.4216732652992,168.69071422260583,277.24187522212566,272.1894079754057,286.30218505859375,286.30218505859375,2.5515676712416897,0.4996253940013235,14954.069203028183
TATAELXSI.NS,SELL,2015-10-26,825.3135873539271,7,stop,5777.19511147749,36.410387103360854,-98.24328205991203,834.0643307718306,813.7266823631614,625.9726413471499,837.0660058612866,829.460891812992,832.1767578125,987.3801879882812,,,
TORNTPHARM.NS,BUY,2015-10-26,684.7391967773438,13,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=95.8% (>= 80%); VOLAR rank 2/3 (VOLAR=1.26); MVO weight=29.9% of capped cash (15% of available),8901.609558105469,21.07372387751623,0.0,671.761258230693,651.5862881678545,586.1961459219768,683.4277144020265,677.110001299024,688.7239990234375,718.6004638671875,1.2573859927269437,0.2987454520308798,8941.619496121686
ZYDUSLIFE.NS,BUY,2015-10-26,390.51043701171875,15,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=100.0% (>= 80%); VOLAR rank 3/3 (VOLAR=1.16); MVO weight=20.2% of capped cash (15% of available),5857.656555175781,13.867451274662473,0.0,389.8687073792839,365.3412536786819,333.8854288528671,399.78717009406535,393.87483919557695,405.09234619140625,405.09234619140625,1.163373659454348,0.20162915396779665,6034.874043600891
GODREJCP.NS,BUY,2015-10-27,399.385009765625,14,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=91.3% (>= 80%); VOLAR rank 3/3 (VOLAR=1.06); MVO weight=21.1% of capped cash (15% of available),5591.39013671875,13.237090558008788,0.0,385.4457651361121,383.5878698884777,361.7730469733785,388.00365880815986,386.2908019932071,397.438232421875,435.1983337402344,1.0636213158678145,0.2108255557562173,5839.974558882783
