ticker,side,date,price,shares,reason,turnover,fees_inr,pnl_inr,cci,wpr,ema_trend50,ema_fast,ema_slow,sma_trend,swing_low,close,high_52w,volar,mvo_weight,alloc_inr
J&KBANK.NS,BUY,2016-01-11,149.22325134277344,676,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=100.0% (>= 50%); VOLAR rank 1/5 (VOLAR=3.76); MVO weight=80.8% of capped cash (25% of available),100874.91790771484,143.37948277312805,0.0,0.0,-50.0,149.18545399585497,149.22325133810006,149.22315262550188,148.22143478393554,149.22325134277344,149.22325134277344,149.22325134277344,3.763233390009122,0.8077970916697563,100974.63645871954
JUBLPHARMA.NS,BUY,2016-01-11,277.22137451171875,21,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=92.0% (>= 50%); VOLAR rank 5/5 (VOLAR=2.28); MVO weight=4.8% of capped cash (25% of available),5821.648864746094,13.78220645229309,0.0,-28.661606690455624,-66.66685973331329,280.8059722743928,285.3872256017647,286.41024261351816,195.1324489593506,276.26187425434233,283.7320861816406,308.5072937011719,2.275041222894918,0.04812447225587604,6015.559031984505
NAVINFLUOR.NS,BUY,2016-01-11,350.3117980957031,19,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=95.6% (>= 50%); VOLAR rank 2/5 (VOLAR=2.50); MVO weight=5.6% of capped cash (25% of available),6655.924163818359,15.757274800968565,0.0,0.47650099366466986,-72.01966460412723,330.71898649091327,352.3306861516019,349.9337907730723,232.01871391296388,340.943880213136,352.6934509277344,369.0289611816406,2.49951062933833,0.05573276817302555,6966.596021628194
TATAELXSI.NS,BUY,2016-01-11,911.1058349609375,4,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=89.9% (>= 50%); VOLAR rank 3/5 (VOLAR=2.35); MVO weight=3.3% of capped cash (25% of available),3644.42333984375,10.22741014027051,0.0,-54.543880495138865,-95.4451719245061,919.3762757779577,972.2886773142691,966.4257882819543,716.2676159667968,917.5406733998603,923.5031127929688,1027.4971923828125,2.353407686013703,0.03285155077791994,4106.4438472399925
WELSPUNLIV.NS,BUY,2016-01-11,80.73282623291016,85,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=93.2% (>= 50%); VOLAR rank 4/5 (VOLAR=2.33); MVO weight=5.5% of capped cash (25% of available),6862.290229797363,16.245827063763656,0.0,22.30398024115959,-62.89846020858169,77.16009237392673,80.72498388530963,79.90144262172389,63.40411978721619,77.25443850314971,80.59886932373047,86.4793701171875,2.3306843515446536,0.05549411712342224,6936.76464042778
3MINDIA.NS,BUY,2016-01-12,9900.4248046875,5,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=86.5% (>= 50%); VOLAR rank 1/3 (VOLAR=1.66); MVO weight=43.7% of capped cash (25% of available),49502.1240234375,82.37911907817382,0.0,-29.941378104504714,-77.05729778653816,10205.190295328564,10022.267120530856,10091.724577410985,9065.467749023437,9759.17029676338,9897.5439453125,11445.35546875,1.6561623815948743,0.43737428858227545,53151.412619311464
J&KBANK.NS,SELL,2016-01-12,149.22325134277344,676,indicator_exit: SwingLow(10) breach,100874.91790771484,151.84824508697082,-295.22772786009887,0.0,-50.0,149.18693624475372,149.22325133894975,149.2231620271468,148.23135375976562,149.22325134277344,149.22325134277344,149.22325134277344,,,
JUBLPHARMA.NS,SELL,2016-01-12,277.5640628036124,21,"indicator_exit: Close<EMA50, SwingLow(10) breach",5828.84531887586,36.524916583147245,-43.110668905673954,-113.31649667246013,-84.32049587550924,280.66539981311143,283.90252540357454,285.5351123181087,195.96632743835448,274.13732063157437,277.22137451171875,308.5072937011719,,,
SAREGAMA.NS,BUY,2016-01-12,30.831254959106445,1188,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=69.0% (>= 50%); VOLAR rank 2/3 (VOLAR=1.64); MVO weight=30.1% of capped cash (25% of available),36627.53089141846,67.09174994565562,0.0,-88.77164096753795,-77.31786720890305,32.571949964277536,31.908131796083683,32.3015721513648,26.825154542922974,29.85716125349874,31.098567962646484,45.05304718017578,1.6408028215965473,0.30141744580227403,36629.41204071697
TATAELXSI.NS,SELL,2016-01-12,917.9908326606756,4,"indicator_exit: Close<EMA50, SwingLow(10) breach",3671.963330642702,33.309316790988724,-15.996736132307031,-77.05347692974455,-86.16600241183237,919.0519447655256,961.1645241591178,961.1572212990003,718.174755859375,889.0560562333554,911.1058349609375,1027.4971923828125,,,
