date,ticker,direction,entry_time,entry_price,qty,sl_price_initial,tp_price,sl_trailing_enabled,trail_rupees,exit_time,exit_price,gross_pnl,charges,net_pnl,exit_reason,buy_turnover,sell_turnover,cash_capital,leverage,notional_at_entry
2025-10-01,ADANIENT.NS,long,2025-10-01T14:20:00+05:30,2542.0,196,2526.69,2598.12,False,500.0,2025-10-01T14:45:00+05:30,2585.2,8467.19,226.41,8240.78,EOD,498232.0,506699.19,100000.0,5.0,498232.0
2025-10-01,ADANIPORTS.NS,long,2025-10-01T14:05:00+05:30,1417.0,352,1408.48,1448.25,False,500.0,2025-10-01T14:45:00+05:30,1421.7,1654.38,224.65,1429.73,EOD,498784.0,500438.38,100000.0,5.0,498784.0
2025-10-01,BEL.NS,long,2025-10-01T10:15:00+05:30,406.65,1229,404.21,415.6,False,500.0,2025-10-01T14:45:00+05:30,406.6,-61.43,224.51,-285.94,EOD,499772.84,499711.41,100000.0,5.0,499772.84
2025-10-01,CIPLA.NS,long,2025-10-01T14:20:00+05:30,1515.6,329,1506.48,1549.03,False,500.0,2025-10-01T14:45:00+05:30,1515.9,98.72,224.15,-125.43,EOD,498632.39,498731.11,100000.0,5.0,498632.39
2025-10-01,DRREDDY.NS,long,2025-10-01T12:35:00+05:30,1239.2,403,1231.76,1266.5,False,500.0,2025-10-01T14:45:00+05:30,1249.0,3949.42,225.53,3723.89,EOD,499397.58,503347.0,100000.0,5.0,499397.58
2025-10-01,ETERNAL.NS,long,2025-10-01T11:10:00+05:30,325.25,1537,323.3,332.41,False,500.0,2025-10-01T14:45:00+05:30,330.0,7300.75,226.67,7074.08,EOD,499909.25,507210.0,100000.0,5.0,499909.25
2025-10-01,HDFCBANK.NS,long,2025-10-01T10:15:00+05:30,953.3,524,947.57,974.29,False,500.0,2025-10-01T14:45:00+05:30,965.65,6471.42,226.3,6245.12,EOD,499529.19,506000.61,100000.0,5.0,499529.19
2025-10-01,HINDALCO.NS,long,2025-10-01T13:55:00+05:30,767.95,651,763.34,784.85,False,500.0,2025-10-01T14:45:00+05:30,767.95,0.0,224.58,-224.58,EOD,499935.46,499935.46,100000.0,5.0,499935.46
2025-10-01,HINDUNILVR.NS,long,2025-10-01T14:05:00+05:30,2531.4,197,2516.17,2587.24,False,500.0,2025-10-01T14:45:00+05:30,2536.3,965.33,224.42,740.91,EOD,498685.78,499651.11,100000.0,5.0,498685.78
2025-10-01,INFY.NS,long,2025-10-01T14:40:00+05:30,1448.8,345,1440.1,1480.68,False,500.0,2025-10-01T14:45:00+05:30,1449.2,137.97,224.59,-86.62,EOD,499836.02,499973.98,100000.0,5.0,499836.02
