=== SUMMARY ===
       ticker  num_trades     total_pnl  wins  losses  final_equity
   ETERNAL.NS         376  40720.803182    38     150 140720.803182
BAJFINANCE.NS         314  38122.858537    29     128 138122.858537
     TRENT.NS         320  33824.025614    35     125 133824.025614
  AXISBANK.NS         306  32576.559440    29     124 132576.559440
  ADANIENT.NS         426  27390.422177    38     175 127390.422177
ADANIPORTS.NS         374  24458.110342    33     154 124458.110342
    MARUTI.NS         280  23599.574055    29     111 123599.574055
 NESTLEIND.NS         296  19878.210921    29     119 119878.210921
   DRREDDY.NS         362  16777.399586    32     149 116777.399586
 TATASTEEL.NS         306  16282.452409    26     127 116282.452409
SHRIRAMFIN.NS         374  13462.867815    29     158 113462.867815
   SBILIFE.NS         272  11380.597707    20     116 111380.597707
TATACONSUM.NS         322  11314.198460    28     133 111314.198460
APOLLOHOSP.NS         294  10721.635494    26     121 110721.635494
  HINDALCO.NS         374  10645.104987    36     151 110645.104987
     CIPLA.NS         370   9426.876131    32     153 109426.876131
 MAXHEALTH.NS         400   7296.722982    33     167 107296.722982
BAJAJ-AUTO.NS         350   6892.768693    25     150 106892.768693
     TITAN.NS         284   6445.581929    22     120 106445.581929
  RELIANCE.NS         364   5764.630726    26     156 105764.630726
 KOTAKBANK.NS         326   5750.627490    27     136 105750.627490
HINDUNILVR.NS         284   5448.344594    23     119 105448.344594
BHARTIARTL.NS         378   5295.415358    31     158 105295.415358
      INFY.NS         332   4173.023807    23     143 104173.023807
ASIANPAINT.NS         324   3616.271292    25     137 103616.271292
  HDFCLIFE.NS         274   3211.143651    18     119 103211.143651
      ONGC.NS         240   2652.324599    18     102 102652.324599
     WIPRO.NS         326   2504.225580    24     139 102504.225580
  JSWSTEEL.NS         314   2355.254306    28     129 102355.254306
   HCLTECH.NS         316    594.327650    22     136 100594.327650
 EICHERMOT.NS         374    580.424795    26     161 100580.424795
      TMPV.NS           4   -621.227833     0       2  99378.772167
      SBIN.NS         310  -1279.751050    26     129  98720.248950
ULTRACEMCO.NS         262  -1422.672428    19     112  98577.327572
       TCS.NS         332  -1887.872442    24     142  98112.127558
       ITC.NS         288  -2068.609887    21     123  97931.390113
       M&M.NS         422  -2432.661488    28     183  97567.338512
    INDIGO.NS         316  -3852.782847    26     132  96147.217153
       BEL.NS         360  -3994.674912    27     153  96005.325088
 POWERGRID.NS         282  -4707.257706    19     122  95292.742294
 SUNPHARMA.NS         390  -5737.630854    29     166  94262.369146
        LT.NS         354  -6544.764140    24     153  93455.235860
  HDFCBANK.NS         304  -8189.856372    19     133  91810.143628
    JIOFIN.NS         356  -8337.337404    25     153  91662.662596
     TECHM.NS         362 -10967.517937    24     157  89032.482063
    GRASIM.NS         368 -11766.461768    19     165  88233.538232
 COALINDIA.NS         360 -12035.524108    32     148  87964.475892
BAJAJFINSV.NS         324 -12443.287091    24     138  87556.712909
      NTPC.NS         394 -16892.979193    25     172  83107.020807
 ICICIBANK.NS         288 -20425.342440    14     130  79574.657560
