Ticker,Date,Close,Entry,Stop,Target,Risk_per_share,RR,Qty,Investment,Exposure_%_of_margin
360ONE.NS,2025-10-15,1160.4,1174.34,1117.3,1288.43,57.04,2.0,3,4117.0,8.23
ADANIENSOL.NS,2025-10-15,944.2,950.9,920.5,1011.69,30.4,2.0,6,6256.0,12.51
AUBANK.NS,2025-10-15,802.1,808.61,776.1,873.64,32.51,2.0,6,4974.0,9.95
BAJAJFINSV.NS,2025-10-15,2084.1,2092.98,2020.1,2238.73,72.88,2.0,2,5744.0,11.49
BAJFINANCE.NS,2025-10-15,1059.9,1065.13,1018.4,1158.58,46.73,2.0,4,4559.0,9.12
BANKBARODA.NS,2025-10-15,268.4,270.94,263.3,286.22,7.64,2.0,26,7092.0,14.18
BEML.NS,2025-10-15,4471.0,4543.07,4335.0,4959.2,208.07,2.0,0,4367.0,8.73
CAMPUS.NS,2025-10-15,284.75,287.02,276.15,308.77,10.87,2.0,18,5280.0,10.56
CESC.NS,2025-10-15,176.2,177.15,168.71,194.04,8.44,2.0,23,4196.0,8.39
CGCL.NS,2025-10-15,193.86,197.04,185.1,220.93,11.94,2.0,16,3300.0,6.6
CHOLAHLDNG.NS,2025-10-15,1908.7,1927.85,1830.2,2123.14,97.65,2.0,2,3949.0,7.9
HAL.NS,2025-10-15,4845.2,4889.76,4747.0,5175.28,142.76,2.0,1,6850.0,13.7
HDFCAMC.NS,2025-10-15,5764.0,5820.62,5611.0,6239.85,209.62,2.0,0,5554.0,11.11
ICICIGI.NS,2025-10-15,2020.3,2044.08,1895.1,2342.04,148.98,2.0,1,2744.0,5.49
IIFL.NS,2025-10-15,506.25,509.52,485.25,558.05,24.27,2.0,8,4199.0,8.4
INOXINDIA.NS,2025-10-15,1190.5,1227.35,1172.1,1337.85,55.25,2.0,3,4443.0,8.89
LT.NS,2025-10-15,3828.7,3851.59,3744.3,4066.16,107.29,2.0,1,7180.0,14.36
MAHABANK.NS,2025-10-15,59.3,60.36,55.34,70.4,5.02,2.0,39,2405.0,4.81
MSUMI.NS,2025-10-15,46.41,47.6,44.08,54.62,3.51,2.0,56,2708.0,5.42
NESTLEIND.NS,2025-10-15,1221.4,1227.45,1175.5,1331.35,51.95,2.0,3,4726.0,9.45
SRF.NS,2025-10-15,3088.6,3135.06,3046.0,3313.17,89.06,2.0,2,7041.0,14.08
WAAREEENER.NS,2025-10-15,3518.4,3616.22,3455.5,3937.65,160.72,2.0,1,4500.0,9.0
