ticker,EMA_CROSS,SUPERTREND,SMA30,final_decision
SBICARD.NS,False,True,False,False
BDL.NS,False,True,False,False
INDHOTEL.NS,False,True,False,False
BSE.NS,False,False,False,False
NYKAA.NS,False,True,False,False
BAJFINANCE.NS,False,True,False,False
PAYTM.NS,False,True,False,False
SOLARINDS.NS,False,False,False,False
CHOLAFIN.NS,False,True,False,False
UNITDSPR.NS,False,False,False,False
DIVISLAB.NS,True,False,False,False
MUTHOOTFIN.NS,False,True,False,False
BHARTIARTL.NS,False,True,False,False
ICICIBANK.NS,False,False,False,False
MAZDOCK.NS,False,True,False,False
SHREECEM.NS,False,False,False,False
DIXON.NS,False,True,False,False
PERSISTENT.NS,False,True,False,False
SRF.NS,False,False,False,False
TVSMOTOR.NS,False,True,False,False
SBILIFE.NS,True,True,True,True
MAXHEALTH.NS,False,False,False,False
MFSL.NS,False,False,False,False
COFORGE.NS,False,True,False,False
HDFCLIFE.NS,False,False,False,False
INDIGO.NS,False,False,False,False
KOTAKBANK.NS,False,True,False,False
HDFCBANK.NS,False,False,False,False
BEL.NS,False,True,False,False
BAJAJFINSV.NS,False,True,False,False
