ticker,signal_date,entry_date,entry_price,fast_sma,slow_sma,atr,notes
360ONE.NS,2020-12-30,2020-12-31,251.362503,242.978002,242.700251,10.284823,Entry at next open
360ONE.NS,2022-08-26,2022-08-29,407.5,392.64625,392.053624,8.247323,Entry at next open
360ONE.NS,2023-07-20,2023-07-21,529.0,445.313003,444.573626,17.950001,Entry at next open
360ONE.NS,2025-07-04,2025-07-07,1244.0,1054.328998,1053.246248,48.939279,Entry at next open
3MINDIA.NS,2020-11-27,2020-12-01,21877.800781,19548.525977,19522.07498,773.524693,Entry at next open
3MINDIA.NS,2022-08-29,2022-08-30,23255.0,22374.820039,22331.15252,771.074777,Entry at next open
3MINDIA.NS,2023-05-19,2023-05-22,23911.900391,23027.45293,23022.868467,513.632115,Entry at next open
3MINDIA.NS,2024-06-21,2024-06-24,38247.550781,31706.17125,31620.501016,1285.149275,Entry at next open
3MINDIA.NS,2025-08-19,2025-08-20,31170.0,29914.2,29887.610029,921.785714,Entry at next open
ABB.NS,2020-12-02,2020-12-03,1182.150024,934.933004,929.39775,63.110713,Entry at next open
ACC.NS,2022-09-02,2022-09-05,2303.899902,2207.386016,2205.871251,42.574986,Entry at next open
ACC.NS,2023-09-25,2023-09-26,2000.800049,1963.141001,1960.994499,45.096444,Entry at next open
AIAENG.NS,2022-06-08,2022-06-09,2190.0,1873.946003,1870.657751,113.424962,Entry at next open
APLAPOLLO.NS,2022-08-23,2022-08-24,1054.400024,931.599995,931.4065,48.514282,Entry at next open
APLAPOLLO.NS,2024-06-12,2024-06-13,1598.0,1577.937,1577.457994,72.849993,Entry at next open
APLAPOLLO.NS,2024-12-03,2024-12-04,1565.199951,1517.507004,1516.561249,53.042847,Entry at next open
APLAPOLLO.NS,2025-01-02,2025-01-03,1601.550049,1528.23,1527.809249,39.128575,Entry at next open
APLAPOLLO.NS,2025-05-06,2025-05-07,1605.0,1504.362007,1499.426252,42.092852,Entry at next open
AUBANK.NS,2020-10-26,2020-10-27,386.225006,354.0735,353.6925,16.755365,Entry at next open
AUBANK.NS,2022-09-16,2022-09-19,658.650024,620.511,619.450125,15.914285,Entry at next open
AUBANK.NS,2022-12-21,2022-12-22,671.0,628.014996,627.503,15.639291,Entry at next open
AUBANK.NS,2023-05-16,2023-05-17,728.849976,629.959004,629.7325,19.521441,Entry at next open
AUBANK.NS,2024-09-20,2024-09-23,732.0,658.705002,658.041749,17.617859,Entry at next open
AUBANK.NS,2025-05-28,2025-05-29,707.0,618.815999,616.316251,13.192854,Entry at next open
AWL.NS,2024-08-26,2024-08-27,379.450012,347.519998,347.423501,19.371434,Entry at next open
AADHARHFC.NS,2025-05-05,2025-05-06,478.700012,428.549,427.46125,15.646434,Entry at next open
AARTIIND.NS,2023-12-13,2023-12-14,573.900024,507.467996,506.460247,15.203565,Entry at next open
AARTIIND.NS,2025-06-26,2025-06-27,475.0,456.958,456.762501,13.989284,Entry at next open
AAVAS.NS,2020-10-30,2020-11-02,1431.0,1431.75,1431.545247,51.657148,Entry at next open
AAVAS.NS,2023-10-13,2023-10-16,1662.199951,1647.701992,1646.981747,54.660706,Entry at next open
AAVAS.NS,2024-06-04,2024-06-05,1535.0,1539.769004,1539.036497,51.7357,Entry at next open
AAVAS.NS,2025-03-25,2025-03-26,1957.199951,1735.545994,1734.814002,62.535706,Entry at next open
ABBOTINDIA.NS,2021-06-08,2021-06-09,15955.0,15504.090996,15501.454224,201.9857,Entry at next open
ABBOTINDIA.NS,2022-07-20,2022-07-21,20027.0,18311.410039,18288.526255,400.656948,Entry at next open
ACE.NS,2022-08-24,2022-08-25,258.0,221.876999,221.02225,10.692857,Entry at next open
ADANIENSOL.NS,2025-05-30,2025-06-02,874.799988,874.851002,873.023,23.771436,Entry at next open
ADANIENT.NS,2023-09-21,2023-09-22,2489.949951,2489.961006,2489.691499,56.871425,Entry at next open
ADANIENT.NS,2025-07-14,2025-07-15,2588.0,2517.548003,2513.947007,45.264282,Entry at next open
ADANIGREEN.NS,2021-10-21,2021-10-22,1200.900024,1101.464998,1099.919747,47.942854,Entry at next open
