ticker,status,S0,mu_ann,sigma_ann,horizon_days,P_up,P_down,P_touch_+5%,P_touch_-5%,P(+target first),P(-target first),P(neither target),E[ret],Median[ret],Q05[ret],Q95[ret]
ETERNAL.NS,ok,322.3999938964844,0.5424,0.3493,10,0.612,0.388,0.48,0.273,0.471,0.267,0.262,0.0222,0.0199,-0.09109398676601499,0.14247855319921382
GVT&D.NS,ok,2752.89990234375,0.5166,0.4504,10,0.578,0.422,0.538,0.388,0.507,0.363,0.13,0.0213,0.0174,-0.1230569377558409,0.17773754464480523
ANANDRATHI.NS,ok,2936.699951171875,0.3633,0.338,10,0.577,0.423,0.434,0.29,0.428,0.285,0.287,0.0149,0.0128,-0.09402992279400356,0.1303771133160782
BHARTIARTL.NS,ok,1887.199951171875,0.2014,0.2157,10,0.57,0.43,0.239,0.137,0.239,0.137,0.624,0.0083,0.0075,-0.0617274883163602,0.0806218133091831
MCX.NS,ok,7645.5,0.4038,0.4212,10,0.564,0.436,0.503,0.376,0.481,0.358,0.161,0.0167,0.0133,-0.11813123758893364,0.1619424941802524
BOSCHLTD.NS,ok,41315.0,0.2106,0.2421,10,0.564,0.436,0.285,0.18,0.285,0.18,0.535,0.0087,0.0076,-0.06969085262728027,0.0900956985183803
TVSMOTOR.NS,ok,3369.60009765625,0.2328,0.2648,10,0.564,0.436,0.324,0.211,0.324,0.21,0.466,0.0096,0.0083,-0.07599170047884966,0.09892581812802628
FORTIS.NS,ok,929.75,0.2695,0.3006,10,0.564,0.436,0.374,0.255,0.372,0.252,0.376,0.0111,0.0094,-0.08580878139484041,0.11301997030419689
TARIL.NS,ok,500.95001220703125,0.5525,0.5646,10,0.56,0.44,0.591,0.473,0.528,0.418,0.054,0.0229,0.0167,-0.15603169645035714,0.22140861000568113
DIXON.NS,ok,17553.0,0.3283,0.387,10,0.557,0.443,0.468,0.352,0.454,0.34,0.206,0.0136,0.0108,-0.11033636126368238,0.14620203884681973
JKCEMENT.NS,ok,6994.0,0.2072,0.2691,10,0.556,0.444,0.324,0.222,0.323,0.221,0.456,0.0086,0.0073,-0.07826088820353329,0.09929152988087966
BSE.NS,ok,2194.199951171875,0.5102,0.5687,10,0.554,0.446,0.587,0.481,0.524,0.424,0.052,0.0211,0.0149,-0.158656740595688,0.22088419834890072
BEL.NS,ok,376.6000061035156,0.2765,0.355,10,0.553,0.447,0.432,0.325,0.423,0.318,0.259,0.0115,0.0091,-0.10238998193364768,0.1325092287730023
INDIGO.NS,ok,5665.5,0.21,0.2847,10,0.553,0.447,0.344,0.244,0.343,0.242,0.415,0.0087,0.0072,-0.08303372483941085,0.10485333569892555
AIIL.NS,ok,3179.699951171875,0.4643,0.5383,10,0.553,0.447,0.57,0.466,0.517,0.417,0.066,0.0192,0.0137,-0.15122666917133878,0.20745257420395996
WOCKPHARMA.NS,ok,1415.0999755859375,0.4577,0.5449,10,0.55,0.45,0.572,0.471,0.516,0.421,0.064,0.019,0.0133,-0.15339102298303886,0.20956121933476987
SOLARINDS.NS,ok,14018.0,0.2935,0.3898,10,0.55,0.45,0.464,0.36,0.449,0.348,0.203,0.0122,0.0093,-0.11242781679460728,0.14563177642228356
EICHERMOT.NS,ok,6349.0,0.1662,0.246,10,0.55,0.45,0.281,0.195,0.28,0.194,0.525,0.0069,0.0058,-0.07255984934682772,0.08953369032529344
GLENMARK.NS,ok,1918.800048828125,0.2311,0.326,10,0.549,0.451,0.394,0.298,0.39,0.294,0.316,0.0096,0.0076,-0.09508678394669565,0.12025182772701422
TORNTPHARM.NS,ok,3582.89990234375,0.1535,0.2318,10,0.549,0.451,0.254,0.174,0.254,0.174,0.572,0.0064,0.0054,-0.06857937796991245,0.08410287792362532
MUTHOOTFIN.NS,ok,2698.699951171875,0.1985,0.2941,10,0.548,0.452,0.352,0.26,0.35,0.257,0.392,0.0083,0.0067,-0.0863642545044135,0.10761947982526165
HDFCAMC.NS,ok,5530.5,0.2078,0.3066,10,0.548,0.452,0.368,0.275,0.365,0.272,0.363,0.0086,0.0069,-0.08990041635007916,0.1123891136086963
